"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography_code","Gender","FSM","SEN_type","SEN_grouping","Admission_type","School_characteristic","Religious_denomination","Value","Denominator","Numerator"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","All","All","All","Academies and free schools","All","51.5","416302","21421428.71"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","No SEN","All","All","Academies and free schools","All","53.8","362887","19532630.69"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","SEN State EHC","All","All","Academies and free schools","All","28.1","7956","223768.64"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","SEN Supp","All","All","Academies and free schools","All","36.6","45459","1665029.38"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","All","Any SEN","All","Academies and free schools","All","35.4","53415","1888798.02"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","All","No identified SEN","All","Academies and free schools","All","53.8","362887","19532630.69"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","All","All","non-selective schools in highly selective areas","Academies and free schools","All","46.7","28921","1351396.75"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","All","All","non-selective schools in other areas","Academies and free schools","All","50.5","365574","18457761.05"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","All","All","selective schools","Academies and free schools","All","73.9","21807","1612270.91"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","All","All","All","All state-funded","All","50.2","561994","28195360.06"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","No SEN","All","All","All state-funded","All","53.7","477952","25644501"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","All","Any SEN","All","All state-funded","All","30.7","82093","2522971.67"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","All","No identified SEN","All","All state-funded","All","53.7","477952","25644501"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","SEN State EHC","All","All","All state-funded","All","15.2","21842","331742.64"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","SEN Supp","All","All","All state-funded","All","36.4","60251","2191229.03"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","All","All","non-selective schools in highly selective areas","All state-funded","All","46.6","34054","1585404.53"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","All","All","non-selective schools in other areas","All state-funded","All","50.5","489825","24715997.96"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","All","All","selective schools","All state-funded","All","73.7","24784","1827604.67"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","All","All","All","Converter Academies","All","53.7","286543","15382097.01"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","No SEN","All","All","Converter Academies","All","55.9","252465","14116920.99"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","SEN State EHC","All","All","Converter Academies","All","29.2","5221","152444.64"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","SEN Supp","All","All","Converter Academies","All","38.6","28857","1112731.38"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","All","Any SEN","All","Converter Academies","All","37.1","34078","1265176.02"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","All","No identified SEN","All","Converter Academies","All","55.9","252465","14116920.99"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","All","All","non-selective schools in highly selective areas","Converter Academies","All","47.9","18381","880001.25"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","All","All","non-selective schools in other areas","Converter Academies","All","52.3","246355","12889824.85"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","All","All","selective schools","Converter Academies","All","73.9","21807","1612270.91"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","All","All","All","FE 14-16 Colleges","All","14.2","1976","28055.39"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","No SEN","All","All","FE 14-16 Colleges","All","5.7","3","17"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","SEN State EHC","All","All","FE 14-16 Colleges","All","2","2","4"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","SEN Supp","All","All","FE 14-16 Colleges","All","6.7","22","147"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","All","Any SEN","All","FE 14-16 Colleges","All","6.3","24","151"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","All","No identified SEN","All","FE 14-16 Colleges","All","5.7","3","17"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","All","All","All","Free Schools","All","52","11289","586694.3"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","No SEN","All","All","Free Schools","All","54.5","9756","531295.3"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","SEN State EHC","All","All","Free Schools","All","29.1","221","6430.25"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","SEN Supp","All","All","Free Schools","All","37.3","1312","48968.75"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","All","Any SEN","All","Free Schools","All","36.1","1533","55399"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","All","No identified SEN","All","Free Schools","All","54.5","9756","531295.3"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","All","All","non-selective schools in highly selective areas","Free Schools","All","51.2","825","42274.5"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","All","All","non-selective schools in other areas","Free Schools","All","52","10464","544419.8"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","All","All","All","LA maintained mainstream","All","50.6","131770","6672581.45"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","No SEN","All","All","LA maintained mainstream","All","53.1","114538","6080266.81"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","SEN State EHC","All","All","LA maintained mainstream","All","26.7","2622","69968.5"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","SEN Supp","All","All","LA maintained mainstream","All","35.8","14610","522346.14"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","All","Any SEN","All","LA maintained mainstream","All","34.4","17232","592314.64"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","All","No identified SEN","All","LA maintained mainstream","All","53.1","114538","6080266.81"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","All","All","non-selective schools in highly selective areas","LA maintained mainstream","All","45.6","5133","234007.78"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","All","All","non-selective schools in other areas","LA maintained mainstream","All","50.3","123660","6223239.91"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","All","All","selective schools","LA maintained mainstream","All","72.3","2977","215333.76"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","All","All","All","Sponsored Academies","All","46.1","113801","5248973.9"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","No SEN","All","All","Sponsored Academies","All","48.6","96980","4715711.65"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","SEN State EHC","All","All","Sponsored Academies","All","25.7","2426","62233"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","SEN Supp","All","All","Sponsored Academies","All","32.7","14395","471029.25"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","All","Any SEN","All","Sponsored Academies","All","31.7","16821","533262.25"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","All","No identified SEN","All","Sponsored Academies","All","48.6","96980","4715711.65"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","All","All","non-selective schools in highly selective areas","Sponsored Academies","All","44.2","9512","420748"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","All","All","non-selective schools in other areas","Sponsored Academies","All","46.3","104289","4828225.9"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","All","All","All","State-funded mainstream","All","51.1","550639","28157062.55"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","No SEN","All","All","State-funded mainstream","All","53.7","477952","25644501"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","SEN State EHC","All","All","State-funded mainstream","All","27.8","10589","294074.89"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","SEN Supp","All","All","State-funded mainstream","All","36.4","60149","2190599.27"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","All","Any SEN","All","State-funded mainstream","All","35.1","70738","2484674.16"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","All","No identified SEN","All","State-funded mainstream","All","53.7","477952","25644501"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","All","All","non-selective schools in highly selective areas","State-funded mainstream","All","46.6","34054","1585404.53"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","No SEN","All","non-selective schools in highly selective areas","State-funded mainstream","All","49","28820","1411962.4"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","SEN State EHC","All","non-selective schools in highly selective areas","State-funded mainstream","All","27.5","852","23414.75"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","SEN Supp","All","non-selective schools in highly selective areas","State-funded mainstream","All","34.2","4382","150027.38"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","All","Any SEN","non-selective schools in highly selective areas","State-funded mainstream","All","33.1","5234","173442.13"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","All","No identified SEN","non-selective schools in highly selective areas","State-funded mainstream","All","49","28820","1411962.4"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","All","All","non-selective schools in other areas","State-funded mainstream","All","50.5","489825","24715997.96"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","No SEN","All","non-selective schools in other areas","State-funded mainstream","All","52.8","425750","22497852.82"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","SEN State EHC","All","non-selective schools in other areas","State-funded mainstream","All","27.5","9658","265733.76"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","SEN Supp","All","non-selective schools in other areas","State-funded mainstream","All","35.9","54417","1952411.38"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","All","Any SEN","non-selective schools in other areas","State-funded mainstream","All","34.6","64075","2218145.14"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","All","No identified SEN","non-selective schools in other areas","State-funded mainstream","All","52.8","425750","22497852.82"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","All","All","selective schools","State-funded mainstream","All","73.7","24784","1827604.67"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","No SEN","All","selective schools","State-funded mainstream","All","74.2","23379","1734668.78"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","SEN State EHC","All","selective schools","State-funded mainstream","All","63.9","77","4922.38"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","SEN Supp","All","selective schools","State-funded mainstream","All","66.3","1328","88013.51"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","All","Any SEN","selective schools","State-funded mainstream","All","66.1","1405","92935.89"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","All","No identified SEN","selective schools","State-funded mainstream","All","74.2","23379","1734668.78"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","All","All","All","State-funded special schools","All","3.4","11355","38297.51"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","SEN State EHC","All","All","State-funded special schools","All","3.3","11253","37667.75"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","SEN Supp","All","All","State-funded special schools","All","6.2","102","629.76"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","All","Any SEN","All","State-funded special schools","All","3.4","11355","38297.51"
"Average Attainment 8 score","All","All","2019-2020","Academic year","England","Country","E92000001","All","All","All","All","All","Studio Schools","All","41.4","1152","47638.5"
