"Ethnicity","Geography","Score","Pupils"
"All","All - England","50.2","561,994"
"All","Barking and Dagenham","49.7","2,525"
"All","Barnet","60.1","4,010"
"All","Barnsley","46.1","2,303"
"All","Bath and North East Somerset","53.3","2,166"
"All","Bedford","48.7","1,943"
"All","Bexley","53.5","3,150"
"All","Birmingham","49.2","13,973"
"All","Blackburn with Darwen","49.7","1,968"
"All","Blackpool","40.9","1,271"
"All","Bolton","48.3","3,549"
"All","Bournemouth, Christchurch and Poole","54.0","3,572"
"All","Bracknell Forest","50.5","1,219"
"All","Bradford","45.7","6,391"
"All","Brent","53.1","3,078"
"All","Brighton and Hove","51.9","2,275"
"All","Bristol, City of","48.6","3,481"
"All","Bromley","54.5","3,411"
"All","Buckinghamshire","58.0","5,981"
"All","Bury","48.1","2,174"
"All","Calderdale","52.3","2,634"
"All","Cambridgeshire","51.3","5,826"
"All","Camden","52.2","1,573"
"All","Central Bedfordshire","48.3","2,732"
"All","Cheshire East","51.5","3,803"
"All","Cheshire West and Chester","50.6","3,551"
"All","Cornwall","48.8","5,233"
"All","County Durham","48.8","5,017"
"All","Coventry","47.2","3,766"
"All","Croydon","48.9","3,755"
"All","Cumbria","50.0","5,109"
"All","Darlington","50.2","1,170"
"All","Derby","46.3","2,979"
"All","Derbyshire","49.9","7,282"
"All","Devon","50.2","6,895"
"All","Doncaster","46.8","3,055"
"All","Dorset","49.7","3,559"
"All","Dudley","47.2","3,309"
"All","Ealing","53.5","3,043"
"All","East Midlands","49.1","48,542"
"All","East Riding of Yorkshire","49.9","3,227"
"All","East Sussex","48.5","4,815"
"All","East of England","50.3","63,682"
"All","Enfield","49.8","3,767"
"All","Essex","49.6","15,188"
"All","Gateshead","50.3","1,935"
"All","Gloucestershire","52.9","6,359"
"All","Greenwich","50.2","2,448"
"All","Hackney","53.2","2,286"
"All","Halton","47.6","1,448"
"All","Hammersmith and Fulham","56.1","1,458"
"All","Hampshire","50.8","12,987"
"All","Haringey","51.4","2,484"
