"Destination","Ethnicity","%"
"Education, apprenticeships or employment","All","81"
"Education, apprenticeships or employment","Asian","84"
"Education, apprenticeships or employment","Bangladeshi","84"
"Education, apprenticeships or employment","Indian","88"
"Education, apprenticeships or employment","Pakistani","81"
"Education, apprenticeships or employment","Asian other","85"
"Education, apprenticeships or employment","Black","83"
"Education, apprenticeships or employment","Black African","85"
"Education, apprenticeships or employment","Black Caribbean","78"
"Education, apprenticeships or employment","Black other","82"
"Education, apprenticeships or employment","Chinese","87"
"Education, apprenticeships or employment","Mixed","80"
"Education, apprenticeships or employment","Mixed White/Asian","83"
"Education, apprenticeships or employment","Mixed White/Black African","81"
"Education, apprenticeships or employment","Mixed White/Black Caribbean","77"
"Education, apprenticeships or employment","Mixed other","81"
"Education, apprenticeships or employment","White","82"
"Education, apprenticeships or employment","White British","82"
"Education, apprenticeships or employment","White Irish","82"
"Education, apprenticeships or employment","Gypsy/Roma","42"
"Education, apprenticeships or employment","Irish Traveller","46"
"Education, apprenticeships or employment","White other","78"
"Education, apprenticeships or employment","Other","80"
"Education, apprenticeships or employment","Unknown","55"
"Education","All","47"
"Education","Asian","69"
"Education","Bangladeshi","68"
"Education","Indian","73"
"Education","Pakistani","65"
"Education","Asian other","71"
"Education","Black","65"
"Education","Black African","71"
"Education","Black Caribbean","52"
"Education","Black other","62"
"Education","Chinese","79"
"Education","Mixed","51"
"Education","Mixed White/Asian","57"
"Education","Mixed White/Black African","55"
"Education","Mixed White/Black Caribbean","42"
"Education","Mixed other","56"
"Education","White","43"
"Education","White British","42"
"Education","White Irish","51"
"Education","Gypsy/Roma","13"
"Education","Irish Traveller","22"
"Education","White other","52"
"Education","Other","65"
"Education","Unknown","39"
"Apprenticeships","All","10"
"Apprenticeships","Asian","4"
"Apprenticeships","Bangladeshi","4"
"Apprenticeships","Indian","5"
"Apprenticeships","Pakistani","4"
"Apprenticeships","Asian other","3"
"Apprenticeships","Black","4"
"Apprenticeships","Black African","3"
"Apprenticeships","Black Caribbean","6"
"Apprenticeships","Black other","4"
"Apprenticeships","Chinese","2"
"Apprenticeships","Mixed","6"
"Apprenticeships","Mixed White/Asian","6"
"Apprenticeships","Mixed White/Black African","6"
"Apprenticeships","Mixed White/Black Caribbean","8"
"Apprenticeships","Mixed other","5"
"Apprenticeships","White","11"
"Apprenticeships","White British","11"
"Apprenticeships","White Irish","7"
"Apprenticeships","Gypsy/Roma","4"
"Apprenticeships","Irish Traveller","6"
"Apprenticeships","White other","4"
"Apprenticeships","Other","3"
"Apprenticeships","Unknown","2"
"Employment","All","25"
"Employment","Asian","11"
"Employment","Bangladeshi","12"
"Employment","Indian","10"
"Employment","Pakistani","12"
"Employment","Asian other","12"
"Employment","Black","13"
"Employment","Black African","11"
"Employment","Black Caribbean","19"
"Employment","Black other","16"
"Employment","Chinese","6"
"Employment","Mixed","22"
"Employment","Mixed White/Asian","20"
"Employment","Mixed White/Black African","20"
"Employment","Mixed White/Black Caribbean","27"
"Employment","Mixed other","20"
"Employment","White","28"
"Employment","White British","29"
"Employment","White Irish","24"
"Employment","Gypsy/Roma","24"
"Employment","Irish Traveller","18"
"Employment","White other","21"
"Employment","Other","12"
"Employment","Unknown","14"
"No sustained education/employment","All","13"
"No sustained education/employment","Asian","10"
"No sustained education/employment","Bangladeshi","10"
"No sustained education/employment","Indian","7"
"No sustained education/employment","Pakistani","12"
"No sustained education/employment","Asian other","9"
"No sustained education/employment","Black","11"
"No sustained education/employment","Black African","9"
"No sustained education/employment","Black Caribbean","16"
"No sustained education/employment","Black other","12"
"No sustained education/employment","Chinese","5"
"No sustained education/employment","Mixed","14"
"No sustained education/employment","Mixed White/Asian","12"
"No sustained education/employment","Mixed White/Black African","13"
"No sustained education/employment","Mixed White/Black Caribbean","17"
"No sustained education/employment","Mixed other","13"
"No sustained education/employment","White","13"
"No sustained education/employment","White British","13"
"No sustained education/employment","White Irish","13"
"No sustained education/employment","Gypsy/Roma","34"
"No sustained education/employment","Irish Traveller","33"
"No sustained education/employment","White other","12"
"No sustained education/employment","Other","12"
"No sustained education/employment","Unknown","13"
"Unknown","All","6"
"Unknown","Asian","6"
"Unknown","Bangladeshi","5"
"Unknown","Indian","5"
"Unknown","Pakistani","7"
"Unknown","Asian other","6"
"Unknown","Black","6"
"Unknown","Black African","6"
"Unknown","Black Caribbean","7"
"Unknown","Black other","6"
"Unknown","Chinese","8"
"Unknown","Mixed","6"
"Unknown","Mixed White/Asian","5"
"Unknown","Mixed White/Black African","5"
"Unknown","Mixed White/Black Caribbean","6"
"Unknown","Mixed other","6"
"Unknown","White","5"
"Unknown","White British","5"
"Unknown","White Irish","5"
"Unknown","Gypsy/Roma","24"
"Unknown","Irish Traveller","21"
"Unknown","White other","10"
"Unknown","Other","8"
"Unknown","Unknown","32"
