"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography_code","Gender","Gender_type","Qualification_level","Destination","Value","Value_type","Denominator","Numerator"
"Student destinations after 16 to 18 study","All","All","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","Education or employment","87","% of cohort","341198","295221"
"Student destinations after 16 to 18 study","All","All","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","Education","60","% of cohort","341198","204033"
"Student destinations after 16 to 18 study","All","All","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","Apprenticeships","4","% of cohort","341198","12400"
"Student destinations after 16 to 18 study","All","All","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","Employment","23","% of cohort","341198","78788"
"Student destinations after 16 to 18 study","All","All","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","No sustained education/employment","10","% of cohort","341198","34773"
"Student destinations after 16 to 18 study","All","All","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","Unknown","3","% of cohort","341198","11204"
"Student destinations after 16 to 18 study","Any other Asian background","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","Education or employment","86","% of cohort","3560","3071"
"Student destinations after 16 to 18 study","Any other Asian background","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","Education","76","% of cohort","3560","2702"
"Student destinations after 16 to 18 study","Any other Asian background","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","Apprenticeships","1","% of cohort","3560","43"
"Student destinations after 16 to 18 study","Any other Asian background","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","Employment","9","% of cohort","3560","326"
"Student destinations after 16 to 18 study","Any other Asian background","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","No sustained education/employment","8","% of cohort","3560","299"
"Student destinations after 16 to 18 study","Any other Asian background","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","Unknown","5","% of cohort","3560","190"
"Student destinations after 16 to 18 study","Any other Black background","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","Education or employment","87","% of cohort","1252","1084"
"Student destinations after 16 to 18 study","Any other Black background","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","Education","72","% of cohort","1252","905"
"Student destinations after 16 to 18 study","Any other Black background","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","Apprenticeships","2","% of cohort","1252","25"
"Student destinations after 16 to 18 study","Any other Black background","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","Employment","12","% of cohort","1252","154"
"Student destinations after 16 to 18 study","Any other Black background","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","No sustained education/employment","9","% of cohort","1252","114"
"Student destinations after 16 to 18 study","Any other Black background","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","Unknown","4","% of cohort","1252","54"
"Student destinations after 16 to 18 study","Any other mixed background","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","Education or employment","85","% of cohort","3169","2705"
"Student destinations after 16 to 18 study","Any other mixed background","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","Education","66","% of cohort","3169","2094"
"Student destinations after 16 to 18 study","Any other mixed background","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","Apprenticeships","2","% of cohort","3169","61"
"Student destinations after 16 to 18 study","Any other mixed background","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","Employment","17","% of cohort","3169","550"
"Student destinations after 16 to 18 study","Any other mixed background","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","No sustained education/employment","11","% of cohort","3169","338"
"Student destinations after 16 to 18 study","Any other mixed background","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","Unknown","4","% of cohort","3169","126"
"Student destinations after 16 to 18 study","Any other White background","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","Education or employment","84","% of cohort","8008","6748"
"Student destinations after 16 to 18 study","Any other White background","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","Education","66","% of cohort","8008","5266"
"Student destinations after 16 to 18 study","Any other White background","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","Apprenticeships","2","% of cohort","8008","165"
"Student destinations after 16 to 18 study","Any other White background","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","Employment","16","% of cohort","8008","1317"
"Student destinations after 16 to 18 study","Any other White background","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","No sustained education/employment","10","% of cohort","8008","806"
"Student destinations after 16 to 18 study","Any other White background","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","Unknown","6","% of cohort","8008","454"
"Student destinations after 16 to 18 study","Bangladeshi","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","Education or employment","85","% of cohort","3032","2582"
"Student destinations after 16 to 18 study","Bangladeshi","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","Education","74","% of cohort","3032","2258"
"Student destinations after 16 to 18 study","Bangladeshi","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","Apprenticeships","2","% of cohort","3032","63"
"Student destinations after 16 to 18 study","Bangladeshi","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","Employment","9","% of cohort","3032","261"
"Student destinations after 16 to 18 study","Bangladeshi","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","No sustained education/employment","11","% of cohort","3032","324"
"Student destinations after 16 to 18 study","Bangladeshi","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","Unknown","4","% of cohort","3032","126"
"Student destinations after 16 to 18 study","Black - African","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","Education or employment","87","% of cohort","6857","5960"
"Student destinations after 16 to 18 study","Black - African","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","Education","78","% of cohort","6857","5361"
"Student destinations after 16 to 18 study","Black - African","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","Apprenticeships","1","% of cohort","6857","81"
"Student destinations after 16 to 18 study","Black - African","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","Employment","8","% of cohort","6857","518"
"Student destinations after 16 to 18 study","Black - African","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","No sustained education/employment","8","% of cohort","6857","577"
"Student destinations after 16 to 18 study","Black - African","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","Unknown","5","% of cohort","6857","320"
"Student destinations after 16 to 18 study","Black Caribbean","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","Education or employment","85","% of cohort","3561","3030"
"Student destinations after 16 to 18 study","Black Caribbean","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","Education","69","% of cohort","3561","2466"
"Student destinations after 16 to 18 study","Black Caribbean","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","Apprenticeships","3","% of cohort","3561","114"
"Student destinations after 16 to 18 study","Black Caribbean","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","Employment","13","% of cohort","3561","450"
"Student destinations after 16 to 18 study","Black Caribbean","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","No sustained education/employment","12","% of cohort","3561","445"
"Student destinations after 16 to 18 study","Black Caribbean","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","Unknown","2","% of cohort","3561","86"
"Student destinations after 16 to 18 study","Chinese","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","Education or employment","89","% of cohort","1872","1675"
"Student destinations after 16 to 18 study","Chinese","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","Education","84","% of cohort","1872","1568"
"Student destinations after 16 to 18 study","Chinese","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","Apprenticeships","0","% of cohort","1872","9"
"Student destinations after 16 to 18 study","Chinese","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","Employment","5","% of cohort","1872","98"
"Student destinations after 16 to 18 study","Chinese","Ethnicities used in National Pupil Database (19)","2010/11","Academic year","England","Country","E92000001","All","All","Level 3 approved","No sustained education/employment","4","% of cohort","1872","82"
