"Ethnicity","Main mode of transport","Value 2002/06","Value 2015/19"
"All","Bicycle","2","2"
"All","Car / Van","31","35"
"All","Local bus","13","12"
"All","Private bus","5","4"
"All","Surface Rail","1","1"
"All","Walk","48","44"
"All","Other","1","1"
"Asian","Bicycle","?","?"
"Asian","Car / Van","33","37"
"Asian","Local bus","12","12"
"Asian","Private bus","?","?"
"Asian","Surface Rail","?","?"
"Asian","Walk","49","45"
"Asian","Other","?","?"
"Black","Bicycle","?","?"
"Black","Car / Van","19","23"
"Black","Local bus","31","22"
"Black","Private bus","?","?"
"Black","Surface Rail","?","?"
"Black","Walk","45","48"
"Black","Other","?","?"
"Mixed","Bicycle","?","?"
"Mixed","Car / Van","29","31"
"Mixed","Local bus","17","13"
"Mixed","Private bus","?","?"
"Mixed","Surface Rail","?","?"
"Mixed","Walk","47","49"
"Mixed","Other","?","?"
"White","Bicycle","2","2"
"White","Car / Van","32","37"
"White","Local bus","12","11"
"White","Private bus","5","4"
"White","Surface Rail","1","1"
"White","Walk","48","43"
"White","Other","1","1"
"Other","Bicycle","?","?"
"Other","Car / Van","?","26"
"Other","Local bus","?","?"
"Other","Private bus","?","?"
"Other","Surface Rail","?","?"
"Other","Walk","51","51"
"Other","Other","?","?"
