"Threshold","Ethnicity","% "
"High","All","19.66"
"High","Bangladeshi","17.06"
"High","Chinese","18.09"
"High","Indian","17.73"
"High","Pakistani","20.01"
"High","Asian Other","18.37"
"High","Black","18.55"
"High","Mixed","21.44"
"High","White","19.73"
"High","White Gypsy / Traveller","?"
"High","Arab","25.81"
"High","Other","20.00"
"Medium","All","16.05"
"Medium","Bangladeshi","15.37"
"Medium","Chinese","22.50"
"Medium","Indian","18.02"
"Medium","Pakistani","15.21"
"Medium","Asian Other","13.95"
"Medium","Black","16.07"
"Medium","Mixed","17.79"
"Medium","White","15.93"
"Medium","White Gypsy / Traveller","?"
"Medium","Arab","19.00"
"Medium","Other","18.56"
"Low","All","23.09"
"Low","Bangladeshi","24.05"
"Low","Chinese","24.16"
"Low","Indian","24.60"
"Low","Pakistani","21.54"
"Low","Asian Other","25.70"
"Low","Black","21.34"
"Low","Mixed","23.34"
"Low","White","23.07"
"Low","White Gypsy / Traveller","?"
"Low","Arab","22.63"
"Low","Other","25.13"
"Very Low","All","41.19"
"Very Low","Bangladeshi","43.53"
"Very Low","Chinese","35.25"
"Very Low","Indian","39.65"
"Very Low","Pakistani","43.24"
"Very Low","Asian Other","41.98"
"Very Low","Black","44.04"
"Very Low","Mixed","37.44"
"Very Low","White","41.27"
"Very Low","White Gypsy / Traveller","?"
"Very Low","Arab","32.55"
"Very Low","Other","36.31"
