"","2012","2013","2014","2015","2016","2017","2018"
"Ethnicity","% ","% ","% ","% ","% ","% ","% "
"All","38.05","39.22","40.49","40.62","40.33","40.21","41.19"
"Bangladeshi","35.16","40.22","42.60","39.06","39.32","37.35","43.53"
"Chinese","32.94","32.68","34.97","38.85","38.30","34.40","35.25"
"Indian","34.33","34.80","37.79","38.16","38.86","36.79","39.65"
"Pakistani","36.06","38.62","39.03","41.33","36.72","42.73","43.24"
"Asian other","34.89","35.32","39.43","37.48","39.26","40.86","41.98"
"Black","35.42","38.06","41.03","42.01","40.78","38.62","44.04"
"Mixed","32.16","42.08","34.18","32.34","35.01","36.63","37.44"
"White","38.48","39.50","40.74","41.20","40.54","40.49","41.27"
"White Gypsy / Traveller","?","?","?","?","?","?","?"
"Arab","34.72","28.52","30.27","30.52","33.85","32.91","32.55"
"Other","30.18","33.65","37.57","39.20","39.09","36.64","36.31"
