"","Asian","","Black","","Mixed","","White","","Other inc Chinese","","Unknown",""
"Geography","% of firefighters","Number of firefighters","% of firefighters","Number of firefighters","% of firefighters","Number of firefighters","% of firefighters","Number of firefighters","% of firefighters","Number of firefighters","% of firefighters","Number of firefighters"
"Avon","0.0","0","0.8","5","0.8","5","97.8","614","0.6","4","N/A","64"
"Bedfordshire","0.2","1","1.0","4","2.7","11","96.1","396","0.0","0","N/A","17"
"Berkshire","0.4","2","0.7","3","1.3","6","97.3","438","0.2","1","N/A","1"
"Buckinghamshire","0.3","1","0.6","2","2.2","7","96.9","308","0.0","0","N/A","34"
"Cambridgeshire","0.5","2","0.2","1","2.0","8","97.3","391","0.0","0","N/A","14"
"Cheshire","0.5","3","0.5","3","0.6","4","98.0","645","0.5","3","N/A","14"
"Cleveland","0.5","2","0.5","2","0.2","1","98.6","433","0.2","1","N/A","0"
"Cornwall","0.0","0","0.4","2","0.9","4","98.5","456","0.2","1","N/A","130"
"Cumbria","0.2","1","0.2","1","0.0","0","99.3","442","0.2","1","N/A","137"
"Derbyshire","0.8","5","0.0","0","0.8","5","98.3","633","0.2","1","N/A","27"
"Devon and Somerset","0.0","0","0.1","1","0.6","9","99.2","1,556","0.2","3","N/A","104"
"Dorset and Wiltshire","0.0","0","0.2","2","0.6","5","98.7","866","0.5","4","N/A","128"
"Durham","0.0","0","0.9","4","1.4","6","97.7","418","0.0","0","N/A","47"
"East Sussex","0.2","1","0.4","2","2.3","13","96.9","539","0.2","1","N/A","31"
"England","0.7","219","1.3","427","1.8","577","95.7","30,285","0.5","145","N/A","3,370"
"Essex","0.4","2","0.4","2","1.3","7","97.8","524","0.2","1","N/A","593"
"Gloucestershire","0.9","3","0.6","2","1.2","4","97.0","322","0.3","1","N/A","84"
"Greater London","1.8","84","5.3","247","4.8","220","86.6","4,004","1.4","66","N/A","62"
"Greater Manchester","1.0","12","1.1","13","2.9","35","94.9","1,146","0.2","2","N/A","160"
"Hampshire","0.2","3","0.1","1","0.5","6","99.0","1,191","0.2","2","N/A","152"
"Hereford and Worcester","0.2","1","0.0","0","1.9","11","97.7","560","0.2","1","N/A","17"
"Hertfordshire","1.1","7","0.8","5","1.2","8","96.3","632","0.6","4","N/A","28"
"Humberside","0.1","1","0.5","4","0.8","6","98.6","773","0.0","0","N/A","52"
"Isle Of Wight","0.0","0","0.0","0","0.0","0","100.0","151","0.0","0","N/A","21"
"Isles of Scilly","0.0","0","2.4","1","0.0","0","97.6","41","0.0","0","N/A","0"
"Kent","0.1","1","0.3","2","0.5","4","98.4","744","0.7","5","N/A","383"
"Lancashire","1.1","12","0.3","3","1.1","11","97.0","1,014","0.5","5","N/A","27"
"Leicestershire","0.4","2","0.4","2","1.8","9","97.5","501","0.0","0","N/A","37"
"Lincolnshire","0.3","2","0.0","0","1.2","7","98.5","580","0.0","0","N/A","18"
"Merseyside","0.0","0","0.9","7","3.7","29","94.1","744","1.4","11","N/A","11"
"Norfolk","0.0","0","0.2","1","0.3","2","99.4","624","0.2","1","N/A","100"
"North Yorkshire","0.3","2","0.2","1","0.2","1","99.0","571","0.3","2","N/A","80"
"Northamptonshire","0.0","0","0.3","1","1.7","5","98.0","290","0.0","0","N/A","146"
"Northumberland","0.0","0","0.0","0","0.7","2","99.3","274","0.0","0","N/A","12"
"Nottinghamshire","0.9","6","0.9","6","2.2","15","96.0","651","0.0","0","N/A","37"
"Oxfordshire","0.0","0","0.4","2","1.0","5","98.3","511","0.4","2","N/A","55"
"Shropshire","0.0","0","1.0","4","0.3","1","98.7","385","0.0","0","N/A","121"
"South Yorkshire","0.2","1","1.2","8","2.0","13","96.2","627","0.5","3","N/A","1"
"Staffordshire","1.5","10","0.9","6","0.7","5","96.9","667","0.0","0","N/A","2"
"Suffolk","0.0","0","0.2","1","1.4","6","97.7","421","0.7","3","N/A","160"
"Surrey","0.7","4","0.2","1","1.2","7","97.9","550","0.0","0","N/A","32"
"Tyne and Wear","0.5","3","0.2","1","1.0","6","97.7","561","0.5","3","N/A","27"
"Warwickshire","0.9","3","1.3","4","0.9","3","96.8","307","0.0","0","N/A","78"
"West Midlands","1.7","24","4.2","58","3.8","52","89.7","1,238","0.6","8","N/A","25"
"West Sussex","0.0","0","0.0","0","0.4","2","99.4","505","0.2","1","N/A","94"
"West Yorkshire","1.7","18","1.1","12","1.0","11","95.9","1,041","0.4","4","N/A","7"
