"Title","Length of tenancy in social housing","","","","","",""
"Location","England","","","","","",""
"Time period","2017/18","","","","","",""
"Data source","Ministry of Housing, Communities and Local Government","","","","","",""
"Data source link","https://www.gov.uk/government/statistics/social-housing-lettings-in-england-april-2017-to-march-2018","","","","","",""
"Source","https://www.ethnicity-facts-figures.service.gov.uk/","","","","","",""
"Last updated","-","","","","","",""
"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Tenancy Length","Value","Numerator"
"Percentage of new lettings by tenancy length","2017/18","Financial Year","White British","ONS 18+1","2 years or less","23","9547"
"Percentage of new lettings by tenancy length","2017/18","Financial Year","White Irish","ONS 18+1","2 years or less","30.5","76"
"Percentage of new lettings by tenancy length","2017/18","Financial Year","White other","ONS 18+1","2 years or less","12.7","317"
"Percentage of new lettings by tenancy length","2017/18","Financial Year","Mixed White/Black Caribbean","ONS 18+1","2 years or less","23.4","223"
"Percentage of new lettings by tenancy length","2017/18","Financial Year","Mixed White/Black African","ONS 18+1","2 years or less","24.7","81"
"Percentage of new lettings by tenancy length","2017/18","Financial Year","Mixed White/Asian","ONS 18+1","2 years or less","29.1","74"
"Percentage of new lettings by tenancy length","2017/18","Financial Year","Mixed other","ONS 18+1","2 years or less","22.3","122"
"Percentage of new lettings by tenancy length","2017/18","Financial Year","Indian","ONS 18+1","2 years or less","30.3","118"
"Percentage of new lettings by tenancy length","2017/18","Financial Year","Pakistani","ONS 18+1","2 years or less","25.4","170"
"Percentage of new lettings by tenancy length","2017/18","Financial Year","Bangladeshi","ONS 18+1","2 years or less","11.4","66"
"Percentage of new lettings by tenancy length","2017/18","Financial Year","Asian other","ONS 18+1","2 years or less","18.1","166"
"Percentage of new lettings by tenancy length","2017/18","Financial Year","Black Caribbean","ONS 18+1","2 years or less","21.2","300"
"Percentage of new lettings by tenancy length","2017/18","Financial Year","Black African","ONS 18+1","2 years or less","17.6","415"
"Percentage of new lettings by tenancy length","2017/18","Financial Year","Black other","ONS 18+1","2 years or less","22.3","96"
"Percentage of new lettings by tenancy length","2017/18","Financial Year","Chinese","ONS 18+1","2 years or less","18.1","17"
"Percentage of new lettings by tenancy length","2017/18","Financial Year","Any other","ONS 18+1","2 years or less","18.8","56"
"Percentage of new lettings by tenancy length","2017/18","Financial Year","White Gypsy/Traveller","ONS 18+1","2 years or less","23.7","18"
"Percentage of new lettings by tenancy length","2017/18","Financial Year","Arab","ONS 18+1","2 years or less","21.4","53"
"Percentage of new lettings by tenancy length","2017/18","Financial Year","White British","ONS 18+1","3 to 5 years","64.2","26679"
"Percentage of new lettings by tenancy length","2017/18","Financial Year","White Irish","ONS 18+1","3 to 5 years","60.6","151"
"Percentage of new lettings by tenancy length","2017/18","Financial Year","White other","ONS 18+1","3 to 5 years","74.8","1867"
"Percentage of new lettings by tenancy length","2017/18","Financial Year","Mixed White/Black Caribbean","ONS 18+1","3 to 5 years","66.8","636"
"Percentage of new lettings by tenancy length","2017/18","Financial Year","Mixed White/Black African","ONS 18+1","3 to 5 years","65.9","216"
"Percentage of new lettings by tenancy length","2017/18","Financial Year","Mixed White/Asian","ONS 18+1","3 to 5 years","58.3","148"
"Percentage of new lettings by tenancy length","2017/18","Financial Year","Mixed other","ONS 18+1","3 to 5 years","66.5","363"
