"","All","Asian","Indian","Pakistani, Bangladeshi","Asian Other","Black","Mixed","White","White British","White Other","Other"
"Occupation","%","%","%","%","%","%","%","%","%","%","%"
"Managers, Directors and Senior Officials","11","10","11","8","9","5","9","11","11","10","10"
"Professional","21","27","33","18","29","21","23","20","20","21","21"
"Associate Professional and Technical","15","12","14","10","11","12","19","15","15","13","12"
"Administrative and Secretarial","10","9","9","8","9","9","9","10","11","8","7"
"Skilled Trades","10","6","5","7","6","6","6","11","11","10","10"
"Caring, Leisure and Other Service","9","8","7","8","9","18","9","9","9","7","9"
"Sales and Customer Service","8","10","7","14","9","7","9","7","8","5","7"
"Process, Plant and Machine Operatives","6","9","5","15","5","7","5","6","6","10","8"
"Elementary","10","11","9","12","12","16","12","10","10","15","15"
