"Ethnicity","Reason","%","Number"
"Asian","Bullying","0.3","1"
"Asian","Damage","0.0","0"
"Asian","Drug and alcohol related","13.7","50"
"Asian","Persistent disruptive behaviour","19.1","70"
"Asian","Physical assault against a pupil","21.9","80"
"Asian","Physical assault against an adult","4.9","18"
"Asian","Racist abuse","0.0","0"
"Asian","Sexual Misconduct","2.5","9"
"Asian","Theft","0.0","0"
"Asian","Verbal abuse/ threatening behaviour against a pupil","6.0","22"
"Asian","Verbal abuse/ threatening behaviour against an adult","3.6","13"
"Asian","Other","28.1","103"
"Black","Bullying","0.2","1"
"Black","Damage","0.4","2"
"Black","Drug and alcohol related","9.5","50"
"Black","Persistent disruptive behaviour","24.2","128"
"Black","Physical assault against a pupil","19.3","102"
"Black","Physical assault against an adult","9.1","48"
"Black","Racist abuse","0.0","0"
"Black","Sexual Misconduct","2.5","13"
"Black","Theft","1.1","6"
"Black","Verbal abuse/ threatening behaviour against a pupil","4.9","26"
"Black","Verbal abuse/ threatening behaviour against an adult","4.5","24"
"Black","Other","24.4","129"
"Chinese","Bullying","0.0","0"
"Chinese","Damage","0.0","0"
"Chinese","Drug and alcohol related","33.3","1"
"Chinese","Persistent disruptive behaviour","0.0","0"
"Chinese","Physical assault against a pupil","33.3","1"
"Chinese","Physical assault against an adult","0.0","0"
"Chinese","Racist abuse","0.0","0"
"Chinese","Sexual Misconduct","0.0","0"
"Chinese","Theft","0.0","0"
"Chinese","Verbal abuse/ threatening behaviour against a pupil","0.0","0"
"Chinese","Verbal abuse/ threatening behaviour against an adult","33.3","1"
"Chinese","Other","0.0","0"
"Mixed","Bullying","0.9","6"
"Mixed","Damage","0.5","3"
"Mixed","Drug and alcohol related","9.0","59"
"Mixed","Persistent disruptive behaviour","31.9","210"
"Mixed","Physical assault against a pupil","16.7","110"
"Mixed","Physical assault against an adult","13.5","89"
"Mixed","Racist abuse","0.2","1"
"Mixed","Sexual Misconduct","0.6","4"
"Mixed","Theft","0.0","0"
"Mixed","Verbal abuse/ threatening behaviour against a pupil","3.3","22"
"Mixed","Verbal abuse/ threatening behaviour against an adult","6.7","44"
"Mixed","Other","16.7","110"
"White","Bullying","0.3","21"
"White","Damage","1.0","59"
"White","Drug and alcohol related","8.3","499"
"White","Persistent disruptive behaviour","38.0","2,293"
"White","Physical assault against a pupil","11.8","714"
"White","Physical assault against an adult","10.5","637"
"White","Racist abuse","0.2","14"
"White","Sexual Misconduct","0.9","54"
"White","Theft","0.4","26"
"White","Verbal abuse/ threatening behaviour against a pupil","3.6","219"
"White","Verbal abuse/ threatening behaviour against an adult","9.1","549"
"White","Other","15.8","953"
"Other","Bullying","0.0","0"
"Other","Damage","2.5","3"
"Other","Drug and alcohol related","11.6","14"
"Other","Persistent disruptive behaviour","20.7","25"
"Other","Physical assault against a pupil","10.7","13"
"Other","Physical assault against an adult","7.4","9"
"Other","Racist abuse","0.0","0"
"Other","Sexual Misconduct","1.7","2"
"Other","Theft","1.7","2"
"Other","Verbal abuse/ threatening behaviour against a pupil","8.3","10"
"Other","Verbal abuse/ threatening behaviour against an adult","5.8","7"
"Other","Other","29.8","36"
