"Time","Ethnicity","Average score"
"2016-17","All","78.0"
"2016-17","Asian",""
"2016-17","Bangladeshi","72.7"
"2016-17","Chinese","75.2"
"2016-17","Indian","76.0"
"2016-17","Pakistani","75.2"
"2016-17","Asian other","78.0"
"2016-17","Black",""
"2016-17","Black African","77.3"
"2016-17","Black Caribbean","77.2"
"2016-17","Black other","79.8"
"2016-17","Mixed",""
"2016-17","Mixed White/Asian","75.8"
"2016-17","Mixed White/Black African","79.4"
"2016-17","Mixed White/Black Caribbean","75.4"
"2016-17","Mixed other","81.3"
"2016-17","White",""
"2016-17","White British","78.2"
"2016-17","White Irish","82.5"
"2016-17","White Gypsy/Traveller","81.4"
"2016-17","White other","78.7"
"2016-17","Other",""
"2016-17","Arab","78.5"
"2016-17","Any other","77.8"
"2017-18","All","78.4"
"2017-18","Asian",""
"2017-18","Bangladeshi","71.9"
"2017-18","Chinese","80.6"
"2017-18","Indian","76.7"
"2017-18","Pakistani","75.0"
"2017-18","Asian other","79.8"
"2017-18","Black",""
"2017-18","Black African","78.4"
"2017-18","Black Caribbean","74.7"
"2017-18","Black other","74.7"
"2017-18","Mixed",""
"2017-18","Mixed White/Asian","76.6"
"2017-18","Mixed White/Black African","78.4"
"2017-18","Mixed White/Black Caribbean","78.8"
"2017-18","Mixed other","75.3"
"2017-18","White",""
"2017-18","White British","78.6"
"2017-18","White Irish","81.4"
"2017-18","White Gypsy/Traveller","!"
"2017-18","White other","79.5"
"2017-18","Other",""
"2017-18","Arab","80.1"
"2017-18","Any other","83.1"
