"Tariff marker","Ethnicity","%","Number of entrants"
"High","Asian","10.4","27,300"
"High","Black","4.0","10,400"
"High","Mixed","4.3","11,150"
"High","White","79.8","209,415"
"High","Other","1.5","4,040"
"High","Unknown","N/A","6,210"
"Medium","Asian","13.9","32,005"
"Medium","Black","8.1","18,725"
"Medium","Mixed","4.0","9,235"
"Medium","White","72.1","166,345"
"Medium","Other","1.9","4,395"
"Medium","Unknown","N/A","3,825"
"Low","Asian","10.6","23,905"
"Low","Black","12.4","28,060"
"Low","Mixed","4.1","9,275"
"Low","White","70.8","160,130"
"Low","Other","2.1","4,650"
"Low","Unknown","N/A","3,730"
"Other","Asian","4.0","1,870"
"Other","Black","3.8","1,755"
"Other","Mixed","2.8","1,305"
"Other","White","88.5","40,925"
"Other","Other","0.9","405"
"Other","Unknown","N/A","1,055"
"All Tariffs","Asian","11.1","85,080"
"All Tariffs","Black","7.7","58,940"
"All Tariffs","Mixed","4.0","30,965"
"All Tariffs","White","75.4","576,810"
"All Tariffs","Other","1.8","13,495"
"All Tariffs","Unknown","N/A","14,815"
