"","Other","","Unknown","","White",""
"NHS trust board","Headcount","%","Headcount","%","Headcount","%"
"2GETHER NHS FOUNDATION TRUST","1","6.7","0","0.0","14","93.3"
"AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST","0","0.0","0","0.0","13","100.0"
"AIREDALE NHS FOUNDATION TRUST","1","7.1","0","0.0","13","92.9"
"ALDER HEY CHILDREN'S NHS FOUNDATION TRUST","1","6.3","0","0.0","15","93.8"
"ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST","1","6.3","0","0.0","15","93.8"
"AVON AND WILTSHIRE MENTAL HEALTH PARTNERSHIP NHS TRUST","0","0.0","3","21.4","11","78.6"
"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","1","8.3","0","0.0","11","91.7"
"BARNET, ENFIELD AND HARINGEY MENTAL HEALTH NHS TRUST","4","30.8","0","0.0","9","69.2"
"BARNSLEY HOSPITAL NHS FOUNDATION TRUST","0","0.0","0","0.0","13","100.0"
"BARTS HEALTH NHS TRUST","3","17.6","0","0.0","14","82.4"
"BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","1","6.7","1","6.7","13","86.7"
"BEDFORD HOSPITAL NHS TRUST","0","0.0","0","0.0","11","100.0"
"BERKSHIRE HEALTHCARE NHS FOUNDATION TRUST","2","15.4","0","0.0","11","84.6"
"BIRMINGHAM AND SOLIHULL MENTAL HEALTH NHS FOUNDATION TRUST","2","14.3","7","50.0","5","35.7"
"BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUNDATION TRUST","2","14.3","1","7.1","11","78.6"
"BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST","1","7.1","4","28.6","9","64.3"
"BLACK COUNTRY PARTNERSHIP NHS FOUNDATION TRUST","2","33.3","1","16.7","3","50.0"
"BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST","0","0.0","0","0.0","16","100.0"
"BOLTON NHS FOUNDATION TRUST","1","6.7","2","13.3","12","80.0"
"BRADFORD DISTRICT CARE NHS FOUNDATION TRUST","0","0.0","2","13.3","13","86.7"
"BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST","3","18.8","0","0.0","13","81.3"
"BRIDGEWATER COMMUNITY HEALTHCARE NHS FOUNDATION TRUST","0","0.0","3","25.0","9","75.0"
"BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST","1","6.7","2","13.3","12","80.0"
"BUCKINGHAMSHIRE HEALTHCARE NHS TRUST","2","13.3","0","0.0","13","86.7"
"CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST","1","5.9","2","11.8","14","82.4"
"CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","0","0.0","0","0.0","16","100.0"
"CAMBRIDGESHIRE AND PETERBOROUGH NHS FOUNDATION TRUST","0","0.0","1","6.7","14","93.3"
