"Ethnicity","%","Number of households with damp","All households "
"All","3","775","23,400"
"Asian","","",""
"Bangladeshi","10","11","112"
"Chinese","2","3","135"
"Indian","2","9","514"
"Pakistani","8","27","342"
"Asian other","4","9","206"
"Black","","",""
"Black African","9","42","448"
"Black Caribbean","2","5","302"
"Black other","10","2","24"
"Mixed","","",""
"Mixed White/Asian","0","0","63"
"Mixed White/Black African","11","5","46"
"Mixed White/Black Caribbean","13","10","74"
"Mixed other","0","0","93"
"White","","",""
"White British","3","597","19,313"
"White Irish","1","2","215"
"White Gypsy/Traveller","?","?","?"
"White other","4","49","1,220"
"Other","","",""
"Arab","3","2","59"
"Any other","1","2","230"
