"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography_code","Gender","Value","Value_type","Denominator","Numerator"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","All","All","2017-18","Academic Year","Barking and Dagenham","Local authority","E09000002","All","82","%","3789","3099"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","All","All","2017-18","Academic Year","Barking and Dagenham","Local authority","E09000002","Boys","78","%","1991","1549"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","All","All","2017-18","Academic Year","Barking and Dagenham","Local authority","E09000002","Girls","86","%","1798","1550"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","All","All","2017-18","Academic Year","Barnet","Local authority","E09000003","All","86","%","4491","3870"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","All","All","2017-18","Academic Year","Barnet","Local authority","E09000003","Boys","84","%","2297","1930"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","All","All","2017-18","Academic Year","Barnet","Local authority","E09000003","Girls","88","%","2194","1940"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","All","All","2017-18","Academic Year","Barnsley","Local authority","E08000016","All","80","%","3019","2417"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","All","All","2017-18","Academic Year","Barnsley","Local authority","E08000016","Boys","74","%","1496","1105"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","All","All","2017-18","Academic Year","Barnsley","Local authority","E08000016","Girls","86","%","1523","1312"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","All","All","2017-18","Academic Year","Bath and North East Somerset","Local authority","E06000022","All","82","%","1902","1552"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","All","All","2017-18","Academic Year","Bath and North East Somerset","Local authority","E06000022","Boys","80","%","970","775"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","All","All","2017-18","Academic Year","Bath and North East Somerset","Local authority","E06000022","Girls","83","%","932","777"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","All","All","2017-18","Academic Year","Bedford","Local authority","E06000055","All","80","%","2302","1836"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","All","All","2017-18","Academic Year","Bedford","Local authority","E06000055","Boys","78","%","1175","914"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","All","All","2017-18","Academic Year","Bedford","Local authority","E06000055","Girls","82","%","1127","922"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","All","All","2017-18","Academic Year","Bexley","Local authority","E09000004","All","87","%","3296","2856"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","All","All","2017-18","Academic Year","Bexley","Local authority","E09000004","Boys","84","%","1713","1447"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","All","All","2017-18","Academic Year","Bexley","Local authority","E09000004","Girls","89","%","1583","1409"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","All","All","2017-18","Academic Year","Birmingham","Local authority","E08000025","All","81","%","16584","13351"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","All","All","2017-18","Academic Year","Birmingham","Local authority","E08000025","Boys","77","%","8594","6599"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","All","All","2017-18","Academic Year","Birmingham","Local authority","E08000025","Girls","85","%","7990","6752"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","All","All","2017-18","Academic Year","Blackburn with Darwen","Local authority","E06000008","All","82","%","2229","1822"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","All","All","2017-18","Academic Year","Blackburn with Darwen","Local authority","E06000008","Boys","79","%","1141","902"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","All","All","2017-18","Academic Year","Blackburn with Darwen","Local authority","E06000008","Girls","85","%","1088","920"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","All","All","2017-18","Academic Year","Blackpool","Local authority","E06000009","All","81","%","1723","1391"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","All","All","2017-18","Academic Year","Blackpool","Local authority","E06000009","Boys","78","%","869","676"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","All","All","2017-18","Academic Year","Blackpool","Local authority","E06000009","Girls","84","%","854","715"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","All","All","2017-18","Academic Year","Bolton","Local authority","E08000001","All","82","%","4154","3394"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","All","All","2017-18","Academic Year","Bolton","Local authority","E08000001","Boys","78","%","2131","1664"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","All","All","2017-18","Academic Year","Bolton","Local authority","E08000001","Girls","86","%","2023","1730"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","All","All","2017-18","Academic Year","Bournemouth","Local authority","E06000028","All","83","%","1966","1623"
"Percentage of year 1 pupils meeting the expected standard of phonic decoding","All","All","2017-18","Academic Year","Bournemouth","Local authority","E06000028","Boys","78","%","1009","783"
