"Reasonable Preference","Ethnicity","%","Number"
"Hardship","All","14.1","11,673"
"Hardship","Asian","11.7","631"
"Hardship","Bangladeshi","6.8","76"
"Hardship","Chinese","17.4","20"
"Hardship","Indian","15.5","80"
"Hardship","Pakistani","12.9","172"
"Hardship","Asian other","13.9","205"
"Hardship","Black","12.5","868"
"Hardship","Black African","13.0","417"
"Hardship","Black Caribbean","14.8","244"
"Hardship","Black other","10.6","89"
"Hardship","Mixed","15.2","439"
"Hardship","Mixed White/Asian","16.1","49"
"Hardship","Mixed White/Black African","13.9","61"
"Hardship","Mixed White/Black Caribbean","14.5","166"
"Hardship","Mixed other","16.3","110"
"Hardship","White","14.4","9,591"
"Hardship","White British","14.3","8,277"
"Hardship","White Irish","14.5","60"
"Hardship","White Gypsy/Traveller","..",".."
"Hardship","White other","11.9","346"
"Hardship","Other","12.9","145"
"Hardship","Arab","..",".."
"Hardship","Any other","14.0","73"
"Homelessness","All","37.1","30,741"
"Homelessness","Asian","42.0","2,261"
"Homelessness","Bangladeshi","33.1","372"
"Homelessness","Chinese","41.7","48"
"Homelessness","Indian","41.9","216"
"Homelessness","Pakistani","47.0","628"
"Homelessness","Asian other","47.1","694"
"Homelessness","Black","40.5","2,808"
"Homelessness","Black African","45.8","1,467"
"Homelessness","Black Caribbean","38.9","643"
"Homelessness","Black other","38.4","322"
"Homelessness","Mixed","42.6","1,234"
"Homelessness","Mixed White/Asian","47.7","145"
"Homelessness","Mixed White/Black African","39.4","173"
"Homelessness","Mixed White/Black Caribbean","44.7","513"
"Homelessness","Mixed other","43.7","294"
"Homelessness","White","35.9","23,921"
"Homelessness","White British","36.2","20,882"
"Homelessness","White Irish","39.7","164"
"Homelessness","White Gypsy/Traveller","48.0","47"
"Homelessness","White other","41.5","1,202"
"Homelessness","Other","46.1","518"
"Homelessness","Arab","48.8","202"
"Homelessness","Any other","44.8","233"
"Insanitary/Unsatisfactory Housing","All","21.5","17,808"
"Insanitary/Unsatisfactory Housing","Asian","30.0","1,613"
"Insanitary/Unsatisfactory Housing","Bangladeshi","48.4","544"
"Insanitary/Unsatisfactory Housing","Chinese","26.1","30"
"Insanitary/Unsatisfactory Housing","Indian","21.5","111"
"Insanitary/Unsatisfactory Housing","Pakistani","23.4","312"
"Insanitary/Unsatisfactory Housing","Asian other","21.8","321"
"Insanitary/Unsatisfactory Housing","Black","28.7","1,987"
"Insanitary/Unsatisfactory Housing","Black African","26.8","858"
"Insanitary/Unsatisfactory Housing","Black Caribbean","23.9","396"
"Insanitary/Unsatisfactory Housing","Black other","32.8","275"
"Insanitary/Unsatisfactory Housing","Mixed","24.1","697"
"Insanitary/Unsatisfactory Housing","Mixed White/Asian","21.4","65"
"Insanitary/Unsatisfactory Housing","Mixed White/Black African","25.3","111"
"Insanitary/Unsatisfactory Housing","Mixed White/Black Caribbean","22.8","262"
"Insanitary/Unsatisfactory Housing","Mixed other","24.1","162"
"Insanitary/Unsatisfactory Housing","White","19.9","13,262"
"Insanitary/Unsatisfactory Housing","White British","19.4","11,212"
"Insanitary/Unsatisfactory Housing","White Irish","15.7","65"
"Insanitary/Unsatisfactory Housing","White Gypsy/Traveller","19.4","19"
"Insanitary/Unsatisfactory Housing","White other","28.9","836"
"Insanitary/Unsatisfactory Housing","Other","22.1","248"
"Insanitary/Unsatisfactory Housing","Arab","23.9","99"
"Insanitary/Unsatisfactory Housing","Any other","19.4","101"
"Medical Welfare","All","25.0","20,724"
"Medical Welfare","Asian","13.1","704"
"Medical Welfare","Bangladeshi","9.2","104"
"Medical Welfare","Chinese","9.6","11"
"Medical Welfare","Indian","18.8","97"
"Medical Welfare","Pakistani","14.4","193"
"Medical Welfare","Asian other","14.0","206"
"Medical Welfare","Black","12.5","866"
"Medical Welfare","Black African","10.0","322"
"Medical Welfare","Black Caribbean","18.1","300"
"Medical Welfare","Black other","12.5","105"
"Medical Welfare","Mixed","14.6","424"
"Medical Welfare","Mixed White/Asian","11.5","35"
"Medical Welfare","Mixed White/Black African","16.4","72"
"Medical Welfare","Mixed White/Black Caribbean","14.5","166"
"Medical Welfare","Mixed other","14.4","97"
"Medical Welfare","White","27.8","18,542"
"Medical Welfare","White British","28.4","16,383"
"Medical Welfare","White Irish","25.9","107"
"Medical Welfare","White Gypsy/Traveller","16.3","16"
"Medical Welfare","White other","14.2","410"
"Medical Welfare","Other","16.7","187"
"Medical Welfare","Arab","15.0","62"
"Medical Welfare","Any other","18.7","97"
"Multiple","All","2.4","1,981"
"Multiple","Asian","3.2","175"
"Multiple","Bangladeshi","2.6","29"
"Multiple","Chinese","5.2","6"
"Multiple","Indian","2.3","12"
"Multiple","Pakistani","2.3","31"
"Multiple","Asian other","3.3","48"
"Multiple","Black","5.9","407"
"Multiple","Black African","4.4","140"
"Multiple","Black Caribbean","4.3","71"
"Multiple","Black other","5.6","47"
"Multiple","Mixed","3.5","102"
"Multiple","Mixed White/Asian","3.3","10"
"Multiple","Mixed White/Black African","5.0","22"
"Multiple","Mixed White/Black Caribbean","3.5","40"
"Multiple","Mixed other","1.5","10"
"Multiple","White","1.9","1,274"
"Multiple","White British","1.6","952"
"Multiple","White Irish","4.1","17"
"Multiple","White Gypsy/Traveller","..",".."
"Multiple","White other","3.5","102"
"Multiple","Other","2.1","24"
"Multiple","Arab","..",".."
"Multiple","Any other","3.1","16"
