"Ethnicity","Age_group","%","Homeowners ('000s)","All households ('000s)"
"White British","16 - 24","12","71","580"
"White British","25 - 34","44","1,009","2,297"
"White British","35 - 44","61","1,700","2,773"
"White British","45 - 54","71","2,645","3,705"
"White British","55 - 64","77","2,586","3,373"
"White British","65 or over","79","4,841","6,136"
"Other than White British","16 - 24","6","12","202"
"Other than White British","25 - 34","23","231","1,009"
"Other than White British","35 - 44","39","472","1,218"
"Other than White British","45 - 54","47","394","844"
"Other than White British","55 - 64","57","283","499"
"Other than White British","65 or over","69","362","526"
