"Sex","Ethnicity","%","Number of people employed"
"All","All","76","30,427,000"
"All","Asian","65","2,140,000"
"All","Indian","76","898,900"
"All","Pakistani, Bangladeshi","56","712,400"
"All","Asian Other","65","528,700"
"All","Black","69","996,900"
"All","Mixed","69","366,600"
"All","White","78","26,395,600"
"All","White British","77","23,808,800"
"All","White Other","83","2,586,800"
"All","Other","63","512,200"
"Men","All","80","15,957,500"
"Men","Asian","77","1,236,400"
"Men","Indian","82","500,300"
"Men","Pakistani, Bangladeshi","73","467,200"
"Men","Asian Other","74","268,900"
"Men","Black","71","470,600"
"Men","Mixed","71","183,900"
"Men","White","81","13,766,300"
"Men","White British","80","12,451,500"
"Men","White Other","89","1,314,800"
"Men","Other","73","291,800"
"Women","All","72","14,469,400"
"Women","Asian","54","903,500"
"Women","Indian","69","398,500"
"Women","Pakistani, Bangladeshi","39","245,200"
"Women","Asian Other","58","259,800"
"Women","Black","67","526,300"
"Women","Mixed","67","182,700"
"Women","White","74","12,629,300"
"Women","White British","74","11,357,300"
"Women","White Other","78","1,272,000"
"Women","Other","54","220,400"
