"Region","Ethnicity","%"
"All","All","76"
"All","Asian","65"
"All","Indian","76"
"All","Pakistani, Bangladeshi","56"
"All","Asian Other","65"
"All","Black","69"
"All","Mixed","69"
"All","White","78"
"All","White British","77"
"All","White Other","83"
"All","Other","63"
"East Midlands","All","77"
"East Midlands","Asian","67"
"East Midlands","Indian","73"
"East Midlands","Pakistani, Bangladeshi","57"
"East Midlands","Asian Other","61"
"East Midlands","Black","72"
"East Midlands","Mixed","?"
"East Midlands","White","78"
"East Midlands","White British","78"
"East Midlands","White Other","83"
"East Midlands","Other","?"
"East of England","All","78"
"East of England","Asian","71"
"East of England","Indian","84"
"East of England","Pakistani, Bangladeshi","59"
"East of England","Asian Other","72"
"East of England","Black","73"
"East of England","Mixed","76"
"East of England","White","79"
"East of England","White British","78"
"East of England","White Other","86"
"East of England","Other","75"
"London","All","75"
"London","Asian","66"
"London","Indian","74"
"London","Pakistani, Bangladeshi","58"
"London","Asian Other","65"
"London","Black","69"
"London","Mixed","69"
"London","White","79"
"London","White British","78"
"London","White Other","83"
"London","Other","66"
"North East","All","71"
"North East","Asian","58"
"North East","Indian","?"
"North East","Pakistani, Bangladeshi","47"
"North East","Asian Other","?"
"North East","Black","60"
"North East","Mixed","?"
"North East","White","71"
"North East","White British","71"
"North East","White Other","77"
"North East","Other","44"
"North West","All","75"
"North West","Asian","60"
"North West","Indian","72"
"North West","Pakistani, Bangladeshi","54"
"North West","Asian Other","59"
"North West","Black","67"
"North West","Mixed","69"
"North West","White","76"
"North West","White British","76"
"North West","White Other","82"
"North West","Other","55"
"Scotland","All","75"
"Scotland","Asian","57"
"Scotland","Indian","64"
"Scotland","Pakistani, Bangladeshi","53"
"Scotland","Asian Other","57"
"Scotland","Black","63"
"Scotland","Mixed","?"
"Scotland","White","76"
"Scotland","White British","75"
"Scotland","White Other","80"
"Scotland","Other","55"
"South East","All","80"
"South East","Asian","75"
"South East","Indian","85"
"South East","Pakistani, Bangladeshi","68"
"South East","Asian Other","70"
"South East","Black","76"
"South East","Mixed","73"
"South East","White","80"
"South East","White British","80"
"South East","White Other","85"
"South East","Other","77"
"South West","All","79"
"South West","Asian","72"
"South West","Indian","71"
"South West","Pakistani, Bangladeshi","?"
"South West","Asian Other","77"
"South West","Black","77"
"South West","Mixed","77"
"South West","White","80"
"South West","White British","79"
"South West","White Other","85"
"South West","Other","68"
"Wales","All","73"
"Wales","Asian","66"
"Wales","Indian","?"
"Wales","Pakistani, Bangladeshi","61"
"Wales","Asian Other","63"
"Wales","Black","63"
"Wales","Mixed","68"
"Wales","White","74"
"Wales","White British","74"
"Wales","White Other","81"
"Wales","Other","52"
"West Midlands","All","74"
"West Midlands","Asian","62"
"West Midlands","Indian","77"
"West Midlands","Pakistani, Bangladeshi","52"
"West Midlands","Asian Other","55"
"West Midlands","Black","62"
"West Midlands","Mixed","61"
"West Midlands","White","77"
"West Midlands","White British","77"
"West Midlands","White Other","84"
"West Midlands","Other","56"
"Yorkshire and The Humber","All","74"
"Yorkshire and The Humber","Asian","56"
"Yorkshire and The Humber","Indian","69"
"Yorkshire and The Humber","Pakistani, Bangladeshi","53"
"Yorkshire and The Humber","Asian Other","58"
"Yorkshire and The Humber","Black","74"
"Yorkshire and The Humber","Mixed","68"
"Yorkshire and The Humber","White","76"
"Yorkshire and The Humber","White British","76"
"Yorkshire and The Humber","White Other","80"
"Yorkshire and The Humber","Other","50"
