"Measure","Measure_type","time","ethnicity","Ethnicity_type","Value"
"Employed","Percentage of individuals employed","Apr-Jun 2001","All","White and Other","72.5"
"Employed","Percentage of individuals employed","Jul-Sep 2001","All","White and Other","72.9"
"Employed","Percentage of individuals employed","Oct-Dec 2001","All","White and Other","72.7"
"Employed","Percentage of individuals employed","Jan-Mar 2002","All","White and Other","72.2"
"Employed","Percentage of individuals employed","Apr-Jun 2002","All","White and Other","72.5"
"Employed","Percentage of individuals employed","Jul-Sep 2002","All","White and Other","72.9"
"Employed","Percentage of individuals employed","Oct-Dec 2002","All","White and Other","73"
"Employed","Percentage of individuals employed","Jan-Mar 2003","All","White and Other","72.4"
"Employed","Percentage of individuals employed","Apr-Jun 2003","All","White and Other","72.7"
"Employed","Percentage of individuals employed","Jul-Sep 2003","All","White and Other","73.1"
"Employed","Percentage of individuals employed","Oct-Dec 2003","All","White and Other","72.9"
"Employed","Percentage of individuals employed","Jan-Mar 2004","All","White and Other","72.8"
"Employed","Percentage of individuals employed","Apr-Jun 2004","All","White and Other","72.7"
"Employed","Percentage of individuals employed","Jul-Sep 2004","All","White and Other","73.2"
"Employed","Percentage of individuals employed","Oct-Dec 2004","All","White and Other","73.2"
"Employed","Percentage of individuals employed","Jan-Mar 2005","All","White and Other","72.9"
"Employed","Percentage of individuals employed","Apr-Jun 2005","All","White and Other","72.7"
"Employed","Percentage of individuals employed","Jul-Sep 2005","All","White and Other","73.3"
"Employed","Percentage of individuals employed","Oct-Dec 2005","All","White and Other","72.8"
"Employed","Percentage of individuals employed","Jan-Mar 2006","All","White and Other","72.7"
"Employed","Percentage of individuals employed","Apr-Jun 2006","All","White and Other","72.6"
"Employed","Percentage of individuals employed","Jul-Sep 2006","All","White and Other","73.1"
"Employed","Percentage of individuals employed","Oct-Dec 2006","All","White and Other","72.9"
"Employed","Percentage of individuals employed","Jan-Mar 2007","All","White and Other","72.3"
"Employed","Percentage of individuals employed","Apr-Jun 2007","All","White and Other","72.4"
"Employed","Percentage of individuals employed","Jul-Sep 2007","All","White and Other","73"
"Employed","Percentage of individuals employed","Oct-Dec 2007","All","White and Other","73.1"
"Employed","Percentage of individuals employed","Jan-Mar 2008","All","White and Other","72.7"
"Employed","Percentage of individuals employed","Apr-Jun 2008","All","White and Other","72.7"
"Employed","Percentage of individuals employed","Jul-Sep 2008","All","White and Other","72.7"
"Employed","Percentage of individuals employed","Oct-Dec 2008","All","White and Other","72.3"
"Employed","Percentage of individuals employed","Jan-Mar 2009","All","White and Other","71.4"
"Employed","Percentage of individuals employed","Apr-Jun 2009","All","White and Other","70.6"
"Employed","Percentage of individuals employed","Jul-Sep 2009","All","White and Other","70.9"
"Employed","Percentage of individuals employed","Oct-Dec 2009","All","White and Other","70.7"
"Employed","Percentage of individuals employed","Jan-Mar 2010","All","White and Other","70"
"Employed","Percentage of individuals employed","Apr-Jun 2010","All","White and Other","70.2"
"Employed","Percentage of individuals employed","Jul-Sep 2010","All","White and Other","71"
"Employed","Percentage of individuals employed","Oct-Dec 2010","All","White and Other","70.6"
"Employed","Percentage of individuals employed","Jan-Mar 2011","All","White and Other","70.3"
"Employed","Percentage of individuals employed","Apr-Jun 2011","All","White and Other","70.2"
"Employed","Percentage of individuals employed","Jul-Sep 2011","All","White and Other","70.4"
"Employed","Percentage of individuals employed","Oct-Dec 2011","All","White and Other","70.4"
"Employed","Percentage of individuals employed","Jan-Mar 2012","All","White and Other","70.2"
"Employed","Percentage of individuals employed","Apr-Jun 2012","All","White and Other","70.7"
"Employed","Percentage of individuals employed","Jul-Sep 2012","All","White and Other","71.4"
"Employed","Percentage of individuals employed","Oct-Dec 2012","All","White and Other","71.6"
"Employed","Percentage of individuals employed","Jan-Mar 2013","All","White and Other","71"
"Employed","Percentage of individuals employed","Apr-Jun 2013","All","White and Other","71.1"
"Employed","Percentage of individuals employed","Jul-Sep 2013","All","White and Other","71.9"
"Employed","Percentage of individuals employed","Oct-Dec 2013","All","White and Other","72.2"
"Employed","Percentage of individuals employed","Jan-Mar 2014","All","White and Other","72.3"
"Employed","Percentage of individuals employed","Apr-Jun 2014","All","White and Other","72.6"
"Employed","Percentage of individuals employed","Jul-Sep 2014","All","White and Other","73.2"
"Employed","Percentage of individuals employed","Oct-Dec 2014","All","White and Other","73.4"
"Employed","Percentage of individuals employed","Jan-Mar 2015","All","White and Other","73.2"
"Employed","Percentage of individuals employed","Apr-Jun 2015","All","White and Other","73.2"
"Employed","Percentage of individuals employed","Jul-Sep 2015","All","White and Other","74"
"Employed","Percentage of individuals employed","Oct-Dec 2015","All","White and Other","74.3"
"Employed","Percentage of individuals employed","Jan-Mar 2016","All","White and Other","74"
"Employed","Percentage of individuals employed","Apr-Jun 2016","All","White and Other","74.2"
"Employed","Percentage of individuals employed","Jul-Sep 2016","All","White and Other","74.6"
"Employed","Percentage of individuals employed","Oct-Dec 2016","All","White and Other","74.7"
"Employed","Percentage of individuals employed","Jan-Mar 2017","All","White and Other","74.6"
"Employed","Percentage of individuals employed","Apr-Jun 2017","All","White and Other","74.9"
"Employed","Percentage of individuals employed","Jul-Sep 2017","All","White and Other","75.2"
"Employed","Percentage of individuals employed","Oct-Dec 2017","All","White and Other","75.3"
"Employed","Percentage of individuals employed","Jan-Mar 2018","All","White and Other","75.4"
"Employed","Percentage of individuals employed","Apr-Jun 2018","All","White and Other","75.4"
"Employed","Percentage of individuals employed","Jul-Sep 2018","All","White and Other","75.7"
"Employed","Percentage of individuals employed","Oct-Dec 2018","All","White and Other","76"
"Employed","Percentage of individuals employed","Jan-Mar 2019","All","White and Other","75.9"
"Employed","Percentage of individuals employed","Apr-Jun 2019","All","White and Other","76"
"Employed","Percentage of individuals employed","Jul-Sep 2019","All","White and Other","76.2"
"Employed","Percentage of individuals employed","Oct-Dec 2019","All","White and Other","76.6"
"Employed","Percentage of individuals employed","Jan-Mar 2020 r","All","White and Other","76.3"
"Employed","Percentage of individuals employed","Apr-Jun 2020 r","All","White and Other","75.7"
"Employed","Percentage of individuals employed","Jul-Sep 2020","All","White and Other","75.3"
"Employed","Percentage of individuals employed","Apr-Jun 2001","White","White and Other","73.8"
"Employed","Percentage of individuals employed","Jul-Sep 2001","White","White and Other","74.1"
"Employed","Percentage of individuals employed","Oct-Dec 2001","White","White and Other","74"
"Employed","Percentage of individuals employed","Jan-Mar 2002","White","White and Other","73.4"
