"Ethnic group","Country of birth","Value","Geography","Source","Period"
"All categories: Ethnic group","Europe: Total","91.5","E&W","Census","2011"
"White: Total","Europe: Total","98.0","E&W","Census","2011"
"English/Welsh/Scottish/Northern Irish/British","Europe: Total","98.9","E&W","Census","2011"
"Irish","Europe: Total","97.2","E&W","Census","2011"
"Gypsy or Irish Traveller","Europe: Total","99.1","E&W","Census","2011"
"Other White","Europe: Total","82.2","E&W","Census","2011"
"Mixed/multiple ethnic group: Total","Europe: Total","85.7","E&W","Census","2011"
"White and Black Caribbean","Europe: Total","95.3","E&W","Census","2011"
"White and Black African","Europe: Total","76.7","E&W","Census","2011"
"White and Asian","Europe: Total","84.2","E&W","Census","2011"
"Other Mixed","Europe: Total","78.3","E&W","Census","2011"
"Asian/Asian British: Total","Europe: Total","43.6","E&W","Census","2011"
"Indian","Europe: Total","43.8","E&W","Census","2011"
"Pakistani","Europe: Total","57.2","E&W","Census","2011"
"Bangladeshi","Europe: Total","52.7","E&W","Census","2011"
"Chinese","Europe: Total","25.7","E&W","Census","2011"
"Other Asian","Europe: Total","28.5","E&W","Census","2011"
"Black/African/Caribbean/Black British: Total","Europe: Total","50.1","E&W","Census","2011"
"African","Europe: Total","36.8","E&W","Census","2011"
"Caribbean","Europe: Total","61.3","E&W","Census","2011"
"Other Black","Europe: Total","73.6","E&W","Census","2011"
"Other ethnic group: Total","Europe: Total","42.0","E&W","Census","2011"
"Arab","Europe: Total","33.8","E&W","Census","2011"
"Any other ethnic group","Europe: Total","47.6","E&W","Census","2011"
"All categories: Ethnic group","United Kingdom: Total","86.6","E&W","Census","2011"
"White: Total","United Kingdom: Total","92.9","E&W","Census","2011"
"English/Welsh/Scottish/Northern Irish/British","United Kingdom: Total","97.9","E&W","Census","2011"
"Irish","United Kingdom: Total","33.4","E&W","Census","2011"
"Gypsy or Irish Traveller","United Kingdom: Total","87.8","E&W","Census","2011"
"Other White","United Kingdom: Total","14.5","E&W","Census","2011"
"Mixed/multiple ethnic group: Total","United Kingdom: Total","80.5","E&W","Census","2011"
"White and Black Caribbean","United Kingdom: Total","94.0","E&W","Census","2011"
"White and Black African","United Kingdom: Total","68.2","E&W","Census","2011"
"White and Asian","United Kingdom: Total","79.2","E&W","Census","2011"
"Other Mixed","United Kingdom: Total","69.1","E&W","Census","2011"
"Asian/Asian British: Total","United Kingdom: Total","42.0","E&W","Census","2011"
"Indian","United Kingdom: Total","42.9","E&W","Census","2011"
"Pakistani","United Kingdom: Total","56.1","E&W","Census","2011"
"Bangladeshi","United Kingdom: Total","51.9","E&W","Census","2011"
