"Ethnicity","Highest qualification held",""
"All","All","19%"
"All","Level 4 and above","11%"
"All","Level 3","15%"
"All","Level 2","22%"
"All","Below Level 2","25%"
"All","Other qualifications","21%"
"All","No qualifications","48%"
"Asian","All","25%"
"Asian","Level 4 and above","13%"
"Asian","Level 3","22%"
"Asian","Level 2","34%"
"Asian","Below Level 2","36%"
"Asian","Other qualifications","30%"
"Asian","No qualifications","56%"
"Black","All","21%"
"Black","Level 4 and above","11%"
"Black","Level 3","19%"
"Black","Level 2","30%"
"Black","Below Level 2","30%"
"Black","Other qualifications","22%"
"Black","No qualifications","45%"
"Mixed","All","23%"
"Mixed","Level 4 and above","11%"
"Mixed","Level 3","21%"
"Mixed","Level 2","35%"
"Mixed","Below Level 2","34%"
"Mixed","Other qualifications","?"
"Mixed","No qualifications","57%"
"White","All","18%"
"White","Level 4 and above","11%"
"White","Level 3","14%"
"White","Level 2","21%"
"White","Below Level 2","24%"
"White","Other qualifications","18%"
"White","No qualifications","47%"
"Other","All","27%"
"Other","Level 4 and above","17%"
"Other","Level 3","29%"
"Other","Level 2","32%"
"Other","Below Level 2","37%"
"Other","Other qualifications","29%"
"Other","No qualifications","52%"
