"Ethnicity","Highest qualification held",""
"All","All","24%"
"All","Level 4 and above","14%"
"All","Level 3","19%"
"All","Level 2","27%"
"All","Below Level 2","33%"
"All","Other qualifications","32%"
"All","No qualifications","59%"
"Asian","All","38%"
"Asian","Level 4 and above","21%"
"Asian","Level 3","35%"
"Asian","Level 2","45%"
"Asian","Below Level 2","52%"
"Asian","Other qualifications","50%"
"Asian","No qualifications","79%"
"Black","All","26%"
"Black","Level 4 and above","14%"
"Black","Level 3","22%"
"Black","Level 2","37%"
"Black","Below Level 2","39%"
"Black","Other qualifications","35%"
"Black","No qualifications","56%"
"Mixed","All","28%"
"Mixed","Level 4 and above","14%"
"Mixed","Level 3","29%"
"Mixed","Level 2","43%"
"Mixed","Below Level 2","?"
"Mixed","Other qualifications","?"
"Mixed","No qualifications","?"
"White","All","22%"
"White","Level 4 and above","14%"
"White","Level 3","18%"
"White","Level 2","26%"
"White","Below Level 2","32%"
"White","Other qualifications","27%"
"White","No qualifications","56%"
"Other","All","36%"
"Other","Level 4 and above","24%"
"Other","Level 3","42%"
"Other","Level 2","39%"
"Other","Below Level 2","?"
"Other","Other qualifications","47%"
"Other","No qualifications","65%"
