"Source of Referral","Ethnicity","2015/16 %","2016/17 %","2017/18 %"
"Tenant applied direct","All","43.8","45.5","46.3"
"Tenant applied direct","Asian","40.2","43.4","45.0"
"Tenant applied direct","Bangladeshi","35.4","41.5","44.6"
"Tenant applied direct","Chinese","41.0","41.3","42.3"
"Tenant applied direct","Indian","41.2","41.3","41.6"
"Tenant applied direct","Pakistani","41.6","43.4","43.6"
"Tenant applied direct","Asian other","41.7","46.4","48.2"
"Tenant applied direct","Black","37.4","40.2","41.3"
"Tenant applied direct","Black African","40.0","42.4","42.8"
"Tenant applied direct","Black Caribbean","31.5","34.7","36.3"
"Tenant applied direct","Black other","42.6","45.1","46.6"
"Tenant applied direct","Mixed","36.3","39.2","39.1"
"Tenant applied direct","Mixed White/Asian","37.8","40.0","35.5"
"Tenant applied direct","Mixed White/Black African","39.8","41.9","44.3"
"Tenant applied direct","Mixed White/Black Caribbean","34.1","36.6","36.9"
"Tenant applied direct","Mixed other","37.4","42.2","41.6"
"Tenant applied direct","White","44.7","46.2","47.0"
"Tenant applied direct","White British","44.5","46.1","46.8"
"Tenant applied direct","White Irish","36.1","37.8","39.5"
"Tenant applied direct","White Gypsy/Traveller","35.6","37.9","44.2"
"Tenant applied direct","White other","50.1","51.0","51.1"
"Tenant applied direct","Other","46.8","47.2","50.1"
"Tenant applied direct","Arab","40.7","39.8","44.5"
"Tenant applied direct","Any other","49.3","50.2","54.1"
"Nominated by local housing authority","All","25.7","24.9","25.4"
"Nominated by local housing authority","Asian","28.9","27.0","26.6"
"Nominated by local housing authority","Bangladeshi","38.6","32.9","30.9"
"Nominated by local housing authority","Chinese","28.5","29.7","26.6"
"Nominated by local housing authority","Indian","24.4","24.6","24.8"
"Nominated by local housing authority","Pakistani","26.1","26.2","27.1"
"Nominated by local housing authority","Asian other","27.4","24.9","24.2"
"Nominated by local housing authority","Black","26.6","23.4","23.9"
"Nominated by local housing authority","Black African","27.9","24.7","24.9"
"Nominated by local housing authority","Black Caribbean","27.0","23.6","25.0"
"Nominated by local housing authority","Black other","20.2","17.8","18.1"
"Nominated by local housing authority","Mixed","28.5","26.1","28.3"
"Nominated by local housing authority","Mixed White/Asian","30.0","25.3","29.5"
"Nominated by local housing authority","Mixed White/Black African","25.9","24.6","27.6"
"Nominated by local housing authority","Mixed White/Black Caribbean","27.0","26.0","28.1"
"Nominated by local housing authority","Mixed other","32.7","27.6","28.6"
"Nominated by local housing authority","White","25.5","24.9","25.5"
"Nominated by local housing authority","White British","25.3","24.8","25.3"
"Nominated by local housing authority","White Irish","18.7","19.4","20.4"
"Nominated by local housing authority","White Gypsy/Traveller","33.6","25.6","27.4"
"Nominated by local housing authority","White other","29.7","29.0","29.3"
"Nominated by local housing authority","Other","20.3","20.9","19.0"
"Nominated by local housing authority","Arab","23.1","21.3","20.8"
"Nominated by local housing authority","Any other","19.2","20.8","17.7"
"Internal transfer","All","13.2","12.8","12.5"
"Internal transfer","Asian","10.6","10.1","10.1"
"Internal transfer","Bangladeshi","13.4","11.7","11.7"
"Internal transfer","Chinese","14.5","11.3","11.9"
"Internal transfer","Indian","9.9","10.9","10.2"
"Internal transfer","Pakistani","8.4","8.9","8.4"
"Internal transfer","Asian other","10.9","9.8","10.4"
"Internal transfer","Black","13.8","13.5","13.5"
"Internal transfer","Black African","12.1","12.2","12.0"
"Internal transfer","Black Caribbean","14.6","14.4","14.1"
"Internal transfer","Black other","18.2","16.6","17.8"
