"Source of Referral","Ethnicity","%"
"Tenant applied direct","All","46.3"
"Tenant applied direct","Asian","45.0"
"Tenant applied direct","Bangladeshi","44.6"
"Tenant applied direct","Chinese","42.3"
"Tenant applied direct","Indian","41.6"
"Tenant applied direct","Pakistani","43.6"
"Tenant applied direct","Asian other","48.2"
"Tenant applied direct","Black","41.3"
"Tenant applied direct","Black African","42.8"
"Tenant applied direct","Black Caribbean","36.3"
"Tenant applied direct","Black other","46.6"
"Tenant applied direct","Mixed","39.1"
"Tenant applied direct","Mixed White/Asian","35.5"
"Tenant applied direct","Mixed White/Black African","44.3"
"Tenant applied direct","Mixed White/Black Caribbean","36.9"
"Tenant applied direct","Mixed other","41.6"
"Tenant applied direct","White","47.0"
"Tenant applied direct","White British","46.8"
"Tenant applied direct","White Irish","39.5"
"Tenant applied direct","White Gypsy/Traveller","44.2"
"Tenant applied direct","White other","51.1"
"Tenant applied direct","Other","50.1"
"Tenant applied direct","Arab","44.5"
"Tenant applied direct","Any other","54.1"
"Nominated by local housing authority","All","25.4"
"Nominated by local housing authority","Asian","26.6"
"Nominated by local housing authority","Bangladeshi","30.9"
"Nominated by local housing authority","Chinese","26.6"
"Nominated by local housing authority","Indian","24.8"
"Nominated by local housing authority","Pakistani","27.1"
"Nominated by local housing authority","Asian other","24.2"
"Nominated by local housing authority","Black","23.9"
"Nominated by local housing authority","Black African","24.9"
"Nominated by local housing authority","Black Caribbean","25.0"
"Nominated by local housing authority","Black other","18.1"
"Nominated by local housing authority","Mixed","28.3"
"Nominated by local housing authority","Mixed White/Asian","29.5"
"Nominated by local housing authority","Mixed White/Black African","27.6"
"Nominated by local housing authority","Mixed White/Black Caribbean","28.1"
"Nominated by local housing authority","Mixed other","28.6"
"Nominated by local housing authority","White","25.5"
"Nominated by local housing authority","White British","25.3"
"Nominated by local housing authority","White Irish","20.4"
"Nominated by local housing authority","White Gypsy/Traveller","27.4"
"Nominated by local housing authority","White other","29.3"
"Nominated by local housing authority","Other","19.0"
"Nominated by local housing authority","Arab","20.8"
"Nominated by local housing authority","Any other","17.7"
"Internal transfer","All","12.5"
"Internal transfer","Asian","10.1"
"Internal transfer","Bangladeshi","11.7"
"Internal transfer","Chinese","11.9"
"Internal transfer","Indian","10.2"
"Internal transfer","Pakistani","8.4"
"Internal transfer","Asian other","10.4"
"Internal transfer","Black","13.5"
"Internal transfer","Black African","12.0"
"Internal transfer","Black Caribbean","14.1"
"Internal transfer","Black other","17.8"
"Internal transfer","Mixed","10.8"
"Internal transfer","Mixed White/Asian","11.3"
"Internal transfer","Mixed White/Black African","10.9"
"Internal transfer","Mixed White/Black Caribbean","11.8"
"Internal transfer","Mixed other","9.0"
"Internal transfer","White","12.6"
"Internal transfer","White British","12.8"
"Internal transfer","White Irish","15.5"
"Internal transfer","White Gypsy/Traveller","10.0"
"Internal transfer","White other","8.6"
"Internal transfer","Other","9.8"
"Internal transfer","Arab","10.7"
"Internal transfer","Any other","9.1"
"Referred by local authority housing department","All","4.5"
"Referred by local authority housing department","Asian","4.1"
"Referred by local authority housing department","Bangladeshi","2.2"
"Referred by local authority housing department","Chinese","5.9"
"Referred by local authority housing department","Indian","5.1"
"Referred by local authority housing department","Pakistani","4.8"
"Referred by local authority housing department","Asian other","3.9"
"Referred by local authority housing department","Black","5.0"
"Referred by local authority housing department","Black African","4.6"
"Referred by local authority housing department","Black Caribbean","6.0"
"Referred by local authority housing department","Black other","4.1"
"Referred by local authority housing department","Mixed","6.4"
"Referred by local authority housing department","Mixed White/Asian","7.9"
"Referred by local authority housing department","Mixed White/Black African","5.3"
