"","Tenant applied direct","Nominated by local housing authority","Internal transfer","Referred by local authority housing department","Social services","Voluntary agency","Police, probation, prison","Other social landlord","Other"
"Ethnicity","%","%","%","%","%","%","%","%","%"
"All","46.3","25.4","12.5","4.5","2.8","1.4","0.7","0.5","6.0"
"Asian","45.0","26.6","10.1","4.1","3.0","2.4","0.8","0.7","7.4"
"Bangladeshi","44.6","30.9","11.7","2.2","2.0","1.6","0.8","0.5","5.6"
"Chinese","42.3","26.6","11.9","5.9","4.7","1.2","0.0","0.9","6.5"
"Indian","41.6","24.8","10.2","5.1","3.2","3.2","1.4","0.6","9.8"
"Pakistani","43.6","27.1","8.4","4.8","3.3","3.3","1.0","0.9","7.7"
"Asian other","48.2","24.2","10.4","3.9","3.2","1.8","0.4","0.6","7.2"
"Black","41.3","23.9","13.5","5.0","3.3","2.7","0.7","0.7","9.0"
"Black African","42.8","24.9","12.0","4.6","3.1","2.9","0.4","0.6","8.7"
"Black Caribbean","36.3","25.0","14.1","6.0","4.0","2.6","1.1","0.8","10.1"
"Black other","46.6","18.1","17.8","4.1","2.5","2.1","0.7","0.7","7.4"
"Mixed","39.1","28.3","10.8","6.4","3.7","2.2","1.0","0.7","7.7"
"Mixed White/Asian","35.5","29.5","11.3","7.9","4.1","1.4","1.5","0.7","8.0"
"Mixed White/Black African","44.3","27.6","10.9","5.3","2.9","1.7","0.6","0.6","6.0"
"Mixed White/Black Caribbean","36.9","28.1","11.8","7.1","3.5","3.0","1.0","0.7","8.0"
"Mixed other","41.6","28.6","9.0","5.3","4.2","1.5","0.8","0.9","8.1"
"White","47.0","25.5","12.6","4.4","2.7","1.2","0.7","0.4","5.5"
"White British","46.8","25.3","12.8","4.5","2.7","1.2","0.7","0.4","5.5"
"White Irish","39.5","20.4","15.5","6.8","3.6","2.2","1.0","0.5","10.5"
"White Gypsy/Traveller","44.2","27.4","10.0","5.6","2.4","2.4","!","!","6.7"
"White other","51.1","29.3","8.6","2.4","1.7","1.1","0.2","0.3","5.4"
"Other","50.1","19.0","9.8","5.1","3.0","1.5","0.4","0.7","10.3"
"Arab","44.5","20.8","10.7","5.9","3.0","1.6","0.7","0.5","12.2"
"Any other","54.1","17.7","9.1","4.5","3.0","1.4","0.3","0.9","9.0"
