"Measure","Time","Time_type","Ethnicity","Median hourly pay","Value_type","Denominator (weighted)"
"Average Hourly Pay","2013","Year","All","10.54","£ ","25111800"
"Average Hourly Pay","2013","Year","Asian","10.07","£ ","1332600"
"Average Hourly Pay","2013","Year","Black","10.27","£ ","598600"
"Average Hourly Pay","2013","Year","Indian","11.55","£ ","599100"
"Average Hourly Pay","2013","Year","Mixed/Multiple ethnic groups","11.00","£ ","229600"
"Average Hourly Pay","2013","Year","Other Asian (inc. Chinese)","10.17","£ ","359400"
"Average Hourly Pay","2013","Year","Other ethnic group","9.69","£ ","317700"
"Average Hourly Pay","2013","Year","Pakistani/ Bangladeshi","8.13","£ ","374100"
"Average Hourly Pay","2013","Year","White","10.58","£ ","22627300"
"Average Hourly Pay","2013","Year","White British","10.60","£ ","20706800"
"Average Hourly Pay","2013","Year","White Other","10.13","£ ","1917400"
"Average Hourly Pay","2014","Year","All","10.69","£ ","25549400"
"Average Hourly Pay","2014","Year","Asian","9.82","£ ","1419900"
"Average Hourly Pay","2014","Year","Black","10.00","£ ","628200"
"Average Hourly Pay","2014","Year","Indian","12.03","£ ","650400"
"Average Hourly Pay","2014","Year","Mixed/Multiple ethnic groups","10.41","£ ","249800"
"Average Hourly Pay","2014","Year","Other Asian (inc. Chinese)","9.27","£ ","373100"
"Average Hourly Pay","2014","Year","Other ethnic group","9.80","£ ","319600"
"Average Hourly Pay","2014","Year","Pakistani/ Bangladeshi","7.89","£ ","396400"
"Average Hourly Pay","2014","Year","White","10.81","£ ","22910900"
"Average Hourly Pay","2014","Year","White British","10.83","£ ","20790600"
"Average Hourly Pay","2014","Year","White Other","10.55","£ ","2118100"
"Average Hourly Pay","2015","Year","All","10.82","£ ","26143400"
"Average Hourly Pay","2015","Year","Asian","10.16","£ ","1438800"
"Average Hourly Pay","2015","Year","Black","9.91","£ ","727600"
"Average Hourly Pay","2015","Year","Indian","11.75","£ ","640600"
"Average Hourly Pay","2015","Year","Mixed/Multiple ethnic groups","10.71","£ ","253200"
"Average Hourly Pay","2015","Year","Other Asian (inc. Chinese)","9.76","£ ","391700"
"Average Hourly Pay","2015","Year","Other ethnic group","10.02","£ ","359200"
"Average Hourly Pay","2015","Year","Pakistani/ Bangladeshi","9.11","£ ","406500"
"Average Hourly Pay","2015","Year","White","10.91","£ ","23344000"
"Average Hourly Pay","2015","Year","White British","10.95","£ ","21078500"
