"Housing Cost","Ethnicity","%"
"Before Housing Costs","All","17"
"Before Housing Costs","Asian","27"
"Before Housing Costs","Bangladeshi","31"
"Before Housing Costs","Chinese","27"
"Before Housing Costs","Indian","17"
"Before Housing Costs","Pakistani","40"
"Before Housing Costs","Asian other","25"
"Before Housing Costs","Black","27"
"Before Housing Costs","Mixed","19"
"Before Housing Costs","White","15"
"Before Housing Costs","White British","15"
"Before Housing Costs","White other","16"
"Before Housing Costs","Other","25"
"After Housing Costs","All","22"
"After Housing Costs","Asian","37"
"After Housing Costs","Bangladeshi","53"
"After Housing Costs","Chinese","34"
"After Housing Costs","Indian","24"
"After Housing Costs","Pakistani","46"
"After Housing Costs","Asian other","41"
"After Housing Costs","Black","42"
"After Housing Costs","Mixed","34"
"After Housing Costs","White","19"
"After Housing Costs","White British","19"
"After Housing Costs","White other","27"
"After Housing Costs","Other","40"
