"Age Bracket","Ethnicity","%"
"All","All","22"
"All","Asian","37"
"All","Bangladeshi","53"
"All","Chinese","34"
"All","Indian","24"
"All","Pakistani","46"
"All","Asian other","41"
"All","Black","42"
"All","Mixed","34"
"All","White","19"
"All","White British","19"
"All","White other","27"
"All","Other","40"
"Children","All","30"
"Children","Asian","45"
"Children","Bangladeshi","67"
"Children","Chinese","34"
"Children","Indian","27"
"Children","Pakistani","53"
"Children","Asian other","50"
"Children","Black","47"
"Children","Mixed","49"
"Children","White","26"
"Children","White British","25"
"Children","White other","36"
"Children","Other","50"
"Working-age","All","21"
"Working-age","Asian","34"
"Working-age","Bangladeshi","47"
"Working-age","Chinese","33"
"Working-age","Indian","22"
"Working-age","Pakistani","43"
"Working-age","Asian other","37"
"Working-age","Black","41"
"Working-age","Mixed","28"
"Working-age","White","19"
"Working-age","White British","18"
"Working-age","White other","24"
"Working-age","Other","37"
"Pensioners","All","16"
"Pensioners","Asian","33"
"Pensioners","Bangladeshi","?"
"Pensioners","Chinese","?"
"Pensioners","Indian","31"
"Pensioners","Pakistani","48"
"Pensioners","Asian other","?"
"Pensioners","Black","30"
"Pensioners","Mixed","?"
"Pensioners","White","15"
"Pensioners","White British","15"
"Pensioners","White other","23"
"Pensioners","Other","?"
