"Title","Low income","","","","","","","","","","","",""
"Location","UK","","","","","","","","","","","",""
"Time period","2008/09 to 2019/20","","","","","","","","","","","",""
"Data source","Department for Work and Pensions","","","","","","","","","","","",""
"Data source link","https://www.gov.uk/government/collections/households-below-average-income-hbai--2","","","","","","","","","","","",""
"Source","https://www.ethnicity-facts-figures.service.gov.uk/","","","","","","","","","","","",""
"Last updated","22/04/2021","","","","","","","","","","","",""
"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Geography_type","Share of population","Age Bracket","New value","Denominator","Numerator","Age Bracket Type","Note"
"Low income Before Housing Costs","2017/18; 2018/19; 2019/20","3-Year average","All","ONS 5+2","United Kingdom","ONS geography code","In low income","All","17","N/A","N/A","All/Children/Working-Age Adults/Pensioners","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Low income Before Housing Costs","2017/18; 2018/19; 2019/20","3-Year average","White","ONS 5+2","United Kingdom","ONS geography code","In low income","All","16","N/A","N/A","All/Children/Working-Age Adults/Pensioners","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Low income Before Housing Costs","2017/18; 2018/19; 2019/20","3-Year average","White British","ONS 5+2","United Kingdom","ONS geography code","In low income","All","16","N/A","N/A","All/Children/Working-Age Adults/Pensioners","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Low income Before Housing Costs","2017/18; 2018/19; 2019/20","3-Year average","White Other","ONS 5+2","United Kingdom","ONS geography code","In low income","All","16","N/A","N/A","All/Children/Working-Age Adults/Pensioners","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Low income Before Housing Costs","2017/18; 2018/19; 2019/20","3-Year average","Mixed","ONS 5+2","United Kingdom","ONS geography code","In low income","All","19","N/A","N/A","All/Children/Working-Age Adults/Pensioners","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Low income Before Housing Costs","2017/18; 2018/19; 2019/20","3-Year average","Asian","ONS 5+2","United Kingdom","ONS geography code","In low income","All","28","N/A","N/A","All/Children/Working-Age Adults/Pensioners","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Low income Before Housing Costs","2017/18; 2018/19; 2019/20","3-Year average","Indian","ONS 5+2","United Kingdom","ONS geography code","In low income","All","18","N/A","N/A","All/Children/Working-Age Adults/Pensioners","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Low income Before Housing Costs","2017/18; 2018/19; 2019/20","3-Year average","Pakistani","ONS 5+2","United Kingdom","ONS geography code","In low income","All","41","N/A","N/A","All/Children/Working-Age Adults/Pensioners","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Low income Before Housing Costs","2017/18; 2018/19; 2019/20","3-Year average","Bangladeshi","ONS 5+2","United Kingdom","ONS geography code","In low income","All","35","N/A","N/A","All/Children/Working-Age Adults/Pensioners","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Low income Before Housing Costs","2017/18; 2018/19; 2019/20","3-Year average","Chinese","ONS 5+2","United Kingdom","ONS geography code","In low income","All","25","N/A","N/A","All/Children/Working-Age Adults/Pensioners","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Low income Before Housing Costs","2017/18; 2018/19; 2019/20","3-Year average","Asian Other","ONS 5+2","United Kingdom","ONS geography code","In low income","All","24","N/A","N/A","All/Children/Working-Age Adults/Pensioners","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Low income Before Housing Costs","2017/18; 2018/19; 2019/20","3-Year average","Black ","ONS 5+2","United Kingdom","ONS geography code","In low income","All","27","N/A","N/A","All/Children/Working-Age Adults/Pensioners","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Low income Before Housing Costs","2017/18; 2018/19; 2019/20","3-Year average","Other","ONS 5+2","United Kingdom","ONS geography code","In low income","All","27","N/A","N/A","All/Children/Working-Age Adults/Pensioners","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Low income After Housing Costs","2017/18; 2018/19; 2019/20","3-Year average","All","ONS 5+2","United Kingdom","ONS geography code","In low income","All","22","N/A","N/A","All/Children/Working-Age Adults/Pensioners","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Low income After Housing Costs","2017/18; 2018/19; 2019/20","3-Year average","White","ONS 5+2","United Kingdom","ONS geography code","In low income","All","19","N/A","N/A","All/Children/Working-Age Adults/Pensioners","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Low income After Housing Costs","2017/18; 2018/19; 2019/20","3-Year average","White British","ONS 5+2","United Kingdom","ONS geography code","In low income","All","19","N/A","N/A","All/Children/Working-Age Adults/Pensioners","Estimated as 3-year averages so denominators and numerators can not be supplied"
"Low income After Housing Costs","2017/18; 2018/19; 2019/20","3-Year average","White Other","ONS 5+2","United Kingdom","ONS geography code","In low income","All","26","N/A","N/A","All/Children/Working-Age Adults/Pensioners","Estimated as 3-year averages so denominators and numerators can not be supplied"
