"","All","","Asian","","Black","","Chinese","","Mixed","","White",""
"Geography","%","Pupils","%","Pupils","%","Pupils","%","Pupils","%","Pupils","%","Pupils"
"All - England","49.9","561,994","58.3","61,023","46.0","32,935","79.6","1,959","50.2","29,481","49.1","416,504"
"Barking and Dagenham","47.2","2,525","63.6","555","49.8","733","80.0","10","34.6","211","38.7","936"
"Barnet","67.9","4,010","84.3","560","56.1","513","95.2","42","68.6","405","67.8","1,951"
"Barnsley","48.0","2,303","77.8","9","25.0","16","50.0","2","54.9","51","50.9","2,082"
"Bath and North East Somerset","54.2","2,166","66.7","30","41.7","24","100.0","4","46.4","112","55.2","1,845"
"Bedford","43.4","1,943","41.6","286","40.4","136","75.0","4","37.5","160","44.3","1,308"
"Bexley","55.9","3,150","75.9","266","62.5","662","90.3","31","59.1","208","49.5","1,888"
"Birmingham","47.5","13,973","51.1","5,440","40.0","1,888","81.1","53","44.5","1,079","47.6","4,464"
"Blackburn with Darwen","50.1","1,968","60.8","905","33.3","18","!","1","39.6","53","40.6","951"
"Blackpool","32.5","1,271","51.7","29","0.0","5","75.0","4","30.2","53","32.1","1,173"
"Bolton","46.9","3,549","54.6","875","37.3","204","87.5","8","38.3","141","45.3","2,262"
"Bournemouth, Christchurch and Poole","59.2","3,572","76.5","98","55.0","20","83.3","18","60.3","146","59.4","3,124"
"Bracknell Forest","48.8","1,219","68.3","60","38.5","39","60.0","5","40.0","55","48.4","1,053"
"Bradford","41.9","6,391","44.4","2,853","29.6","135","100.0","5","38.4","281","40.4","2,928"
"Brent","56.5","3,078","61.4","927","46.1","687","50.0","4","56.8","220","49.9","547"
"Brighton and Hove","53.0","2,275","51.3","78","31.7","41","72.7","11","56.9","216","52.8","1,839"
"Bristol, City of","46.1","3,481","52.4","313","34.1","408","83.3","12","42.9","280","47.9","2,361"
"Bromley","56.9","3,411","79.9","254","56.4","362","92.5","40","53.7","341","54.7","2,314"
"Buckinghamshire","64.9","5,981","69.2","1,229","58.1","186","90.0","30","59.7","360","64.2","4,080"
"Bury","44.8","2,174","46.6","322","34.8","66","62.5","8","43.9","107","44.7","1,629"
"Calderdale","53.8","2,634","54.5","455","56.5","23","100.0","4","56.1","114","53.3","2,010"
"Cambridgeshire","51.2","5,826","64.2","190","51.7","87","89.7","29","56.4","287","50.3","5,072"
"Camden","53.5","1,573","47.4","304","47.9","353","75.0","4","57.5","181","59.8","567"
"Central Bedfordshire","47.7","2,732","60.7","61","40.6","64","77.8","9","55.7","140","47.1","2,370"
