"SEN_type","Ethnicity","%","Pupils"
"Any SEN","All","13.8","76,961"
"Any SEN","Asian","14.2","5,818"
"Any SEN","Black","10.3","4,371"
"Any SEN","Chinese","34.8","158"
"Any SEN","Mixed","14.5","3,848"
"Any SEN","White","14.0","60,661"
"Any SEN","Other","13.4","1,113"
"Any SEN","Unknown","13.1","992"
"No identified SEN","All","48.2","464,515"
"No identified SEN","Asian","56.1","52,292"
"No identified SEN","Black","42.3","26,803"
"No identified SEN","Chinese","79.9","1,848"
"No identified SEN","Mixed","48.7","23,169"
"No identified SEN","White","47.4","346,034"
"No identified SEN","Other","47.4","8,494"
"No identified SEN","Unknown","43.9","5,875"
"SEN Support","All","16.8","56,588"
"SEN Support","Asian","17.2","4,216"
"SEN Support","Black","12.8","3,152"
"SEN Support","Chinese","47.6","105"
"SEN Support","Mixed","18.0","2,823"
"SEN Support","White","16.9","44,733"
"SEN Support","Other","15.6","841"
"SEN Support","Unknown","15.6","718"
"SEN with a statement or EHC plan","All","5.5","20,373"
"SEN with a statement or EHC plan","Asian","6.4","1,602"
"SEN with a statement or EHC plan","Black","3.9","1,219"
"SEN with a statement or EHC plan","Chinese","9.4","53"
"SEN with a statement or EHC plan","Mixed","4.9","1,025"
"SEN with a statement or EHC plan","White","5.6","15,928"
"SEN with a statement or EHC plan","Other","6.6","272"
"SEN with a statement or EHC plan","Unknown","6.6","274"
