"Ethnicity","Geography","%","Pupils"
"All","All - England","49.9","561,994"
"All","Barking and Dagenham","47.2","2,525"
"All","Barnet","67.9","4,010"
"All","Barnsley","48.0","2,303"
"All","Bath and North East Somerset","54.2","2,166"
"All","Bedford","43.4","1,943"
"All","Bexley","55.9","3,150"
"All","Birmingham","47.5","13,973"
"All","Blackburn with Darwen","50.1","1,968"
"All","Blackpool","32.5","1,271"
"All","Bolton","46.9","3,549"
"All","Bournemouth, Christchurch and Poole","59.2","3,572"
"All","Bracknell Forest","48.8","1,219"
"All","Bradford","41.9","6,391"
"All","Brent","56.5","3,078"
"All","Brighton and Hove","53.0","2,275"
"All","Bristol, City of","46.1","3,481"
"All","Bromley","56.9","3,411"
"All","Buckinghamshire","64.9","5,981"
"All","Bury","44.8","2,174"
"All","Calderdale","53.8","2,634"
"All","Cambridgeshire","51.2","5,826"
"All","Camden","53.5","1,573"
"All","Central Bedfordshire","47.7","2,732"
"All","Cheshire East","53.2","3,803"
"All","Cheshire West and Chester","50.4","3,551"
"All","Cornwall","44.9","5,233"
"All","County Durham","47.4","5,017"
"All","Coventry","44.8","3,766"
"All","Croydon","48.9","3,755"
"All","Cumbria","48.5","5,109"
"All","Darlington","51.2","1,170"
"All","Derby","42.8","2,979"
"All","Derbyshire","50.2","7,282"
"All","Devon","48.7","6,895"
"All","Doncaster","45.8","3,055"
"All","Dorset","48.6","3,559"
"All","Dudley","43.8","3,309"
"All","Ealing","58.1","3,043"
"All","East Midlands","48.2","48,542"
"All","East Riding of Yorkshire","50.5","3,227"
"All","East Sussex","47.4","4,815"
"All","East of England","50.1","63,682"
"All","Enfield","49.6","3,767"
"All","Essex","47.8","15,188"
"All","Gateshead","48.4","1,935"
"All","Gloucestershire","54.9","6,359"
"All","Greenwich","50.7","2,448"
"All","Hackney","53.8","2,286"
"All","Halton","41.8","1,448"
"All","Hammersmith and Fulham","62.0","1,458"
"All","Hampshire","51.1","12,987"
"All","Haringey","50.9","2,484"
"All","Harrow","55.7","2,334"
"All","Hartlepool","45.1","1,041"
"All","Havering","54.6","2,842"
"All","Herefordshire, County of","50.7","1,773"
"All","Hertfordshire","58.5","13,200"
"All","Hillingdon","55.1","3,301"
"All","Hounslow","55.0","2,916"
"All","Inner London","53.4","28,132"
"All","Isle of Wight","41.2","1,187"
"All","Isles of Scilly","!","18"
"All","Islington","50.5","1,471"
"All","Kensington and Chelsea","64.3","899"
"All","Kent","52.1","16,378"
"All","Kingston upon Hull, City of","39.9","2,681"
"All","Kingston upon Thames","65.2","1,767"
"All","Kirklees","48.1","4,963"
"All","Knowsley","26.5","1,051"
"All","Lambeth","47.3","2,250"
"All","Lancashire","49.0","12,640"
"All","Leeds","46.7","8,219"
"All","Leicester","42.3","3,898"
"All","Leicestershire","50.9","7,413"
"All","Lewisham","45.7","2,305"
"All","Lincolnshire","49.4","7,710"
"All","Liverpool","44.1","4,848"
"All","London","55.4","83,129"
"All","Luton","43.4","2,754"
"All","Manchester","43.0","5,483"
"All","Medway","49.0","3,091"
"All","Merton","54.5","1,555"
"All","Middlesbrough","42.0","1,532"
"All","Milton Keynes","42.5","3,128"
"All","Newcastle upon Tyne","46.4","2,548"
"All","Newham","54.0","4,079"
"All","Norfolk","48.1","7,974"
"All","North East","47.3","26,395"
"All","North East Lincolnshire","38.5","1,742"
"All","North Lincolnshire","48.7","1,925"
"All","North Somerset","49.9","2,200"
"All","North Tyneside","46.9","1,945"
"All","North West","47.4","77,572"
"All","North Yorkshire","53.8","6,174"
"All","Northamptonshire","46.7","7,773"
"All","Northumberland","48.9","3,138"
"All","Nottingham","39.2","2,896"
"All","Nottinghamshire","51.2","8,094"
"All","Oldham","38.8","3,128"
"All","Outer London","56.5","54,997"
"All","Oxfordshire","52.0","6,316"
"All","Peterborough","40.4","2,549"
"All","Plymouth","47.1","2,623"
"All","Portsmouth","43.3","1,839"
"All","Reading","54.3","1,360"
"All","Redbridge","62.0","3,815"
"All","Redcar and Cleveland","50.0","1,600"
"All","Richmond upon Thames","63.5","1,667"
"All","Rochdale","42.0","2,519"
"All","Rotherham","45.3","3,193"
"All","Rutland","64.8","497"
"All","Salford","37.3","2,292"
"All","Sandwell","38.0","3,773"
"All","Sefton","44.7","2,945"
"All","Sheffield","46.4","5,567"
"All","Shropshire","47.5","2,910"
"All","Slough","60.6","1,958"
"All","Solihull","51.6","3,029"
"All","Somerset","45.2","4,950"
"All","South East","52.4","88,737"
"All","South Gloucestershire","49.0","2,553"
"All","South Tyneside","42.5","1,639"
"All","South West","49.9","52,331"
"All","Southampton","40.7","2,154"
"All","Southend-on-Sea","60.0","2,239"
"All","Southwark","53.4","2,659"
"All","St. Helens","44.2","1,889"
"All","Staffordshire","46.3","8,864"
"All","Stockport","54.0","2,808"
"All","Stockton-on-Tees","52.0","2,032"
"All","Stoke-on-Trent","41.9","2,578"
"All","Suffolk","46.8","7,413"
"All","Sunderland","45.4","2,798"
"All","Surrey","57.7","10,734"
"All","Sutton","67.2","2,920"
"All","Swindon","48.4","2,184"
"All","Tameside","47.1","2,668"
"All","Telford and Wrekin","45.9","2,051"
"All","Thurrock","48.3","1,864"
"All","Torbay","55.1","1,617"
"All","Tower Hamlets","51.3","3,082"
"All","Trafford","68.4","3,029"
"All","Wakefield","49.5","3,715"
"All","Walsall","40.9","3,382"
"All","Waltham Forest","49.5","2,693"
"All","Wandsworth","56.2","1,865"
"All","Warrington","54.3","2,418"
"All","Warwickshire","55.6","5,990"
"All","West Berkshire","53.1","1,856"
"All","West Midlands","46.7","64,062"
"All","West Sussex","49.5","8,199"
"All","Westminster","63.1","1,721"
"All","Wigan","48.0","3,482"
"All","Wiltshire","50.8","4,921"
"All","Windsor and Maidenhead","54.3","1,585"
"All","Wirral","50.5","3,499"
"All","Wokingham","60.4","1,675"
"All","Wolverhampton","44.5","3,023"
"All","Worcestershire","48.0","5,641"
"All","York","56.4","1,755"
"All","Yorkshire and The Humber","47.5","57,544"
"Asian","All - England","58.3","61,023"
"Asian","Barking and Dagenham","63.6","555"
"Asian","Barnet","84.3","560"
"Asian","Barnsley","77.8","9"
"Asian","Bath and North East Somerset","66.7","30"
"Asian","Bedford","41.6","286"
"Asian","Bexley","75.9","266"
"Asian","Birmingham","51.1","5,440"
"Asian","Blackburn with Darwen","60.8","905"
"Asian","Blackpool","51.7","29"
"Asian","Bolton","54.6","875"
"Asian","Bournemouth, Christchurch and Poole","76.5","98"
"Asian","Bracknell Forest","68.3","60"
"Asian","Bradford","44.4","2,853"
"Asian","Brent","61.4","927"
"Asian","Brighton and Hove","51.3","78"
"Asian","Bristol, City of","52.4","313"
"Asian","Bromley","79.9","254"
"Asian","Buckinghamshire","69.2","1,229"
"Asian","Bury","46.6","322"
"Asian","Calderdale","54.5","455"
"Asian","Cambridgeshire","64.2","190"
"Asian","Camden","47.4","304"
"Asian","Central Bedfordshire","60.7","61"
"Asian","Cheshire East","67.6","68"
"Asian","Cheshire West and Chester","63.8","47"
"Asian","Cornwall","55.6","9"
"Asian","County Durham","71.0","31"
"Asian","Coventry","56.3","789"
"Asian","Croydon","67.0","488"
"Asian","Cumbria","65.6","32"
"Asian","Darlington","64.3","28"
"Asian","Derby","47.6","548"
"Asian","Derbyshire","55.8","86"
"Asian","Devon","74.3","35"
"Asian","Doncaster","53.9","89"
"Asian","Dorset","52.2","23"
"Asian","Dudley","43.2","317"
"Asian","Ealing","58.7","940"
"Asian","East Midlands","56.1","4,326"
"Asian","East Riding of Yorkshire","75.0","12"
"Asian","East Sussex","66.7","78"
"Asian","East of England","60.7","4,309"
"Asian","Enfield","72.2","316"
"Asian","Essex","79.8","425"
"Asian","Gateshead","71.7","53"
"Asian","Gloucestershire","77.6","196"
"Asian","Greenwich","62.3","191"
"Asian","Hackney","61.8","283"
"Asian","Halton","80.0","5"
"Asian","Hammersmith and Fulham","65.6","128"
"Asian","Hampshire","62.1","322"
"Asian","Haringey","66.5","173"
"Asian","Harrow","66.4","1,068"
"Asian","Hartlepool","39.4","33"
"Asian","Havering","63.6","154"
"Asian","Herefordshire, County of","100.0","7"
"Asian","Hertfordshire","72.7","1,107"
