"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography_code","Gender","Value","Value_type","Denominator","Numerator"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Asian","ONS 2011 5+1","2019-2020","Academic year","Derby","Local authority","E06000015","Boys","43.9","%","285","125"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Asian","ONS 2011 5+1","2019-2020","Academic year","Derby","Local authority","E06000015","Girls","51.7","%","263","136"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","ONS 2011 5+1","2019-2020","Academic year","All - England","Country","E92000001","All","49.9","%","561994","280417"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Black","ONS 2011 5+1","2019-2020","Academic year","Derby","Local authority","E06000015","Boys","30.2","%","53","16"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Black","ONS 2011 5+1","2019-2020","Academic year","Derby","Local authority","E06000015","Girls","37.7","%","61","23"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Asian","ONS 2011 5+1","2019-2020","Academic year","All - England","Country","E92000001","All","58.3","%","61023","35548"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Chinese","ONS 2011 5+1","2019-2020","Academic year","Derby","Local authority","E06000015","Boys","100","%","5","5"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Chinese","ONS 2011 5+1","2019-2020","Academic year","Derby","Local authority","E06000015","Girls","66.7","%","3","2"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Black","ONS 2011 5+1","2019-2020","Academic year","All - England","Country","E92000001","All","46","%","32935","15141"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Mixed","ONS 2011 5+1","2019-2020","Academic year","Derby","Local authority","E06000015","Boys","35.8","%","95","34"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Mixed","ONS 2011 5+1","2019-2020","Academic year","Derby","Local authority","E06000015","Girls","42.3","%","111","47"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Chinese","ONS 2011 5+1","2019-2020","Academic year","All - England","Country","E92000001","All","79.6","%","1959","1560"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","ONS 2011 5+1","2019-2020","Academic year","Derby","Local authority","E06000015","Boys","39.5","%","1537","607"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","All","ONS 2011 5+1","2019-2020","Academic year","Derby","Local authority","E06000015","Girls","46.4","%","1442","669"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","Mixed","ONS 2011 5+1","2019-2020","Academic year","All - England","Country","E92000001","All","50.2","%","29481","14805"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","White","ONS 2011 5+1","2019-2020","Academic year","Derby","Local authority","E06000015","Boys","38.5","%","1057","407"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","White","ONS 2011 5+1","2019-2020","Academic year","Derby","Local authority","E06000015","Girls","46.4","%","973","451"
"Percentage achieving 9-5 in English & mathematics for children aged 14 to 16 (key stage 4)","White","ONS 2011 5+1","2019-2020","Academic year","All - England","Country","E92000001","All","49.1","%","416504","204392"
