"Grouping","Ethnicity","%","Pupils"
"FSM Boys","All","19.5"
"FSM Boys","Asian","33.6"
"FSM Boys","Bangladeshi","40.7"
"FSM Boys","Indian","41.3"
"FSM Boys","Pakistani","27.4"
"FSM Boys","Asian other","35.1"
"FSM Boys","Black","25.0"
"FSM Boys","Black African","30.9"
"FSM Boys","Black Caribbean","14.3"
"FSM Boys","Black other","18.3"
"FSM Boys","Chinese","62.3"
"FSM Boys","Mixed","21.3"
"FSM Boys","Mixed White/Asian","23.9"
"FSM Boys","Mixed White/Black African","26.6"
"FSM Boys","Mixed White/Black Caribbean","14.3"
"FSM Boys","Mixed other","25.5"
"FSM Boys","White","15.3"
"FSM Boys","White British","14.8"
"FSM Boys","White Irish","23.4"
"FSM Boys","Gypsy/Roma","!"
"FSM Boys","Irish Traveller","!"
"FSM Boys","White other","26.7"
"FSM Boys","Other","34.0"
"FSM Boys","Unknown","30.3"
"FSM Girls","All","24.0"
"FSM Girls","Asian","37.3"
"FSM Girls","Bangladeshi","43.1"
"FSM Girls","Indian","45.3"
"FSM Girls","Pakistani","31.0"
"FSM Girls","Asian other","42.4"
"FSM Girls","Black","33.3"
"FSM Girls","Black African","38.3"
"FSM Girls","Black Caribbean","25.0"
"FSM Girls","Black other","24.2"
"FSM Girls","Chinese","74.2"
"FSM Girls","Mixed","24.4"
"FSM Girls","Mixed White/Asian","24.6"
"FSM Girls","Mixed White/Black African","28.1"
"FSM Girls","Mixed White/Black Caribbean","18.6"
"FSM Girls","Mixed other","29.6"
"FSM Girls","White","19.6"
"FSM Girls","White British","19.1"
"FSM Girls","White Irish","14.0"
"FSM Girls","Gypsy/Roma","!"
"FSM Girls","Irish Traveller","!"
"FSM Girls","White other","31.5"
"FSM Girls","Other","38.5"
"FSM Girls","Unknown","34.6"
"Non-FSM Boys","All","42.7"
"Non-FSM Boys","Asian","49.6"
"Non-FSM Boys","Bangladeshi","49.6"
"Non-FSM Boys","Indian","60.2"
"Non-FSM Boys","Pakistani","38.7"
"Non-FSM Boys","Asian other","55.4"
"Non-FSM Boys","Black","36.6"
"Non-FSM Boys","Black African","41.8"
"Non-FSM Boys","Black Caribbean","27.1"
"Non-FSM Boys","Black other","29.5"
"Non-FSM Boys","Chinese","68.2"
"Non-FSM Boys","Mixed","45.2"
"Non-FSM Boys","Mixed White/Asian","56.5"
"Non-FSM Boys","Mixed White/Black African","43.5"
"Non-FSM Boys","Mixed White/Black Caribbean","32.3"
"Non-FSM Boys","Mixed other","48.4"
"Non-FSM Boys","White","42.0"
"Non-FSM Boys","White British","42.3"
"Non-FSM Boys","White Irish","59.7"
"Non-FSM Boys","Gypsy/Roma","!"
"Non-FSM Boys","Irish Traveller","!"
"Non-FSM Boys","White other","38.8"
"Non-FSM Boys","Other","42.8"
"Non-FSM Boys","Unknown","38.1"
"Non-FSM Girls","All","49.1"
"Non-FSM Girls","Asian","55.1"
"Non-FSM Girls","Bangladeshi","52.1"
"Non-FSM Girls","Indian","66.8"
"Non-FSM Girls","Pakistani","43.4"
"Non-FSM Girls","Asian other","64.7"
"Non-FSM Girls","Black","45.3"
"Non-FSM Girls","Black African","50.2"
"Non-FSM Girls","Black Caribbean","35.4"
"Non-FSM Girls","Black other","40.7"
"Non-FSM Girls","Chinese","76.7"
"Non-FSM Girls","Mixed","50.2"
"Non-FSM Girls","Mixed White/Asian","60.9"
"Non-FSM Girls","Mixed White/Black African","49.8"
"Non-FSM Girls","Mixed White/Black Caribbean","38.5"
"Non-FSM Girls","Mixed other","52.8"
"Non-FSM Girls","White","48.5"
"Non-FSM Girls","White British","48.7"
"Non-FSM Girls","White Irish","59.9"
"Non-FSM Girls","Gypsy/Roma","!"
"Non-FSM Girls","Irish Traveller","!"
"Non-FSM Girls","White other","46.5"
"Non-FSM Girls","Other","49.5"
"Non-FSM Girls","Unknown","44.4"
