"","All","","White","","Other than White",""
"Year","%","Number of people employed","%","Number of people employed","%","Number of people employed"
"2004","73","27,057,900","74","25,022,700","58","2,011,900"
"2005","73","27,365,300","74","25,180,000","59","2,163,400"
"2006","73","27,592,800","74","25,245,300","59","2,329,900"
"2007","73","27,850,200","74","25,347,400","60","2,486,900"
"2008","72","27,957,200","74","25,329,800","60","2,611,100"
"2009","71","27,508,700","72","24,846,400","59","2,640,900"
"2010","70","27,484,600","72","24,703,600","59","2,755,200"
"2011","70","27,546,800","-","-","-","-"
"2012","71","27,759,100","72","24,749,700","59","2,993,800"
"2013","71","28,069,200","73","24,996,900","59","3,055,700"
"2014","72","28,585,700","74","25,277,300","61","3,259,400"
"2015","74","29,208,300","75","25,718,900","63","3,453,800"
"2016","74","29,506,000","76","25,830,800","64","3,651,900"
"2017","75","29,946,000","77","26,214,500","65","3,712,500"
"2018","75","30,116,600","77","26,212,300","65","3,879,600"
