"Ethnicity","SEN","All","Boys","Girls"
"All","All SEN","12.4","10.4","16.0"
"All","No identified SEN","42.7","37.7","47.5"
"All","SEN Support","15.6","13.3","19.1"
"All","SEN with a statement or EHC plan","3.6","3.6","3.5"
"Asian","All SEN","18.4","15.7","22.6"
"Asian","No identified SEN","51.8","45.5","58.1"
"Asian","SEN Support","22.8","19.6","27.4"
"Asian","SEN with a statement or EHC plan","5.6","5.7","5.3"
"Black","All SEN","18.3","16.1","22.2"
"Black","No identified SEN","49.5","42.8","55.4"
"Black","SEN Support","23.1","21.1","26.1"
"Black","SEN with a statement or EHC plan","5.7","5.7","5.6"
"Chinese","All SEN","29.3","27.0","34.1"
"Chinese","No identified SEN","66.2","62.0","69.8"
"Chinese","SEN Support","40.7","40.4","41.2"
"Chinese","SEN with a statement or EHC plan","8.5","8.1","10.0"
"Mixed","All SEN","15.1","12.9","18.9"
"Mixed","No identified SEN","46.3","41.4","51.0"
"Mixed","SEN Support","19.0","16.5","22.5"
"Mixed","SEN with a statement or EHC plan","5.1","5.6","3.6"
"White","All SEN","11.0","9.1","14.5"
"White","No identified SEN","40.3","35.5","44.9"
"White","SEN Support","13.9","11.8","17.2"
"White","SEN with a statement or EHC plan","3.1","3.1","3.1"
