"Ethnicity","Religious character","All","Boys","Girls"
"All","All state-funded mainstream schools","39.1","33.7","44.7"
"All","Church of England schools","40.4","35.3","45.6"
"All","Hindu schools","57.9","57.9","58.0"
"All","Jewish schools","50.3","48.7","51.7"
"All","Muslim schools","77.3","73.0","79.0"
"All","No religious character","38.4","33.0","44.0"
"All","Other Christian faith schools","42.7","38.8","47.1"
"All","Roman Catholic schools","43.5","37.8","49.0"
"All","Sikh schools","88.4","82.4","94.7"
"Asian","All state-funded mainstream schools","49.1","42.7","55.8"
"Asian","Church of England schools","49.1","45.0","53.9"
"Asian","Hindu schools","59.8","60.4","59.1"
"Asian","Jewish schools","67.4","59.1","75.0"
"Asian","Muslim schools","78.9","76.9","79.6"
"Asian","No religious character","48.4","42.1","55.0"
"Asian","Other Christian faith schools","58.8","52.9","66.3"
"Asian","Roman Catholic schools","45.8","38.5","53.9"
"Asian","Sikh schools","88.3","81.3","95.7"
"Black","All state-funded mainstream schools","45.9","39.0","52.6"
"Black","Church of England schools","47.2","40.2","53.2"
"Black","Hindu schools","0.0","N/A","0.0"
"Black","Jewish schools","44.8","37.5","53.8"
"Black","Muslim schools","67.2","50.0","73.5"
"Black","No religious character","44.9","38.3","51.7"
"Black","Other Christian faith schools","37.1","34.1","41.3"
"Black","Roman Catholic schools","49.6","41.9","55.9"
"Black","Sikh schools","75.0","N/A","75.0"
"Chinese","All state-funded mainstream schools","64.3","59.6","68.6"
"Chinese","Church of England schools","68.4","69.2","67.6"
"Chinese","Hindu schools","N/A","N/A","N/A"
"Chinese","Jewish schools","0.0","0.0","N/A"
"Chinese","Muslim schools","N/A","N/A","N/A"
"Chinese","No religious character","64.0","58.0","69.3"
"Chinese","Other Christian faith schools","69.6","70.5","68.0"
"Chinese","Roman Catholic schools","61.4","60.3","62.5"
"Chinese","Sikh schools","100.0","100.0","N/A"
"Mixed","All state-funded mainstream schools","42.7","37.4","48.0"
"Mixed","Church of England schools","43.6","40.1","46.7"
"Mixed","Hindu schools","60.0","33.3","100.0"
"Mixed","Jewish schools","48.1","33.3","60.0"
"Mixed","Muslim schools","61.1","25.0","90.0"
"Mixed","No religious character","42.1","36.5","47.9"
"Mixed","Other Christian faith schools","49.7","51.1","47.8"
"Mixed","Roman Catholic schools","44.8","40.1","48.9"
"Mixed","Sikh schools","89.5","87.5","90.9"
"White","All state-funded mainstream schools","36.8","31.6","42.1"
"White","Church of England schools","38.1","32.7","43.7"
"White","Hindu schools","0.0","0.0","0.0"
"White","Jewish schools","46.2","43.1","48.4"
"White","Muslim schools","100.0","N/A","100.0"
"White","No religious character","36.0","30.8","41.3"
"White","Other Christian faith schools","40.4","36.0","45.0"
"White","Roman Catholic schools","41.9","36.5","47.1"
"White","Sikh schools","100.0","100.0","100.0"
