"Ethnicity","Type of School","%","Pupils"
"All","All state-funded schools","38.4","523,626"
"All","All state-funded mainstream schools","39.1","513,356"
"All","Academies and free schools","40.1","360,345"
"All","Converter academies","43.8","258,093"
"All","Free schools","59.4","6,037"
"All","Sponsored academies","30.1","92,197"
"All","Further education colleges with provision for 14- to 16-year-olds","1.4","1,209"
"All","Local authority maintained mainstream schools","37.0","151,242"
"All","State-funded special schools","0.1","10,270"
"All","Studio schools","9.8","1,061"
"All","University technical colleges","6.0","2,957"
"Asian","All state-funded schools","48.5","55,737"
"Asian","All state-funded mainstream schools","49.1","55,026"
"Asian","Academies and free schools","51.8","36,343"
"Asian","Converter academies","55.1","25,479"
"Asian","Free schools","76.0","1,291"
"Asian","Sponsored academies","41.1","9,231"
"Asian","Further education colleges with provision for 14- to 16-year-olds","0.0","5"
"Asian","Local authority maintained mainstream schools","43.7","18,640"
"Asian","State-funded special schools","0.0","711"
"Asian","Studio schools","10.5","76"
"Asian","University technical colleges","7.5","266"
"Black","All state-funded schools","45.0","28,949"
"Black","All state-funded mainstream schools","45.9","28,333"
"Black","Academies and free schools","47.2","18,236"
"Black","Converter academies","49.2","10,735"
"Black","Free schools","67.9","588"
"Black","Sponsored academies","43.7","6,670"
"Black","Further education colleges with provision for 14- to 16-year-olds","0.0","4"
"Black","Local authority maintained mainstream schools","43.6","10,056"
"Black","State-funded special schools","0.0","616"
"Black","Studio schools","2.9","34"
"Black","University technical colleges","5.7","209"
"Chinese","All state-funded schools","63.6","1,875"
"Chinese","All state-funded mainstream schools","64.3","1,853"
"Chinese","Academies and free schools","66.9","1,391"
"Chinese","Converter academies","69.0","1,105"
"Chinese","Free schools","84.6","26"
"Chinese","Sponsored academies","56.6","256"
"Chinese","Further education colleges with provision for 14- to 16-year-olds","N/A","0"
"Chinese","Local authority maintained mainstream schools","56.4","459"
"Chinese","State-funded special schools","0.0","22"
"Chinese","Studio schools","0.0","1"
"Chinese","University technical colleges","33.3","3"
"Mixed","All state-funded schools","41.8","24,646"
"Mixed","All state-funded mainstream schools","42.7","24,142"
"Mixed","Academies and free schools","44.1","17,034"
"Mixed","Converter academies","47.7","11,828"
"Mixed","Free schools","61.2","428"
"Mixed","Sponsored academies","34.9","4,549"
"Mixed","Further education colleges with provision for 14- to 16-year-olds","0.0","8"
"Mixed","Local authority maintained mainstream schools","39.5","7,051"
"Mixed","State-funded special schools","0.2","504"
"Mixed","Studio schools","17.6","51"
"Mixed","University technical colleges","8.4","178"
"White","All state-funded schools","36.0","396,680"
"White","All state-funded mainstream schools","36.8","388,496"
"White","Academies and free schools","37.6","277,452"
"White","Converter academies","41.6","202,901"
"White","Free schools","51.3","3,400"
"White","Sponsored academies","26.3","68,219"
"White","Further education colleges with provision for 14- to 16-year-olds","0.0","29"
"White","Local authority maintained mainstream schools","34.7","110,587"
"White","State-funded special schools","0.1","8,184"
"White","Studio schools","10.1","818"
"White","University technical colleges","5.4","2,114"
