"Ethnicity","Admission Basis","All","Boys","Girls"
"All","All state-funded mainstream schools","39.1","33.7","44.7"
"All","Non-selective schools in highly selective areas","28.0","21.9","34.1"
"All","Non-selective schools in other areas","38.0","32.6","43.6"
"All","Selective schools","78.7","74.2","83.1"
"Asian","All state-funded mainstream schools","49.1","42.7","55.8"
"Asian","Non-selective schools in highly selective areas","33.0","24.7","41.5"
"Asian","Non-selective schools in other areas","47.0","40.3","53.9"
"Asian","Selective schools","81.0","77.4","85.1"
"Black","All state-funded mainstream schools","45.9","39.0","52.6"
"Black","Non-selective schools in highly selective areas","37.8","25.9","49.9"
"Black","Non-selective schools in other areas","45.0","38.3","51.5"
"Black","Selective schools","83.0","80.1","85.2"
"Chinese","All state-funded mainstream schools","64.3","59.6","68.6"
"Chinese","Non-selective schools in highly selective areas","50.0","50.0","50.0"
"Chinese","Non-selective schools in other areas","59.4","53.1","65.0"
"Chinese","Selective schools","86.1","84.6","87.6"
"Mixed","All state-funded mainstream schools","42.7","37.4","48.0"
"Mixed","Non-selective schools in highly selective areas","30.6","24.1","36.9"
"Mixed","Non-selective schools in other areas","41.3","36.0","46.7"
"Mixed","Selective schools","78.1","74.5","81.8"
"White","All state-funded mainstream schools","36.8","31.6","42.1"
"White","Non-selective schools in highly selective areas","26.9","21.4","32.6"
"White","Non-selective schools in other areas","35.7","30.6","41.0"
"White","Selective schools","77.8","72.9","82.5"
