"","All","","","Asian","","","Black","","","Chinese","","","Mixed","","","White","",""
"Geography","All","Boys","Girls","All","Boys","Girls","All","Boys","Girls","All","Boys","Girls","All","Boys","Girls","All","Boys","Girls"
"All - England","38.5","32.9","44.3","48.8","42.4","55.6","45.2","38.0","52.3","64.0","59.2","68.4","42.0","36.4","47.7","36.1","30.7","41.7"
"Barking and Dagenham","37.8","29.8","46.1","36.7","27.1","46.4","43.9","32.9","55.7","100.0","N/A","100.0","32.3","28.1","35.7","34.6","28.6","41.2"
"Barnet","60.9","57.6","64.5","78.0","80.9","75.0","47.5","43.3","52.1","81.8","65.0","95.8","61.4","60.6","62.2","59.7","54.9","64.7"
"Barnsley","27.4","20.0","34.9","25.0","0.0","50.0","14.3","0.0","33.3","N/A","N/A","N/A","42.9","43.8","42.1","27.2","19.9","34.6"
"Bath and North East Somerset","51.7","38.0","65.2","69.6","60.0","76.9","54.2","41.7","66.7","80.0","50.0","100.0","51.1","37.8","63.3","52.7","38.8","66.4"
"Bedford","31.9","26.4","38.1","27.1","18.9","36.5","33.0","28.6","38.1","0.0","0.0","N/A","21.7","13.8","32.3","33.7","29.2","38.5"
"Bexley","42.6","37.3","47.8","63.8","57.1","70.8","59.4","49.1","68.2","69.7","66.7","72.2","36.1","28.7","43.0","34.9","31.9","38.0"
"Birmingham","40.0","32.5","47.8","44.0","35.8","52.2","37.2","26.9","48.3","83.3","81.8","85.0","36.6","31.1","42.1","36.4","30.5","42.7"
"Blackburn with Darwen","35.7","33.5","38.1","55.7","52.4","59.3","30.8","25.0","40.0","66.7","N/A","66.7","42.2","33.3","50.0","16.8","15.9","17.7"
"Blackpool","15.1","11.4","19.3","22.7","16.7","30.0","20.0","0.0","50.0","0.0","0.0","0.0","4.3","0.0","8.3","15.1","11.6","19.2"
"Bolton","33.1","24.7","42.1","55.0","41.6","69.6","37.0","34.2","39.7","60.0","N/A","60.0","36.7","33.3","40.0","25.6","18.3","33.6"
"Bournemouth","44.6","37.8","51.5","63.4","52.2","77.8","71.4","100.0","50.0","71.4","50.0","87.5","51.4","46.3","57.6","43.0","36.2","49.8"
"Bracknell Forest","34.3","29.1","39.6","45.8","58.1","32.1","28.6","22.2","33.3","0.0","N/A","0.0","46.3","50.0","41.2","32.8","25.8","39.8"
"Bradford","37.8","31.9","43.8","43.5","36.3","50.6","33.7","33.3","34.0","66.7","100.0","50.0","29.9","24.6","36.0","33.3","28.5","38.5"
"Brent","63.5","58.1","69.3","67.8","61.9","74.2","57.2","50.0","63.8","100.0","100.0","N/A","61.8","53.6","71.6","61.5","55.2","69.0"
"Brighton and Hove","36.4","34.2","38.6","49.1","46.4","51.7","50.0","46.2","53.1","61.5","66.7","57.1","41.9","35.1","48.9","34.0","31.8","36.2"
"Bristol, City of","37.2","28.4","45.6","47.5","36.1","59.4","44.9","35.9","53.7","46.2","0.0","66.7","39.5","28.5","50.4","33.9","25.8","41.5"
"Bromley","53.7","45.2","62.3","72.3","77.3","68.1","56.5","40.6","68.8","66.7","61.5","70.0","50.2","44.4","55.2","54.1","45.7","63.0"
"Buckinghamshire","39.5","34.0","45.3","39.4","31.7","47.6","35.3","26.4","43.8","55.6","57.1","54.5","42.2","39.9","44.7","39.4","34.5","44.6"
"Bury","50.6","46.2","55.3","62.9","58.2","67.5","60.9","62.1","58.8","75.0","75.0","75.0","49.5","45.3","54.5","47.4","42.5","52.6"
"Calderdale","31.2","27.4","35.1","30.2","24.5","36.4","53.8","36.4","66.7","50.0","66.7","0.0","42.5","47.5","36.4","30.6","26.7","34.5"
"Cambridgeshire","37.4","32.4","42.7","47.1","40.5","53.0","37.7","38.7","36.7","75.0","75.0","75.0","49.8","45.8","54.1","36.5","31.4","41.9"
"Camden","49.3","44.8","52.6","42.3","39.7","44.8","46.1","40.7","49.8","36.4","40.0","33.3","45.3","51.5","41.6","53.7","45.6","59.4"
"Central Bedfordshire","33.4","28.1","38.9","38.0","23.1","54.2","41.1","30.4","48.5","55.6","0.0","100.0","31.6","24.1","38.3","33.1","28.5","37.9"
"Cheshire East","31.9","24.9","39.2","42.6","32.3","53.3","50.0","16.7","83.3","62.5","50.0","75.0","32.9","28.0","40.0","31.6","24.6","38.7"
"Cheshire West and Chester","44.3","38.3","50.6","56.7","57.9","54.5","58.3","50.0","66.7","70.0","50.0","100.0","44.1","34.5","53.3","44.0","38.2","50.2"
"City of London","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Cornwall","30.6","24.7","36.6","43.8","33.3","57.1","20.0","0.0","33.3","16.7","0.0","25.0","36.6","28.9","45.9","30.5","24.7","36.4"
"County Durham","33.8","28.2","39.7","43.8","39.1","55.6","45.5","37.5","66.7","66.7","75.0","50.0","46.9","38.1","53.6","34.0","28.3","39.9"
"Coventry","38.9","30.8","47.3","52.4","41.6","63.7","51.0","42.4","60.1","50.0","50.0","50.0","37.0","31.0","43.5","32.5","25.2","40.0"
"Croydon","45.5","38.9","51.7","46.8","41.2","52.6","44.8","36.4","52.6","69.2","50.0","85.7","49.9","45.9","53.4","46.1","39.6","51.8"
"Cumbria","33.8","28.1","39.7","53.3","42.9","62.5","33.3","38.5","0.0","46.7","44.4","50.0","42.4","33.3","50.0","33.7","27.7","39.9"
"Darlington","44.6","41.5","48.0","43.8","45.5","42.9","60.0","0.0","100.0","50.0","100.0","33.3","56.3","61.5","52.6","43.9","40.5","47.9"
"Derby","41.0","36.0","46.4","59.8","59.0","60.5","35.4","23.9","46.0","58.3","37.5","100.0","32.2","27.3","40.6","37.5","32.5","43.0"
"Derbyshire","32.1","25.7","38.7","42.9","36.6","51.7","63.0","68.8","54.5","41.7","50.0","33.3","33.9","27.9","40.0","31.9","25.3","38.5"
"Devon","37.5","31.2","44.5","69.6","62.5","73.3","40.0","0.0","66.7","61.5","80.0","50.0","33.9","28.8","40.0","37.5","31.1","44.7"
