"Measure","Measure_type","Ethnicity","Ethnicity_type","Time","Time_Type","Region","Age","Age_Type","Sex","Disability","Value","confidence_interval","Numerator","denominator","samp_size"
"Inactive","Percentage of individuals inactive","All","All","Jan14-Dec14","year","All","16-24","16-64","All","All","38.7","0.6","2739800","7071600","28692"
"Inactive","Percentage of individuals inactive","All","All","Jan14-Dec14","year","All","16-24","16-64","All","Disabled","51.3","1.8","378800","737900","3048"
"Inactive","Percentage of individuals inactive","All","All","Jan14-Dec14","year","All","16-24","16-64","All","Non-disabled","37","0.6","2327800","6285400","25438"
"Inactive","Percentage of individuals inactive","All","All","Jan14-Dec14","year","All","16-24","16-64","All","unknown","68.8","6.3","33300","48400","206"
"Inactive","Percentage of individuals inactive","All","All","Jan14-Dec14","year","All","16-24","16-64","Female","All","40.6","0.8","1414200","3480200","14434"
"Inactive","Percentage of individuals inactive","All","All","Jan14-Dec14","year","All","16-24","16-64","Female","Disabled","49.1","2.4","191800","390500","1617"
"Inactive","Percentage of individuals inactive","All","All","Jan14-Dec14","year","All","16-24","16-64","Female","Non-disabled","39.3","0.8","1203600","3064800","12707"
"Inactive","Percentage of individuals inactive","All","All","Jan14-Dec14","year","All","16-24","16-64","Female","unknown","75.3","8.1","18800","24900","110"
"Inactive","Percentage of individuals inactive","All","All","Jan14-Dec14","year","All","16-24","16-64","Male","All","36.9","0.8","1325600","3591400","14258"
"Inactive","Percentage of individuals inactive","All","All","Jan14-Dec14","year","All","16-24","16-64","Male","Disabled","53.8","2.6","186900","347400","1431"
"Inactive","Percentage of individuals inactive","All","All","Jan14-Dec14","year","All","16-24","16-64","Male","Non-disabled","34.9","0.8","1124200","3220600","12731"
"Inactive","Percentage of individuals inactive","All","All","Jan14-Dec14","year","All","16-24","16-64","Male","unknown","61.9","9.7","14500","23400","96"
"Inactive","Percentage of individuals inactive","All","All","Jan14-Dec14","year","All","25-49","16-64","All","All","14","0.2","2936200","21013700","95413"
"Inactive","Percentage of individuals inactive","All","All","Jan14-Dec14","year","All","25-49","16-64","All","Disabled","38.7","0.8","1183000","3053400","14590"
"Inactive","Percentage of individuals inactive","All","All","Jan14-Dec14","year","All","25-49","16-64","All","Non-disabled","9.7","0.2","1722000","17837900","80230"
"Inactive","Percentage of individuals inactive","All","All","Jan14-Dec14","year","All","25-49","16-64","All","unknown","25.5","3.5","31200","122400","593"
"Inactive","Percentage of individuals inactive","All","All","Jan14-Dec14","year","All","25-49","16-64","Female","All","20.4","0.4","2171100","10622100","50955"
"Inactive","Percentage of individuals inactive","All","All","Jan14-Dec14","year","All","25-49","16-64","Female","Disabled","41.1","1","711500","1732500","8594"
"Inactive","Percentage of individuals inactive","All","All","Jan14-Dec14","year","All","25-49","16-64","Female","Non-disabled","16.3","0.4","1438800","8823500","42025"
