"","All","","","Men","","","Women","",""
"Ethnicity","All (%)","Disabled (%)","Non-disabled (%)","All (%)","Disabled (%)","Non-disabled (%)","All (%)","Disabled (%)","Non-disabled (%)"
"All","22","44","16","17","42","12","26","45","21"
"Asian","30","46","27","19","35","17","41","55","38"
"Indian","21","36","18","14","31","12","28","40","26"
"Pakistani, Bangladeshi","38","52","34","21","35","18","56","66","52"
"Asian Other","32","47","30","25","43","23","38","51","36"
"Black","27","48","23","21","49","17","31","47","28"
"Mixed","28","48","23","23","42","19","32","53","27"
"White","20","43","14","16","42","11","24","44","19"
"White British","21","44","15","17","43","11","24","45","18"
"White Other","15","34","13","9","31","7","21","36","19"
"Other","34","53","31","24","48","19","44","57","41"
