"","2016","","2017","","2018","","2019","","2020","","2021",""
"Ethnicity","Number ","%","Number ","%","Number ","%","Number ","%","Number ","%","Number ","%"
"Asian","28,855","4.4","30,295","4.6","30,780","4.8","31,860","5.0","31,985","5.1","31,780","5.1"
"Bangladeshi","2,645","0.4","2,740","0.4","2,855","0.4","3,125","0.5","3,265","0.5","3,380","0.5"
"Chinese","1,180","0.2","1,165","0.2","1,190","0.2","1,215","0.2","1,165","0.2","1,210","0.2"
"Indian","10,875","1.7","11,500","1.8","11,475","1.8","11,725","1.8","11,460","1.8","11,020","1.8"
"Pakistani","7,675","1.2","8,125","1.2","8,310","1.3","8,660","1.4","8,810","1.4","8,740","1.4"
"Asian other","6,480","1.0","6,765","1.0","6,950","1.1","7,140","1.1","7,285","1.2","7,430","1.2"
"Black","24,565","3.8","26,045","4.0","25,405","4.0","26,545","4.2","26,690","4.2","28,035","4.5"
"Black African","6,690","1.0","7,540","1.2","7,520","1.2","8,565","1.3","8,960","1.4","9,725","1.6"
"Black Caribbean","13,360","2.0","13,900","2.1","12,965","2.0","12,775","2.0","12,345","2.0","13,255","2.1"
"Black other","4,515","0.7","4,600","0.7","4,920","0.8","5,205","0.8","5,385","0.9","5,055","0.8"
"Mixed","4,815","0.7","5,405","0.8","5,920","0.9","6,380","1.0","7,395","1.2","7,615","1.2"
"Mixed White/Asian","840","0.1","960","0.1","955","0.1","985","0.2","1,035","0.2","1,130","0.2"
"Mixed White/Black African","510","0.1","565","0.1","580","0.1","595","0.1","655","0.1","680","0.1"
"Mixed White/Black Caribbean","1,505","0.2","1,600","0.2","1,985","0.3","2,050","0.3","2,050","0.3","1,840","0.3"
"Mixed other","1,960","0.3","2,280","0.3","2,405","0.4","2,750","0.4","3,660","0.6","3,960","0.6"
"White","573,670","87.8","569,095","86.8","552,260","86.1","544,905","85.4","533,620","84.7","517,060","83.3"
"White British","546,370","83.7","542,655","82.8","528,310","82.4","521,025","81.7","509,830","80.9","494,380","79.6"
"White Irish","9,600","1.5","8,085","1.2","7,425","1.2","7,430","1.2","6,960","1.1","6,525","1.1"
"White Gypsy/Traveller","185","0.0","280","0.0","320","0.1","230","0.0","230","0.0","265","0.0"
"White other","17,510","2.7","18,075","2.8","16,200","2.5","16,225","2.5","16,600","2.6","15,890","2.6"
"Other","5,295","0.8","5,795","0.9","5,980","0.9","5,865","0.9","6,320","1.0","6,190","1.0"
"Arab","325","0.0","505","0.1","445","0.1","470","0.1","490","0.1","515","0.1"
"Any other","4,975","0.8","5,290","0.8","5,535","0.9","5,395","0.8","5,830","0.9","5,675","0.9"
"Unknown","15,870","2.4","18,765","2.9","20,815","3.2","22,435","3.5","24,035","3.8","30,275","4.9"
