"Measure","Gender","Long Term Support Setting","Year Ending March","Ethnicity","Ethnicity Classification","Number","Percentage"
"Total clients receiving long term support by ethnicity","All","All","2021","Asian","Ethnicity 5+1","31,780","5.1%"
"Total clients receiving long term support by ethnicity","All","All","2021","Black","Ethnicity 5+1","28,035","4.5%"
"Total clients receiving long term support by ethnicity","All","All","2021","Mixed","Ethnicity 5+1","7,615","1.2%"
"Total clients receiving long term support by ethnicity","All","All","2021","Unknown","Ethnicity 5+1","30,275","4.9%"
"Total clients receiving long term support by ethnicity","All","All","2021","Other Ethnic Group","Ethnicity 5+1","6,190","1.0%"
"Total clients receiving long term support by ethnicity","All","All","2021","White","Ethnicity 5+1","517,060","83.3%"
"Total clients receiving long term support by ethnicity","All","All","2021","Bangladeshi","Ethnicity 18+1","3,380","0.5%"
"Total clients receiving long term support by ethnicity","All","All","2021","Chinese","Ethnicity 18+1","1,210","0.2%"
"Total clients receiving long term support by ethnicity","All","All","2021","Indian","Ethnicity 18+1","11,020","1.8%"
"Total clients receiving long term support by ethnicity","All","All","2021","Asian Other","Ethnicity 18+1","7,430","1.2%"
"Total clients receiving long term support by ethnicity","All","All","2021","Pakistani","Ethnicity 18+1","8,740","1.4%"
"Total clients receiving long term support by ethnicity","All","All","2021","Black African","Ethnicity 18+1","9,725","1.6%"
"Total clients receiving long term support by ethnicity","All","All","2021","Black Caribbean","Ethnicity 18+1","13,255","2.1%"
"Total clients receiving long term support by ethnicity","All","All","2021","Black Other","Ethnicity 18+1","5,055","0.8%"
"Total clients receiving long term support by ethnicity","All","All","2021","Mixed Other","Ethnicity 18+1","3,960","0.6%"
"Total clients receiving long term support by ethnicity","All","All","2021","Mixed White/Asian","Ethnicity 18+1","1,130","0.2%"
"Total clients receiving long term support by ethnicity","All","All","2021","Mixed White/Black African","Ethnicity 18+1","680","0.1%"
"Total clients receiving long term support by ethnicity","All","All","2021","Mixed White/Black Caribbean","Ethnicity 18+1","1,840","0.3%"
"Total clients receiving long term support by ethnicity","All","All","2021","Arab","Ethnicity 18+1","515","0.1%"
"Total clients receiving long term support by ethnicity","All","All","2021","Any other","Ethnicity 18+1","5,675","0.9%"
"Total clients receiving long term support by ethnicity","All","All","2021","White British","Ethnicity 18+1","494,380","79.6%"
"Total clients receiving long term support by ethnicity","All","All","2021","Gypsy or Irish Traveller","Ethnicity 18+1","265","0.0%"
"Total clients receiving long term support by ethnicity","All","All","2021","White Irish","Ethnicity 18+1","6,525","1.1%"
"Total clients receiving long term support by ethnicity","All","All","2021","White Other","Ethnicity 18+1","15,890","2.6%"
"Total clients receiving long term support by ethnicity","All","All","2020","Asian","Ethnicity 5+1","31,985","5.1%"
"Total clients receiving long term support by ethnicity","All","All","2020","Black","Ethnicity 5+1","26,690","4.2%"
"Total clients receiving long term support by ethnicity","All","All","2020","Mixed","Ethnicity 5+1","7,395","1.2%"
"Total clients receiving long term support by ethnicity","All","All","2020","Unknown","Ethnicity 5+1","24,035","3.8%"
"Total clients receiving long term support by ethnicity","All","All","2020","Other Ethnic Group","Ethnicity 5+1","6,320","1.0%"
"Total clients receiving long term support by ethnicity","All","All","2020","White","Ethnicity 5+1","533,620","84.7%"
"Total clients receiving long term support by ethnicity","All","All","2020","Bangladeshi","Ethnicity 18+1","3,265","0.5%"
"Total clients receiving long term support by ethnicity","All","All","2020","Chinese","Ethnicity 18+1","1,165","0.2%"
"Total clients receiving long term support by ethnicity","All","All","2020","Indian","Ethnicity 18+1","11,460","1.8%"
"Total clients receiving long term support by ethnicity","All","All","2020","Asian Other","Ethnicity 18+1","7,285","1.2%"
"Total clients receiving long term support by ethnicity","All","All","2020","Pakistani","Ethnicity 18+1","8,810","1.4%"
"Total clients receiving long term support by ethnicity","All","All","2020","Black African","Ethnicity 18+1","8,960","1.4%"
"Total clients receiving long term support by ethnicity","All","All","2020","Black Caribbean","Ethnicity 18+1","12,345","2.0%"
"Total clients receiving long term support by ethnicity","All","All","2020","Black Other","Ethnicity 18+1","5,385","0.9%"
"Total clients receiving long term support by ethnicity","All","All","2020","Mixed Other","Ethnicity 18+1","3,660","0.6%"
"Total clients receiving long term support by ethnicity","All","All","2020","Mixed White/Asian","Ethnicity 18+1","1,035","0.2%"
"Total clients receiving long term support by ethnicity","All","All","2020","Mixed White/Black African","Ethnicity 18+1","655","0.1%"
"Total clients receiving long term support by ethnicity","All","All","2020","Mixed White/Black Caribbean","Ethnicity 18+1","2,050","0.3%"
"Total clients receiving long term support by ethnicity","All","All","2020","Arab","Ethnicity 18+1","490","0.1%"
"Total clients receiving long term support by ethnicity","All","All","2020","Any other","Ethnicity 18+1","5,830","0.9%"
"Total clients receiving long term support by ethnicity","All","All","2020","White British","Ethnicity 18+1","509,830","80.9%"
