"Long Term Support Setting","Ethnicity","Number ","%"
"Community/Prison","Asian","28,605","6.4"
"Community/Prison","Bangladeshi","3,170","0.7"
"Community/Prison","Chinese","925","0.2"
"Community/Prison","Indian","9,745","2.2"
"Community/Prison","Pakistani","8,250","1.8"
"Community/Prison","Asian other","6,515","1.5"
"Community/Prison","Black","23,945","5.3"
"Community/Prison","Black African","8,755","1.9"
"Community/Prison","Black Caribbean","10,805","2.4"
"Community/Prison","Black other","4,385","1.0"
"Community/Prison","Mixed","6,305","1.4"
"Community/Prison","Mixed White/Asian","930","0.2"
"Community/Prison","Mixed White/Black African","580","0.1"
"Community/Prison","Mixed White/Black Caribbean","1,545","0.3"
"Community/Prison","Mixed other","3,250","0.7"
"Community/Prison","White","361,905","80.6"
"Community/Prison","White British","345,470","76.9"
"Community/Prison","White Irish","4,335","1.0"
"Community/Prison","White Gypsy/Traveller","200","0.0"
"Community/Prison","White other","11,905","2.7"
"Community/Prison","Other","5,205","1.2"
"Community/Prison","Arab","475","0.1"
"Community/Prison","Any other","4,730","1.1"
"Community/Prison","Unknown","23,030","5.1"
"Nursing","Asian","935","2.0"
"Nursing","Bangladeshi","50","0.1"
"Nursing","Chinese","80","0.2"
"Nursing","Indian","380","0.8"
"Nursing","Pakistani","130","0.3"
"Nursing","Asian other","295","0.6"
"Nursing","Black","1,385","3.0"
"Nursing","Black African","355","0.8"
"Nursing","Black Caribbean","830","1.8"
"Nursing","Black other","200","0.4"
"Nursing","Mixed","300","0.6"
"Nursing","Mixed White/Asian","35","0.1"
"Nursing","Mixed White/Black African","20","0.0"
"Nursing","Mixed White/Black Caribbean","55","0.1"
"Nursing","Mixed other","195","0.4"
"Nursing","White","41,335","88.9"
"Nursing","White British","39,385","84.7"
"Nursing","White Irish","700","1.5"
"Nursing","White Gypsy/Traveller","25","0.0"
"Nursing","White other","1,225","2.6"
"Nursing","Other","290","0.6"
"Nursing","Arab","15","0.0"
"Nursing","Any other","275","0.6"
"Nursing","Unknown","2,225","4.8"
"Residential","Asian","2,240","1.8"
"Residential","Bangladeshi","160","0.1"
"Residential","Chinese","205","0.2"
"Residential","Indian","895","0.7"
"Residential","Pakistani","365","0.3"
"Residential","Asian other","620","0.5"
"Residential","Black","2,705","2.2"
"Residential","Black African","615","0.5"
"Residential","Black Caribbean","1,620","1.3"
"Residential","Black other","470","0.4"
"Residential","Mixed","1,010","0.8"
"Residential","Mixed White/Asian","170","0.1"
"Residential","Mixed White/Black African","80","0.1"
"Residential","Mixed White/Black Caribbean","245","0.2"
"Residential","Mixed other","520","0.4"
"Residential","White","113,825","90.7"
"Residential","White British","109,530","87.3"
"Residential","White Irish","1,490","1.2"
"Residential","White Gypsy/Traveller","45","0.0"
"Residential","White other","2,760","2.2"
"Residential","Other","690","0.6"
"Residential","Arab","25","0.0"
"Residential","Any other","665","0.5"
"Residential","Unknown","5,025","4.0"
