"","All","","","White British","","","Other than White British","",""
"Weekly income band","%","Overcrowded households","All households","%","Overcrowded households","All households","%","Overcrowded households","All households"
"Up to £99","0","0","199","0","0","159","0","0","40"
"£100 to £199","1","26","1,774","1","13","1,468","4","13","307"
"£200 to £299","3","66","2,405","2","34","2,011","8","32","395"
"£300 to £399","3","73","2,462","1","27","2,038","11","46","425"
"£400 to £499","4","96","2,183","3","48","1,809","13","49","373"
"£500 to £599","5","100","2,042","3","44","1,642","14","56","400"
"£600 to £699","6","107","1,920","3","45","1,528","16","61","392"
"£700 to £799","4","60","1,598","2","25","1,321","13","35","277"
"£800 to £899","3","42","1,463","2","18","1,167","8","25","296"
"£900 to £999","4","41","1,129","2","20","930","11","22","199"
"£1000 and above","3","166","5,934","1","66","4,793","9","99","1,141"
