"Ethnicity","%","Overcrowded households","All households"
"Asian","","",""
"Bangladeshi","24","36","150"
"Chinese","4","5","124"
"Indian","7","36","551"
"Pakistani","18","65","368"
"Asian other","10","19","202"
"Black","","",""
"Black African","16","71","443"
"Black Caribbean","7","22","308"
"Black other","3","1","36"
"Mixed","","",""
"Mixed White/Asian","4","2","58"
"Mixed White/Black African","14","10","70"
"Mixed White/Black Caribbean","8","7","86"
"Mixed other","8","6","77"
"White","","",""
"White British","2","344","18,991"
"White Irish","4","8","207"
"White Gypsy/Traveller","?","?","?"
"White other","9","119","1,292"
"Other","","",""
"Arab","15","13","87"
"Any other","10","21","220"
