"Ethnicity","Income_band","%","Homeowners ('000s)","All households ('000s)"
"White British","Up to £99","21","37","179"
"White British","£100 to £199","40","598","1,501"
"White British","£200 to £299","50","1,007","2,008"
"White British","£300 to £399","57","1,147","2,028"
"White British","£400 to £499","64","1,123","1,767"
"White British","£500 to £599","67","1,110","1,668"
"White British","£600 to £699","71","1,119","1,576"
"White British","£700 to £799","75","962","1,282"
"White British","£800 to £899","79","903","1,148"
"White British","£900 to £999","80","747","936"
"White British","£1000 and above","86","4,005","4,636"
"Other than White British","Up to £99","20","8","40"
"Other than White British","£100 to £199","21","65","311"
"Other than White British","£200 to £299","28","122","430"
"Other than White British","£300 to £399","31","137","447"
"Other than White British","£400 to £499","33","120","362"
"Other than White British","£500 to £599","31","134","432"
"Other than White British","£600 to £699","38","143","373"
"Other than White British","£700 to £799","46","128","279"
"Other than White British","£800 to £899","38","108","281"
"Other than White British","£900 to £999","56","107","190"
"Other than White British","£1000 and above","60","668","1,117"
