"Ethnicity","Region","%","Homeowners  ('000s)","All households ('000s)"
"White British","East","70","1,541","2,186"
"White British","East Midlands","71","1,200","1,688"
"White British","London","62","1,026","1,660"
"White British","North East","62","673","1,090"
"White British","North West","67","1,834","2,757"
"White British","South East","72","2,327","3,244"
"White British","South West","71","1,602","2,269"
"White British","West Midlands","68","1,344","1,978"
"White British","Yorkshire and the Humber","66","1,305","1,992"
"Other than White British","East","46","168","367"
"Other than White British","East Midlands","42","121","289"
"Other than White British","London","35","621","1,778"
"Other than White British","North East","50","34","68"
"Other than White British","North West","43","166","384"
"Other than White British","South East","45","236","522"
"Other than White British","South West","40","70","175"
"Other than White British","West Midlands","50","207","415"
"Other than White British","Yorkshire and the Humber","44","131","299"
