"","All","Asian","Indian","Pakistani, Bangladeshi","Asian Other","Black","Mixed","White","White British","White Other","Other"
"Industry","%","%","%","%","%","%","%","%","%","%","%"
"Agriculture, forestry and fishing","1.1","0.1","?","?","?","?","?","1.2","1.3","0.8","0.3"
"Banking and finance","17.5","18.1","20.5","14.6","19.0","16.7","20.1","17.4","17.1","19.5","20.9"
"Construction","7.2","3.0","3.8","2.5","2.3","4.0","4.1","7.7","7.7","7.6","5.1"
"Distribution, hotels and restaurants","18.2","24.2","18.6","30.7","24.7","14.9","20.4","17.8","17.5","19.9","23.7"
"Energy and water","1.7","0.7","0.8","0.6","0.7","0.9","0.7","1.9","2.0","1.3","1.1"
"Manufacturing","9.0","6.1","8.0","4.6","4.7","4.6","7.5","9.5","9.2","11.4","6.9"
"Other services","6.0","4.3","3.7","4.0","5.6","5.5","8.6","6.0","6.1","5.6","7.2"
"Public admin, education and health","30.2","27.5","26.8","25.2","31.7","43.6","28.3","30.1","31.0","22.6","22.5"
"Transport and communication","9.1","16.1","17.7","17.8","11.1","9.7","10.3","8.4","8.1","11.3","12.4"
