"","All","Asian","Black","Indian","Mixed/Multiple ethnic groups","Other Asian (inc. Chinese)","Other ethnic group","Pakistani/ Bangladeshi","White","White British","White Other"
"Industry","%","%","%","%","%","%","%","%","%","%","%"
"Agriculture, forestry and fishing","1.1","?","?","0.0","?","?","0.3","?","1.2","1.3","0.7"
"Banking and finance","17.6","18.7","18.2","21.6","18.9","20.4","20.7","13.8","17.4","17.0","20.3"
"Construction","7.2","3.0","4.0","3.5","4.9","2.4","4.6","2.7","7.7","7.7","8.0"
"Distribution, hotels and restaurants","18.1","23.4","15.2","17.4","20.7","26.6","22.6","28.6","17.6","17.3","20.1"
"Energy and water","1.7","0.9","1.0","1.1","1.2","0.7","1.0","0.7","1.8","1.9","1.1"
"Manufacturing","9.0","6.8","4.9","8.5","6.8","5.4","6.7","5.8","9.4","9.2","11.1"
"Other services","5.9","4.3","4.5","3.3","6.4","6.6","6.3","3.7","6.1","6.2","5.3"
"Public administration, education and health","30.3","28.0","42.3","28.3","29.5","28.7","25.7","27.3","30.2","31.3","21.8"
"Transport and communication","9.1","14.8","9.9","16.3","11.6","9.1","12.2","17.3","8.6","8.2","11.8"
