"Ethnicity","Industry","%"
"All","Agriculture, forestry and fishing","1.1"
"All","Banking and finance","17.5"
"All","Construction","7.2"
"All","Distribution, hotels and restaurants","18.2"
"All","Energy and water","1.7"
"All","Manufacturing","9.0"
"All","Other services","6.0"
"All","Public admin, education and health","30.2"
"All","Transport and communication","9.1"
"Asian","Agriculture, forestry and fishing","0.1"
"Asian","Banking and finance","18.1"
"Asian","Construction","3.0"
"Asian","Distribution, hotels and restaurants","24.2"
"Asian","Energy and water","0.7"
"Asian","Manufacturing","6.1"
"Asian","Other services","4.3"
"Asian","Public admin, education and health","27.5"
"Asian","Transport and communication","16.1"
"Indian","Agriculture, forestry and fishing","?"
"Indian","Banking and finance","20.5"
"Indian","Construction","3.8"
"Indian","Distribution, hotels and restaurants","18.6"
"Indian","Energy and water","0.8"
"Indian","Manufacturing","8.0"
"Indian","Other services","3.7"
"Indian","Public admin, education and health","26.8"
"Indian","Transport and communication","17.7"
"Pakistani, Bangladeshi","Agriculture, forestry and fishing","?"
"Pakistani, Bangladeshi","Banking and finance","14.6"
"Pakistani, Bangladeshi","Construction","2.5"
"Pakistani, Bangladeshi","Distribution, hotels and restaurants","30.7"
"Pakistani, Bangladeshi","Energy and water","0.6"
"Pakistani, Bangladeshi","Manufacturing","4.6"
"Pakistani, Bangladeshi","Other services","4.0"
"Pakistani, Bangladeshi","Public admin, education and health","25.2"
"Pakistani, Bangladeshi","Transport and communication","17.8"
"Asian Other","Agriculture, forestry and fishing","?"
"Asian Other","Banking and finance","19.0"
"Asian Other","Construction","2.3"
"Asian Other","Distribution, hotels and restaurants","24.7"
"Asian Other","Energy and water","0.7"
"Asian Other","Manufacturing","4.7"
"Asian Other","Other services","5.6"
"Asian Other","Public admin, education and health","31.7"
"Asian Other","Transport and communication","11.1"
"Black","Agriculture, forestry and fishing","?"
"Black","Banking and finance","16.7"
"Black","Construction","4.0"
"Black","Distribution, hotels and restaurants","14.9"
"Black","Energy and water","0.9"
"Black","Manufacturing","4.6"
"Black","Other services","5.5"
"Black","Public admin, education and health","43.6"
"Black","Transport and communication","9.7"
"Mixed","Agriculture, forestry and fishing","?"
"Mixed","Banking and finance","20.1"
"Mixed","Construction","4.1"
"Mixed","Distribution, hotels and restaurants","20.4"
"Mixed","Energy and water","0.7"
"Mixed","Manufacturing","7.5"
"Mixed","Other services","8.6"
"Mixed","Public admin, education and health","28.3"
"Mixed","Transport and communication","10.3"
"White","Agriculture, forestry and fishing","1.2"
"White","Banking and finance","17.4"
"White","Construction","7.7"
"White","Distribution, hotels and restaurants","17.8"
"White","Energy and water","1.9"
"White","Manufacturing","9.5"
"White","Other services","6.0"
"White","Public admin, education and health","30.1"
"White","Transport and communication","8.4"
"White British","Agriculture, forestry and fishing","1.3"
"White British","Banking and finance","17.1"
"White British","Construction","7.7"
"White British","Distribution, hotels and restaurants","17.5"
"White British","Energy and water","2.0"
"White British","Manufacturing","9.2"
"White British","Other services","6.1"
"White British","Public admin, education and health","31.0"
"White British","Transport and communication","8.1"
"White Other","Agriculture, forestry and fishing","0.8"
"White Other","Banking and finance","19.5"
"White Other","Construction","7.6"
"White Other","Distribution, hotels and restaurants","19.9"
"White Other","Energy and water","1.3"
"White Other","Manufacturing","11.4"
"White Other","Other services","5.6"
"White Other","Public admin, education and health","22.6"
"White Other","Transport and communication","11.3"
"Other","Agriculture, forestry and fishing","0.3"
"Other","Banking and finance","20.9"
"Other","Construction","5.1"
"Other","Distribution, hotels and restaurants","23.7"
"Other","Energy and water","1.1"
"Other","Manufacturing","6.9"
"Other","Other services","7.2"
"Other","Public admin, education and health","22.5"
"Other","Transport and communication","12.4"
