"","Asian","Black","Chinese","Mixed","White","Other"
"Greenwich","7.2","5.3","2.4","13.1","15.6","7.3"
"Hackney","9.7","8.0","!","12.6","10.9","7.7"
"Halton","11.1","!","NA","11.8","13.4","11.8"
"Hammersmith and Fulham","11.3","11.1","4.5","13.5","11.9","12.5"
"Hampshire","7.1","4.7","4.4","9.2","9.8","5.5"
"Haringey","9.6","9.2","1.6","12.5","10.7","9.6"
"Harrow","5.8","10.9","2.0","11.7","9.9","10.0"
"Hartlepool","6.4","6.1","NA","9.3","15.2","7.4"
"Havering","8.1","6.5","1.6","12.5","12.2","11.9"
"Herefordshire","5.3","10.5","!","9.6","10.9","6.0"
"Hertfordshire","8.6","6.3","4.0","11.7","10.6","8.2"
"Hillingdon","7.2","8.2","5.6","11.3","15.4","6.7"
"Hounslow","7.3","6.8","2.2","13.0","12.3","7.4"
"Isle of Wight","9.5","!","NA","11.6","12.5","12.8"
"Isles Of Scilly","NA","NA","NA","NA","7.2","NA"
"Islington","11.2","8.6","!","14.2","14.8","9.1"
"Kensington and Chelsea","8.0","8.5","7.5","13.0","11.1","9.8"
"Kent","6.2","4.4","3.4","10.3","12.4","7.9"
"Kingston upon Hull City of","8.3","3.8","NA","9.3","13.2","7.6"
"Kingston upon Thames","6.4","8.8","2.8","10.6","8.2","6.2"
"Kirklees","11.0","9.2","4.0","15.3","10.4","13.6"
"Knowsley","6.7","4.5","!","17.5","16.2","15.7"
"Lambeth","10.8","10.7","1.6","13.2","9.7","12.2"
"Lancashire","11.1","5.5","2.0","11.6","10.1","13.9"
"Leeds","9.9","4.7","2.5","13.7","12.2","8.9"
"Leicester","8.3","7.5","2.2","16.7","17.9","12.6"
"Leicestershire","6.8","4.7","4.1","11.3","10.3","9.0"
"Lewisham","7.5","7.7","1.7","13.0","11.4","9.0"
"Lincolnshire","7.1","5.0","3.3","10.5","11.5","10.1"
"Liverpool","7.1","6.6","2.8","14.7","15.3","9.3"
"Luton","11.2","7.7","4.6","13.5","14.5","12.9"
"Manchester","9.1","5.0","1.8","14.1","14.9","9.1"
"Medway","6.6","3.7","2.8","11.4","11.9","7.8"
"Merton","6.6","6.6","!","10.0","9.8","7.1"
"Middlesbrough","8.4","4.3","!","18.6","16.6","11.0"
"Milton Keynes","10.0","5.1","2.1","12.4","13.0","9.7"
"Newcastle upon Tyne","10.0","4.2","3.3","10.1","14.8","10.7"
"Newham","8.6","6.7","2.1","14.2","16.2","8.7"
"Norfolk","10.2","6.6","3.2","12.9","12.0","10.9"
"North East Lincolnshire","10.7","6.5","NA","12.4","12.0","9.1"
"North Lincolnshire","12.2","10.5","!","11.5","11.1","15.3"
"North Somerset","10.1","11.3","!","12.7","10.6","9.1"
"North Tyneside","10.0","4.5","3.2","9.5","10.7","9.0"
"North Yorkshire","8.1","7.5","8.4","11.3","10.8","8.5"
"Northamptonshire","8.3","4.7","3.5","12.1","11.0","8.7"
"Northumberland","10.1","10.2","5.5","11.8","10.8","17.1"
"Nottingham","8.9","5.7","1.7","14.8","14.4","12.8"
"Nottinghamshire","7.2","4.7","2.9","10.2","9.5","8.5"
"Oldham","10.9","5.0","NA","15.2","13.3","22.0"
"Oxfordshire","11.6","7.6","5.8","12.6","10.5","7.4"
"Peterborough","8.8","4.4","2.8","11.2","12.7","8.0"
"Plymouth","11.7","5.4","3.8","11.7","12.3","8.4"
"Poole","7.8","5.8","!","11.2","10.2","7.5"
"Portsmouth","8.7","3.9","5.0","11.2","14.5","9.8"
"Reading","9.7","7.0","3.9","16.0","13.1","11.1"
"Redbridge","9.4","7.9","3.1","11.7","11.2","9.5"
"Redcar and Cleveland","4.9","NA","!","9.4","13.6","11.7"
"Richmond upon Thames","7.2","9.2","2.7","8.7","7.6","8.3"
"Rochdale","10.0","4.0","4.5","13.6","13.7","11.5"
"Rotherham","9.6","4.6","NA","17.5","12.7","9.0"
"Rutland","!","!","NA","3.7","5.2","!"
"Salford","9.3","4.1","NA","9.6","14.1","10.4"
"Sandwell","7.4","8.2","2.1","14.8","13.4","9.8"
"Sefton","7.5","5.0","3.8","12.8","11.8","11.8"
"Sheffield","11.1","7.6","2.1","16.5","13.7","12.9"
"Shropshire","9.9","9.0","5.9","12.4","10.6","15.4"
"Slough","7.9","5.6","!","11.8","13.3","7.1"
"Solihull","8.2","8.2","3.3","14.6","11.2","8.1"
"Somerset","9.6","4.1","7.6","13.0","11.5","12.3"
"South Gloucestershire","8.1","8.2","NA","12.2","10.4","14.1"
"South Tyneside","7.9","5.7","!","12.5","11.7","11.6"
"Southampton","9.3","6.1","5.3","13.5","13.0","9.7"
"Southend-on-Sea","8.7","4.3","3.0","9.6","10.4","7.9"
"Southwark","11.5","6.8","3.4","13.2","13.1","9.9"
"St. Helens","4.6","5.5","!","10.4","11.3","7.0"
"Staffordshire","10.0","10.6","1.8","14.2","10.3","11.8"
"Stockport","12.0","7.2","5.1","12.9","11.7","10.7"
"Stockton-on-Tees","8.6","3.4","NA","14.1","12.3","9.2"
"Stoke-on-Trent","10.2","5.6","2.0","15.5","13.8","16.5"
"Suffolk","8.8","7.7","!","10.7","10.9","9.2"
"Sunderland","7.8","4.6","5.3","15.4","12.8","13.7"
"Surrey","8.8","6.3","3.6","8.3","9.8","7.2"
"Sutton","7.4","5.8","3.4","10.4","11.2","8.7"
"Swindon","9.6","4.5","4.4","14.9","11.3","9.1"
"Tameside","8.2","5.6","!","11.3","11.3","8.9"
"Telford and Wrekin","9.0","4.7","3.3","12.7","12.0","11.0"
"Thurrock","7.3","3.4","!","10.0","11.7","6.5"
"Torbay","6.4","10.3","!","9.4","12.1","8.2"
"Tower Hamlets","8.2","6.2","!","14.0","16.2","6.1"
"Trafford","9.2","6.0","1.6","10.5","8.5","7.0"
"Wakefield","13.5","5.3","3.2","15.6","15.3","11.7"
"Walsall","8.2","6.4","2.0","14.7","13.3","11.4"
"Waltham Forest","12.5","10.3","3.4","14.1","13.9","9.6"
"Wandsworth","9.2","10.3","3.3","13.3","9.3","9.5"
"Warrington","10.9","5.6","3.5","11.7","10.2","12.2"
"Warwickshire","5.4","6.0","1.9","11.2","10.6","7.8"
"West Berkshire","11.4","7.4","8.2","12.4","9.0","12.8"
"West Sussex","9.4","7.3","1.2","11.1","10.9","8.5"
"Westminster","11.0","9.7","2.1","13.3","10.5","10.2"
"Wigan","9.5","4.4","3.1","10.9","11.3","13.6"
"Wiltshire","7.2","8.6","2.0","12.1","10.8","11.0"
"Windsor and Maidenhead","8.5","8.9","5.3","7.4","9.3","10.4"
"Wirral","9.8","10.0","4.8","12.8","13.4","12.5"
"Wokingham","8.6","7.5","2.6","9.8","8.5","16.4"
"Wolverhampton","6.5","7.8","4.6","15.5","12.9","15.1"
"Worcestershire","10.7","8.3","!","12.2","11.0","11.4"
"York","10.0","6.9","3.2","10.0","11.1","10.7"
