"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography_type","Age","Employment Status","Sex","Value","Value_type","Upper 95% C.I.","Lower 95% C.I."
"% of 16-24 year olds not in Employment, Education or Training","All","APS 9","2017-2019","3 years (combined)","United Kingdom","16-24","All","All","11.5","%","11.8","11.2"
"% of 16-24 year olds not in Employment, Education or Training","White: All","APS 9","2017-2019","3 years (combined)","United Kingdom","16-24","All","All","11.7","%","12","11.3"
"% of 16-24 year olds not in Employment, Education or Training","Mixed: All","APS 9","2017-2019","3 years (combined)","United Kingdom","16-24","All","All","11","%","14.1","7.9"
"% of 16-24 year olds not in Employment, Education or Training","Asian: Indian","APS 9","2017-2019","3 years (combined)","United Kingdom","16-24","All","All","7.3","%","9.9","4.6"
"% of 16-24 year olds not in Employment, Education or Training","Asian: Pakistani","APS 9","2017-2019","3 years (combined)","United Kingdom","16-24","All","All","14.3","%","17.3","11.3"
"% of 16-24 year olds not in Employment, Education or Training","Asian: Bangladeshi","APS 9","2017-2019","3 years (combined)","United Kingdom","16-24","All","All","12","%","16.4","7.6"
"% of 16-24 year olds not in Employment, Education or Training","Asian: Chinese","APS 9","2017-2019","3 years (combined)","United Kingdom","16-24","All","All","4.5","%","8.1","0.8"
"% of 16-24 year olds not in Employment, Education or Training","Asian: Other Asian","APS 9","2017-2019","3 years (combined)","United Kingdom","16-24","All","All","11.3","%","15.5","7.2"
"% of 16-24 year olds not in Employment, Education or Training","Black: All","APS 9","2017-2019","3 years (combined)","United Kingdom","16-24","All","All","11.5","%","14.1","8.9"
"% of 16-24 year olds not in Employment, Education or Training","Other: All","APS 9","2017-2019","3 years (combined)","United Kingdom","16-24","All","All","9.6","%","13","6.3"
"% of 16-24 year olds not in Employment, Education or Training","All","APS 9","2014-2016","3 years (combined)","United Kingdom","16-24","All","All","12.8","%","13.1","12.5"
"% of 16-24 year olds not in Employment, Education or Training","White: All","APS 9","2014-2016","3 years (combined)","United Kingdom","16-24","All","All","12.9","%","13.2","12.6"
"% of 16-24 year olds not in Employment, Education or Training","Mixed: All","APS 9","2014-2016","3 years (combined)","United Kingdom","16-24","All","All","14","%","17.3","10.7"
"% of 16-24 year olds not in Employment, Education or Training","Asian: Indian","APS 9","2014-2016","3 years (combined)","United Kingdom","16-24","All","All","10.9","%","13.9","7.9"
"% of 16-24 year olds not in Employment, Education or Training","Asian: Pakistani","APS 9","2014-2016","3 years (combined)","United Kingdom","16-24","All","All","16.2","%","19.5","12.9"
"% of 16-24 year olds not in Employment, Education or Training","Asian: Bangladeshi","APS 9","2014-2016","3 years (combined)","United Kingdom","16-24","All","All","15","%","20","10"
"% of 16-24 year olds not in Employment, Education or Training","Asian: Chinese","APS 9","2014-2016","3 years (combined)","United Kingdom","16-24","All","All","6.2","%","10","2.4"
"% of 16-24 year olds not in Employment, Education or Training","Asian: Other Asian","APS 9","2014-2016","3 years (combined)","United Kingdom","16-24","All","All","6.5","%","9.6","3.4"
"% of 16-24 year olds not in Employment, Education or Training","Black: All","APS 9","2014-2016","3 years (combined)","United Kingdom","16-24","All","All","13.6","%","16.2","11"
"% of 16-24 year olds not in Employment, Education or Training","Other: All","APS 9","2014-2016","3 years (combined)","United Kingdom","16-24","All","All","9.4","%","12.6","6.2"
"% of 16-24 year olds not in Employment, Education or Training","All","APS 9","2017-2019","3 years (combined)","United Kingdom","16-24","Inactive","All","6.9","%","7.2","6.6"
"% of 16-24 year olds not in Employment, Education or Training","White: All","APS 9","2017-2019","3 years (combined)","United Kingdom","16-24","Inactive","All","7","%","7.4","6.7"
"% of 16-24 year olds not in Employment, Education or Training","Mixed: All","APS 9","2017-2019","3 years (combined)","United Kingdom","16-24","Inactive","All","6.7","%","9.8","3.7"
"% of 16-24 year olds not in Employment, Education or Training","Asian: Indian","APS 9","2017-2019","3 years (combined)","United Kingdom","16-24","Inactive","All","3.5","%","6.1","0.9"
"% of 16-24 year olds not in Employment, Education or Training","Asian: Pakistani","APS 9","2017-2019","3 years (combined)","United Kingdom","16-24","Inactive","All","8.8","%","11.8","5.8"
"% of 16-24 year olds not in Employment, Education or Training","Asian: Bangladeshi","APS 9","2017-2019","3 years (combined)","United Kingdom","16-24","Inactive","All","5.8","%","10.2","1.4"
"% of 16-24 year olds not in Employment, Education or Training","Asian: Chinese","APS 9","2017-2019","3 years (combined)","United Kingdom","16-24","Inactive","All","2.5","%","6.1","0"
"% of 16-24 year olds not in Employment, Education or Training","Asian: Other Asian","APS 9","2017-2019","3 years (combined)","United Kingdom","16-24","Inactive","All","6.6","%","10.7","2.4"
"% of 16-24 year olds not in Employment, Education or Training","Black: All","APS 9","2017-2019","3 years (combined)","United Kingdom","16-24","Inactive","All","6","%","8.6","3.4"
"% of 16-24 year olds not in Employment, Education or Training","Other: All","APS 9","2017-2019","3 years (combined)","United Kingdom","16-24","Inactive","All","7.4","%","10.7","4"
"% of 16-24 year olds not in Employment, Education or Training","All","APS 9","2014-2016","3 years (combined)","United Kingdom","16-24","Inactive","All","7.2","","7.4","7"
"% of 16-24 year olds not in Employment, Education or Training","White: All","APS 9","2014-2016","3 years (combined)","United Kingdom","16-24","Inactive","All","7.3","%","7.5","7.1"
"% of 16-24 year olds not in Employment, Education or Training","Mixed: All","APS 9","2014-2016","3 years (combined)","United Kingdom","16-24","Inactive","All","6.7","%","9.1","4.3"
"% of 16-24 year olds not in Employment, Education or Training","Asian: Indian","APS 9","2014-2016","3 years (combined)","United Kingdom","16-24","Inactive","All","6","%","8.3","3.7"
"% of 16-24 year olds not in Employment, Education or Training","Asian: Pakistani","APS 9","2014-2016","3 years (combined)","United Kingdom","16-24","Inactive","All","7.8","%","10.2","5.4"
"% of 16-24 year olds not in Employment, Education or Training","Asian: Bangladeshi","APS 9","2014-2016","3 years (combined)","United Kingdom","16-24","Inactive","All","7.5","%","11.2","3.8"
"% of 16-24 year olds not in Employment, Education or Training","Asian: Chinese","APS 9","2014-2016","3 years (combined)","United Kingdom","16-24","Inactive","All"," ? "," ? "," ? "," ? "
"% of 16-24 year olds not in Employment, Education or Training","Asian: Other Asian","APS 9","2014-2016","3 years (combined)","United Kingdom","16-24","Inactive","All","4.6","%","7.3","1.9"
"% of 16-24 year olds not in Employment, Education or Training","Black: All","APS 9","2014-2016","3 years (combined)","United Kingdom","16-24","Inactive","All","6.4","%","8.3","4.5"
"% of 16-24 year olds not in Employment, Education or Training","Other: All","APS 9","2014-2016","3 years (combined)","United Kingdom","16-24","Inactive","All","6.1","%","8.7","3.5"
"% of 16-24 year olds not in Employment, Education or Training","All","APS 9","2017-2019","3 years (combined)","United Kingdom","16-24","Unemployed","All","4.6","%","4.9","4.3"
"% of 16-24 year olds not in Employment, Education or Training","White: All","APS 9","2017-2019","3 years (combined)","United Kingdom","16-24","Unemployed","All","4.6","%","4.9","4.3"
"% of 16-24 year olds not in Employment, Education or Training","Mixed: All","APS 9","2017-2019","3 years (combined)","United Kingdom","16-24","Unemployed","All","4.3","%","7.3","1.2"
"% of 16-24 year olds not in Employment, Education or Training","Asian: Indian","APS 9","2017-2019","3 years (combined)","United Kingdom","16-24","Unemployed","All","3.7","%","6.4","1.1"
"% of 16-24 year olds not in Employment, Education or Training","Asian: Pakistani","APS 9","2017-2019","3 years (combined)","United Kingdom","16-24","Unemployed","All","5.5","%","8.5","2.5"
"% of 16-24 year olds not in Employment, Education or Training","Asian: Bangladeshi","APS 9","2017-2019","3 years (combined)","United Kingdom","16-24","Unemployed","All","6.2","%","10.7","1.8"
"% of 16-24 year olds not in Employment, Education or Training","Asian: Chinese","APS 9","2017-2019","3 years (combined)","United Kingdom","16-24","Unemployed","All","2","%","5.6","0"
"% of 16-24 year olds not in Employment, Education or Training","Asian: Other Asian","APS 9","2017-2019","3 years (combined)","United Kingdom","16-24","Unemployed","All","4.7","%","8.9","0.6"
"% of 16-24 year olds not in Employment, Education or Training","Black: All","APS 9","2017-2019","3 years (combined)","United Kingdom","16-24","Unemployed","All","5.5","%","8.1","2.9"
"% of 16-24 year olds not in Employment, Education or Training","Other: All","APS 9","2017-2019","3 years (combined)","United Kingdom","16-24","Unemployed","All","2.3","%","5.6","0"
"% of 16-24 year olds not in Employment, Education or Training","All","APS 9","2014-2016","3 years (combined)","United Kingdom","16-24","Unemployed","All","5.6","%","5.8","5.4"
"% of 16-24 year olds not in Employment, Education or Training","White: All","APS 9","2014-2016","3 years (combined)","United Kingdom","16-24","Unemployed","All","5.6","%","5.8","5.4"
"% of 16-24 year olds not in Employment, Education or Training","Mixed: All","APS 9","2014-2016","3 years (combined)","United Kingdom","16-24","Unemployed","All","7.3","%","9.8","4.8"
"% of 16-24 year olds not in Employment, Education or Training","Asian: Indian","APS 9","2014-2016","3 years (combined)","United Kingdom","16-24","Unemployed","All","4.8","%","6.8","2.8"
"% of 16-24 year olds not in Employment, Education or Training","Asian: Pakistani","APS 9","2014-2016","3 years (combined)","United Kingdom","16-24","Unemployed","All","8.5","%","11","6"
