"","All","","Asian","","Black","","Chinese","","Mixed","","White","","Other",""
"Geography","boys","Girls ","boys","Girls ","boys","Girls ","boys","Girls ","boys","Girls ","boys","Girls ","boys","Girls "
"Barking and Dagenham","78","86","85","89","80","91","80","100","78","89","73","81","64","92"
"Barnet","84","88","83","91","82","90","97","94","86","90","85","88","81","84"
"Barnsley","74","86","89","92","86","78","0","NA","67","86","74","86","83","100"
"Bath and North East Somerset","80","83","94","80","100","100","75","100","84","90","80","83","38","56"
"Bedford","78","82","77","85","75","90","100","100","73","83","79","81","100","82"
"Bexley","84","89","91","96","87","93","87","96","84","92","84","87","88","80"
"Birmingham","77","85","79","87","79","86","90","80","77","84","75","84","78","83"
"Blackburn with Darwen","79","85","82","90","64","100","80","0","91","84","77","81","80","90"
"Blackpool","78","84","94","93","67","NA","100","100","80","86","77","84","100","80"
"Bolton","78","86","84","89","73","81","71","80","85","80","77","86","69","87"
"Bournemouth","78","88","95","88","80","90","100","100","82","86","77","89","86","80"
"Bracknell Forest","82","90","91","93","86","100","100","100","89","98","80","89","100","50"
"Bradford","76","85","78","89","77","91","75","100","75","87","76","83","66","84"
"Brent","79","87","83","92","80","88","100","100","81","83","81","87","74","81"
"Brighton and Hove","78","87","70","89","80","96","78","100","83","85","79","88","64","83"
"Bristol, City of","80","86","74","89","79","87","100","100","80","82","80","86","83","81"
"Bromley","85","91","95","94","83","86","97","95","87","93","84","91","96","83"
"Buckinghamshire","81","88","82","87","82","90","90","78","77","92","81","88","90","88"
"Bury","78","86","80","84","77","90","89","80","80","85","78","87","71","92"
"Calderdale","81","84","80","83","86","86","80","83","84","86","81","83","67","83"
"Cambridgeshire","77","85","84","95","80","91","93","86","80","90","76","85","79","76"
"Camden","81","85","78","85","84","86","100","80","82","87","82","85","75","87"
"Central Bedfordshire","81","87","89","93","81","100","100","100","84","95","80","87","100","80"
"Cheshire East","82","87","78","91","64","80","50","67","76","93","82","87","100","89"
"Cheshire West and Chester","77","84","89","97","60","88","50","100","83","86","76","84","100","57"
"City of London","!","!","!","!","!","!","!","!","!","!","!","!","!","!"
"Cornwall","78","85","71","90","100","67","80","67","79","88","78","85","67","63"
"County Durham","81","88","87","68","100","100","67","88","89","94","80","88","76","83"
"Coventry","78","85","83","89","81","89","100","92","78","90","76","83","77","83"
"Croydon","81","88","86","94","83","88","87","100","81","86","79","87","78","90"
"Cumbria","78","86","67","82","50","100","50","60","88","87","78","86","67","89"
"Darlington","82","89","68","100","67","100","100","100","80","95","83","89","80","67"
"Derby","79","85","83","90","85","92","83","86","76","84","79","84","80","78"
"Derbyshire","78","85","78","86","85","80","73","89","82","90","77","85","81","80"
"Devon","80","88","79","83","89","78","63","100","84","90","80","88","73","84"
"Doncaster","75","83","84","81","71","84","88","50","70","88","75","83","60","84"
"Dorset","78","86","85","93","67","100","100","86","81","88","78","86","67","70"
"Dudley","77","83","79","83","68","80","100","89","69","83","78","83","80","70"
"Ealing","82","89","85","89","81","87","91","91","87","93","82","91","80","90"
"East Riding of Yorkshire","79","86","86","92","100","NA","NA","100","81","90","79","86","67","83"
"East Sussex","79","87","80","94","74","83","100","89","75","91","79","87","67","71"
"Enfield","78","83","80","90","75","82","94","100","88","87","77","83","82","85"
"Essex","81","86","85","92","79","93","86","88","82","87","81","86","88","84"
"Gateshead","81","87","91","96","81","88","83","80","85","100","80","87","81","84"
"Gloucestershire","78","85","87","88","80","79","75","100","77","82","78","85","73","77"
"Greenwich","80","88","87","95","83","91","85","97","82","91","76","84","86","88"
"Hackney","83","89","88","91","81","90","83","100","84","86","82","89","86","81"
"Halton","76","83","100","100","100","100","NA","NA","85","90","75","83","67","67"
"Hammersmith and Fulham","87","89","93","90","88","86","100","100","84","92","89","89","83","87"
"Hampshire","81","88","86","93","82","87","88","90","84","88","81","88","78","85"
"Haringey","84","87","90","90","81","86","93","95","84","90","87","88","79","82"
"Harrow","85","89","90","94","78","83","100","100","89","87","80","86","82","81"
"Hartlepool","77","88","81","100","67","100","100","100","100","90","76","88","75","60"
"Havering","82","88","84","94","86","88","100","100","80","92","82","87","77","96"
"Herefordshire, County of","80","89","100","100","50","89","100","100","95","84","80","89","33","83"
"Hertfordshire","82","87","87","90","77","90","93","86","83","88","81","87","81","83"
"Hillingdon","82","87","89","91","85","90","100","100","81","86","78","84","82","87"
"Hounslow","81","86","85","90","74","86","100","100","82","84","82","84","80","84"
"Isle of Wight","77","85","100","100","100","NA","100","100","77","95","78","85","0","50"
"Isles of Scilly","!","!","!","!","!","!","!","!","!","!","!","!","!","!"
"Islington","80","88","77","87","78","88","90","100","80","87","80","88","88","91"
"Kensington and Chelsea","85","88","80","89","84","88","100","75","82","89","87","87","85","90"
"Kent","78","86","84","93","88","91","85","90","85","90","77","85","77","85"
"Kingston upon Hull, City of","75","85","79","91","56","80","0","100","76","90","76","85","76","85"
"Kingston upon Thames","84","89","80","89","80","83","100","94","86","90","84","89","84","89"
"Kirklees","76","84","76","88","80","82","90","67","78","84","75","83","84","86"
"Knowsley","76","83","100","89","78","90","0","100","76","87","76","83","75","50"
"Lambeth","82","89","82","90","80","88","85","100","81","90","85","89","76","83"
"Lancashire","78","86","76","87","84","80","82","95","77","87","79","86","63","77"
"Leeds","76","83","73","86","76","84","91","85","76","86","77","83","70","80"
"Leicester","76","83","82","86","79","90","88","82","78","89","71","80","83","79"
"Leicestershire","81","86","87","92","82","82","88","86","84","87","81","85","80","67"
"Lewisham","80","87","83","93","76","87","88","93","84","84","85","87","76","93"
"Lincolnshire","78","85","89","97","59","93","92","100","84","91","78","85","76","94"
"Liverpool","74","83","77","87","82","86","85","90","75","82","75","83","67","84"
"Luton","79","85","82","88","79","89","83","100","78","86","77","82","89","76"
"Manchester","76","84","77","87","81","87","88","92","82","85","75","84","72","84"
"Medway","78","85","84","96","83","94","100","100","77","89","78","84","83","96"
"Merton","84","87","89","91","79","84","89","100","83","84","83","87","93","91"
"Middlesbrough","77","83","84","81","76","88","100","100","72","94","78","83","68","79"
"Milton Keynes","82","88","89","93","86","92","100","100","81","90","79","87","89","77"
"Newcastle upon Tyne","80","86","84","86","81","90","83","88","84","85","80","86","72","90"
"Newham","84","91","86","92","83","92","93","83","90","95","81","90","88","94"
"Norfolk","76","84","84","96","69","83","89","100","82","91","76","83","76","93"
"North East Lincolnshire","78","86","88","100","100","NA","100","0","71","81","79","87","67","100"
