"","2012","2013","2014","2015","2016","2017","2018"
"Ethnicity","","","","","","",""
"All","7.70","7.73","7.80","7.84","7.85","7.88","7.88"
"Bangladeshi","7.44","7.62","7.76","7.79","7.65","7.74","7.71"
"Chinese","7.43","7.48","7.75","7.66","7.74","7.62","7.64"
"Indian","7.71","7.73","7.76","7.88","7.90","7.90","7.92"
"Pakistani","7.53","7.61","7.75","7.81","7.86","7.91","7.81"
"Asian other","7.56","7.62","7.78","7.71","7.82","7.82","7.91"
"Black","7.47","7.59","7.64","7.69","7.65","7.72","7.77"
"Mixed","7.46","7.67","7.52","7.69","7.72","7.69","7.65"
"White","7.72","7.74","7.81","7.85","7.86","7.89","7.89"
"White Gypsy / Traveller","?","?","?","?","?","?","?"
"Arab","7.19","7.33","7.48","7.77","7.75","7.67","7.97"
"Other","7.41","7.46","7.66","7.72","7.81","7.89","7.80"
