"","All","Asian","Black","Chinese","Mixed","White","Other"
"Local authority","%","%","%","%","%","%","%"
"Barking and Dagenham","76","79","78","89","75","73","77"
"Barnet","80","82","77","91","80","81","75"
"Barnsley","75","88","71","N/A","74","75","89"
"Bath and North East Somerset","77","76","80","89","78","77","40"
"Bedford","70","64","74","100","64","72","76"
"Bexley","79","88","82","93","83","77","78"
"Birmingham","73","75","73","93","73","72","73"
"Blackburn with Darwen","75","76","67","100","78","75","71"
"Blackpool","72","83","55","80","75","72","50"
"Bolton","74","78","64","86","73","75","67"
"Bournemouth, Christchurch and Poole","78","80","74","96","80","78","76"
"Bracknell Forest","78","84","83","100","88","76","89"
"Bradford","74","77","73","100","74","73","69"
"Brent","76","81","74","93","78","77","69"
"Brighton and Hove","76","68","80","86","79","77","60"
"Bristol, City of","75","68","67","100","72","77","60"
"Bromley","80","90","77","95","80","80","86"
"Buckinghamshire","76","74","69","92","74","77","77"
"Bury","74","69","71","87","66","75","81"
"Calderdale","73","68","71","80","68","74","63"
"Cambridgeshire","75","80","69","90","76","75","70"
"Camden","75","71","73","92","76","78","71"
"Central Bedfordshire","77","84","74","90","74","77","79"
"Cheshire East","76","79","53","67","76","77","73"
"Cheshire West and Chester","73","81","57","86","79","73","52"
"City of London","!","!","!","!","!","!","!"
"Cornwall","72","78","43","73","77","72","57"
"County Durham","77","78","92","93","78","77","60"
"Coventry","73","80","72","96","70","72","67"
"Croydon","78","84","76","86","76","78","77"
"Cumbria","75","79","50","86","81","75","65"
"Darlington","75","73","82","100","79","75","64"
"Derby","74","79","76","84","72","73","68"
"Derbyshire","75","74","90","79","82","75","69"
"Devon","74","65","80","81","79","74","58"
"Doncaster","74","78","75","93","75","75","71"
"Dorset","75","92","67","100","77","75","47"
"Dudley","73","73","67","86","71","73","63"
"Ealing","77","81","69","78","82","79","73"
"East Riding of Yorkshire","75","91","100","100","80","75","63"
"East Sussex","78","78","75","89","79","78","47"
"Enfield","73","80","70","95","79","72","74"
"Essex","77","82","77","95","78","76","78"
"Gateshead","75","79","69","90","85","75","62"
"Gloucestershire","74","79","74","92","70","75","54"
"Greenwich","80","91","83","91","82","74","86"
"Hackney","80","83","77","81","82","82","77"
