"FSM","Ethnicity","%"
"FSM","All","61"
"FSM","Asian","70"
"FSM","Bangladeshi","72"
"FSM","Indian","75"
"FSM","Pakistani","68"
"FSM","Asian other","69"
"FSM","Black","69"
"FSM","Black African","73"
"FSM","Black Caribbean","61"
"FSM","Black other","67"
"FSM","Chinese","88"
"FSM","Mixed","65"
"FSM","Mixed White/Asian","69"
"FSM","Mixed White/Black African","69"
"FSM","Mixed White/Black Caribbean","62"
"FSM","Mixed other","65"
"FSM","White","58"
"FSM","White British","59"
"FSM","White Irish","53"
"FSM","Gypsy/Roma","29"
"FSM","Irish Traveller","33"
"FSM","White other","62"
"FSM","Other","64"
"FSM","Unknown","57"
"Non-FSM","All","78"
"Non-FSM","Asian","79"
"Non-FSM","Bangladeshi","77"
"Non-FSM","Indian","85"
"Non-FSM","Pakistani","74"
"Non-FSM","Asian other","81"
"Non-FSM","Black","76"
"Non-FSM","Black African","77"
"Non-FSM","Black Caribbean","71"
"Non-FSM","Black other","74"
"Non-FSM","Chinese","91"
"Non-FSM","Mixed","80"
"Non-FSM","Mixed White/Asian","84"
"Non-FSM","Mixed White/Black African","78"
"Non-FSM","Mixed White/Black Caribbean","75"
"Non-FSM","Mixed other","80"
"Non-FSM","White","79"
"Non-FSM","White British","79"
"Non-FSM","White Irish","84"
"Non-FSM","Gypsy/Roma","36"
"Non-FSM","Irish Traveller","44"
"Non-FSM","White other","76"
"Non-FSM","Other","74"
"Non-FSM","Unknown","58"
