" Ethnicity","%","Number of non-decent homes","All households"
"All","17","4,037","23,400"
"Asian","","",""
"Bangladeshi","24","27","112"
"Chinese","5","7","135"
"Indian","11","58","514"
"Pakistani","17","58","342"
"Asian other","18","37","206"
"Black","","",""
"Black African","16","72","448"
"Black Caribbean","20","60","302"
"Black other","10","2","24"
"Mixed","","",""
"Mixed White/Asian","4","2","63"
"Mixed White/Black African","33","15","46"
"Mixed White/Black Caribbean","15","11","74"
"Mixed other","11","10","93"
"White","","",""
"White British","18","3,402","19,313"
"White Irish","18","40","215"
"White Gypsy/Traveller","?","?","?"
"White other","16","190","1,220"
"Other","","",""
"Arab","11","6","59"
"Any other","17","40","230"
