"Tariff marker","Ethnicity","%","Number of entrants "
"Low","Asian","33.6","33,640"
"Low","Black","53.4","36,250"
"Low","Mixed","36.7","13,705"
"Low","White","34.9","224,020"
"Low","Other","42.7","7,385"
"Low","Unknown","42.1","7,875"
"Medium","Asian","33.9","33,985"
"Medium","Black","28.5","19,345"
"Medium","Mixed","29.3","10,930"
"Medium","White","31.8","204,005"
"Medium","Other","28.0","4,850"
"Medium","Unknown","24.9","4,645"
"High","Asian","32.1","32,125"
"High","Black","17.8","12,065"
"High","Mixed","33.6","12,535"
"High","White","32.9","211,170"
"High","Other","29.0","5,020"
"High","Unknown","32.6","6,100"
"Other","Asian","0.4","375"
"Other","Black","0.3","170"
"Other","Mixed","0.4","150"
"Other","White","0.3","1,960"
"Other","Other","0.3","55"
"Other","Unknown","0.3","60"
