"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Institution ","Value","Denominator","Numerator"
"Number of assaults per 100 young people in custody (average per month)","2011/12","Financial Year","Other than White","White/Ethnic minorities","STC/SCH","25.2","189.6","47.8"
"Number of assaults per 100 young people in custody (average per month)","2011/12","Financial Year","White","White/Ethnic minorities","STC/SCH","18.4","402","74"
"Number of assaults per 100 young people in custody (average per month)","2012/13","Financial Year","Other than White","White/Ethnic minorities","STC/SCH","18","169.6","30.5"
"Number of assaults per 100 young people in custody (average per month)","2012/13","Financial Year","White","White/Ethnic minorities","STC/SCH","19.7","359.2","70.8"
"Number of assaults per 100 young people in custody (average per month)","2013/14","Financial Year","Other than White","White/Ethnic minorities","STC/SCH","22.6","163.8","37.1"
"Number of assaults per 100 young people in custody (average per month)","2013/14","Financial Year","White","White/Ethnic minorities","STC/SCH","20","347.8","69.4"
"Number of assaults per 100 young people in custody (average per month)","2014/15","Financial Year","Other than White","White/Ethnic minorities","STC/SCH","27.9","155.8","43.4"
"Number of assaults per 100 young people in custody (average per month)","2014/15","Financial Year","White","White/Ethnic minorities","STC/SCH","24","272.5","65.4"
"Number of assaults per 100 young people in custody (average per month)","2015/16","Financial Year","Other than White","White/Ethnic minorities","STC/SCH","31.3","130.3","40.8"
"Number of assaults per 100 young people in custody (average per month)","2015/16","Financial Year","White","White/Ethnic minorities","STC/SCH","26.6","258.8","68.8"
"Number of assaults per 100 young people in custody (average per month)","2016/17","Financial Year","Other than White","White/Ethnic minorities","STC/SCH","64.3","103.8","66.8"
"Number of assaults per 100 young people in custody (average per month)","2016/17","Financial Year","White","White/Ethnic minorities","STC/SCH","38.1","209.4","79.8"
"Number of assaults per 100 young people in custody (average per month)","2017/18","Financial Year","Other than White","White/Ethnic minorities","STC/SCH","81.6","111.1","90.7"
"Number of assaults per 100 young people in custody (average per month)","2017/18","Financial Year","White","White/Ethnic minorities","STC/SCH","55.8","223.7","124.8"
"Number of assaults per 100 young people in custody (average per month)","2018/19","Financial Year","Other than White","White/Ethnic minorities","STC/SCH","77.2","119.5","92.3"
"Number of assaults per 100 young people in custody (average per month)","2018/19","Financial Year","White","White/Ethnic minorities","STC/SCH","70.3","173","121.6"
"Number of assaults per 100 young people in custody (average per month)","2018/19","Financial Year","Other than White","White/Ethnic minorities","YOI","37.1","410.8","152.6"
"Number of assaults per 100 young people in custody (average per month)","2018/19","Financial Year","White","White/Ethnic minorities","YOI","26.2","408.9","107.3"
