"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography_code","Gender","Value","Value_type","Denominator","Numerator"
"Percentage of pupils reaching the expected standard in key stage 1 reading","All","All","2017-18","Academic Year","Barking and Dagenham","Local authority","E09000002","All","75","%","3678","2755"
"Percentage of pupils reaching the expected standard in key stage 1 reading","All","All","2017-18","Academic Year","Barking and Dagenham","Local authority","E09000002","Boys","70","%","1894","1326"
"Percentage of pupils reaching the expected standard in key stage 1 reading","All","All","2017-18","Academic Year","Barking and Dagenham","Local authority","E09000002","Girls","80","%","1784","1429"
"Percentage of pupils reaching the expected standard in key stage 1 reading","All","All","2017-18","Academic Year","Barnet","Local authority","E09000003","All","79","%","4445","3508"
"Percentage of pupils reaching the expected standard in key stage 1 reading","All","All","2017-18","Academic Year","Barnet","Local authority","E09000003","Boys","76","%","2264","1723"
"Percentage of pupils reaching the expected standard in key stage 1 reading","All","All","2017-18","Academic Year","Barnet","Local authority","E09000003","Girls","82","%","2181","1785"
"Percentage of pupils reaching the expected standard in key stage 1 reading","All","All","2017-18","Academic Year","Barnsley","Local authority","E08000016","All","72","%","3002","2148"
"Percentage of pupils reaching the expected standard in key stage 1 reading","All","All","2017-18","Academic Year","Barnsley","Local authority","E08000016","Boys","66","%","1548","1021"
"Percentage of pupils reaching the expected standard in key stage 1 reading","All","All","2017-18","Academic Year","Barnsley","Local authority","E08000016","Girls","78","%","1454","1127"
"Percentage of pupils reaching the expected standard in key stage 1 reading","All","All","2017-18","Academic Year","Bath and North East Somerset","Local authority","E06000022","All","78","%","1926","1497"
"Percentage of pupils reaching the expected standard in key stage 1 reading","All","All","2017-18","Academic Year","Bath and North East Somerset","Local authority","E06000022","Boys","75","%","1009","753"
"Percentage of pupils reaching the expected standard in key stage 1 reading","All","All","2017-18","Academic Year","Bath and North East Somerset","Local authority","E06000022","Girls","81","%","917","744"
"Percentage of pupils reaching the expected standard in key stage 1 reading","All","All","2017-18","Academic Year","Bedford","Local authority","E06000055","All","73","%","2300","1672"
"Percentage of pupils reaching the expected standard in key stage 1 reading","All","All","2017-18","Academic Year","Bedford","Local authority","E06000055","Boys","68","%","1160","790"
"Percentage of pupils reaching the expected standard in key stage 1 reading","All","All","2017-18","Academic Year","Bedford","Local authority","E06000055","Girls","77","%","1140","882"
"Percentage of pupils reaching the expected standard in key stage 1 reading","All","All","2017-18","Academic Year","Bexley","Local authority","E09000004","All","81","%","3346","2698"
"Percentage of pupils reaching the expected standard in key stage 1 reading","All","All","2017-18","Academic Year","Bexley","Local authority","E09000004","Boys","78","%","1725","1345"
"Percentage of pupils reaching the expected standard in key stage 1 reading","All","All","2017-18","Academic Year","Bexley","Local authority","E09000004","Girls","83","%","1621","1353"
"Percentage of pupils reaching the expected standard in key stage 1 reading","All","All","2017-18","Academic Year","Birmingham","Local authority","E08000025","All","73","%","16733","12145"
"Percentage of pupils reaching the expected standard in key stage 1 reading","All","All","2017-18","Academic Year","Birmingham","Local authority","E08000025","Boys","68","%","8609","5889"
"Percentage of pupils reaching the expected standard in key stage 1 reading","All","All","2017-18","Academic Year","Birmingham","Local authority","E08000025","Girls","77","%","8124","6256"
"Percentage of pupils reaching the expected standard in key stage 1 reading","All","All","2017-18","Academic Year","Blackburn with Darwen","Local authority","E06000008","All","75","%","2237","1671"
"Percentage of pupils reaching the expected standard in key stage 1 reading","All","All","2017-18","Academic Year","Blackburn with Darwen","Local authority","E06000008","Boys","70","%","1139","797"
"Percentage of pupils reaching the expected standard in key stage 1 reading","All","All","2017-18","Academic Year","Blackburn with Darwen","Local authority","E06000008","Girls","80","%","1098","874"
"Percentage of pupils reaching the expected standard in key stage 1 reading","All","All","2017-18","Academic Year","Blackpool","Local authority","E06000009","All","73","%","1683","1228"
